Score,P1 Odds,P2 Odds
-,3.31,1.30
-,4.00,1.22
-,3.06,1.34
0-0 0-0 0-15*,3.16,1.33
0-0 0-0 15-30*,3.20,1.33
0-0 0-0 15-40*,3.32,1.30
0-0 0-1 *0-0,3.45,1.28
0-0 0-1 *15-0,3.28,1.31
0-0 0-1 *30-0,3.13,1.33
0-0 1-1 0-0*,2.95,1.37
0-0 1-1 15-15*,2.90,1.38
0-0 1-1 15-30*,3.10,1.34
0-0 1-1 30-40*,3.14,1.33
0-0 1-1 40-40*,2.76,1.41
0-0 1-2 *0-0,3.32,1.30
0-0 1-2 *30-0,3.04,1.35
0-0 1-2 *30-30,3.35,1.30
0-0 1-2 *30-40,4.10,1.22
0-0 1-2 *A-40,3.14,1.33
0-0 1-2 *40-40,3.45,1.28
0-0 2-2 0-0*,2.91,1.38
0-0 2-2 0-15*,2.91,1.38
0-0 2-2 15-15*,2.84,1.39
0-0 2-2 15-30*,3.06,1.34
0-0 2-2 30-30*,2.77,1.41
0-0 2-2 40-40*,2.70,1.43
0-0 2-3 *0-0,3.33,1.30
0-0 2-3 *15-0,3.13,1.33
0-0 2-3 *40-15,3.32,1.30
0-0 2-3 *40-30,3.45,1.28
0-0 3-3 0-0*,3.20,1.33
0-0 3-3 0-15*,3.35,1.30
0-0 3-3 0-40*,3.70,1.25
0-0 3-4 *0-0,3.70,1.25
0-0 3-4 *30-0,3.32,1.30
0-0 3-4 *40-0,3.27,1.31
0-0 4-4 0-0*,3.14,1.33
0-0 4-4 0-15*,3.32,1.30
0-0 4-4 0-30*,3.50,1.28
0-0 4-4 15-30*,3.04,1.35
0-0 4-4 15-40*,3.30,1.30
0-0 4-4 15-40*,3.10,1.34
0-0 4-5 *0-0,3.26,1.31
0-0 4-5 *0-15,3.70,1.25
0-0 4-5 *0-30,4.60,1.17
0-0 4-5 *40-30,2.88,1.38
0-0 5-5 0-0*,2.65,1.45
0-0 5-5 0-15*,2.78,1.41
0-0 5-5 15-30*,2.76,1.41
0-0 5-5 30-30*,2.44,1.51
0-0 5-5 40-30*,2.09,1.69
0-0 6-5 *0-0,1.59,2.25
0-0 6-5 *0-15,1.74,2.01
0-0 6-5 *0-30,1.98,1.77
