Score,P1 Odds,P2 Odds
-,2.10,1.68
Score,P1 Odds,P2 Odds
-,2.10,1.68
-,2.50,1.49
0-0 0-0 15-0*,2.30,1.57
0-0 0-0 30-0*,2.09,1.69
0-0 0-0 30-0*,2.14,1.65
0-0 0-0 30-15*,2.28,1.58
0-0 0-0 30-30*,2.46,1.50
0-0 0-0 30-30*,2.14,1.65
0-0 0-0 30-40*,2.42,1.52
0-0 0-0 A-40*,2.14,1.66
0-0 0-0 40-40*,2.41,1.52
0-0 0-0 40-A*,2.67,1.44
0-0 0-0 40-40*,2.50,1.49
0-0 0-0 40-40*,2.40,1.53
0-0 0-0 40-A*,2.67,1.44
0-0 0-1 *0-0,2.85,1.39
0-0 0-1 *0-15,3.11,1.34
0-0 0-1 *0-30,3.40,1.30
0-0 0-1 *15-30,3.14,1.33
0-0 0-1 *30-30,2.91,1.38
0-0 0-1 *30-30,2.96,1.37
0-0 1-1 0-0*,2.83,1.39
0-0 1-1 15-0*,2.61,1.46
0-0 1-1 15-15*,2.78,1.41
0-0 1-1 15-40*,3.09,1.34
0-0 1-1 30-40*,2.82,1.40
0-0 1-1 40-40*,2.65,1.44
0-0 1-1 A-40*,2.18,1.63
0-0 2-2 0-30*,2.55,1.47
0-0 2-2 15-30*,2.42,1.52
0-0 2-2 15-40*,2.57,1.47
0-0 2-3 *0-0,2.66,1.44
0-0 2-3 *0-0,2.69,1.44
0-0 2-3 *0-15,2.97,1.36
0-0 2-3 *15-15,2.73,1.42
0-0 2-3 *30-15,2.53,1.48
0-0 2-3 *30-30,2.53,1.42
0-0 2-3 *30-40,3.25,1.31
0-0 2-4 0-0*,4.00,1.22
0-0 2-4 0-15*,4.25,1.20
0-0 2-4 15-15*,4.00,1.22
0-0 2-4 15-15*,3.98,1.22
0-0 2-4 15-30*,4.25,1.20
0-0 2-4 30-30*,3.70,1.25
0-0 2-4 30-40*,4.25,1.20
0-0 2-5 *0-0,4.65,1.17
0-0 2-5 *0-15,4.80,1.16
0-0 2-5 *15-15,4.65,1.17
0-0 2-5 *30-15,4.60,1.17
0-0 2-5 *40-15,4.60,1.17
0-0 2-5 *40-40,4.65,1.17
0-0 2-5 *40-A,5.20,1.14
0-1 0-0 0-0*,5.40,1.13
0-1 0-0 0-0*,5.20,1.14
0-1 0-0 15-0*,4.65,1.17
0-1 0-0 30-0*,4.25,1.20
0-1 0-0 30-30*,4.60,1.17
0-1 0-0 40-30*,4.25,1.20
0-1 0-0 40-40*,5.20,1.14
0-1 0-0 40-0*,5.40,1.13
0-1 0-1 *0-0,6.00,1.11
0-1 0-1 *15-0,5.40,1.13
0-1 0-1 *15-0,5.50,1.13
0-1 0-1 *15-30,7.00,1.07
0-1 0-1 *40-30,6.00,1.10
0-1 0-1 *40-30,5.40,1.13
0-1 0-1 *40-40,6.00,1.10
0-1 0-1 *A-40,5.40,1.13
0-1 0-1 *40-40,6.00,1.10
0-1 0-1 *0-40,5.40,1.13
0-1 1-1 0-0*,5.20,1.14
0-1 1-1 0-30*,5.40,1.13
0-1 1-1 0-40*,5.40,1.13
0-1 1-1 0-0*,5.90,1.11
0-1 1-2 *0-0,7.00,1.08
0-1 1-2 *30-0,6.00,1.10
0-1 1-2 *30-0,6.00,1.11
0-1 2-2 0-0*,5.50,1.13
0-1 2-2 30-0*,5.20,1.14
0-1 2-2 40-0*,4.60,1.17
0-1 2-2 40-15*,4.00,1.22
0-1 2-2 40-30*,4.60,1.17
0-1 2-2 40-40*,5.40,1.13
0-1 2-2 40-40*,5.40,1.14
0-1 2-2 A-40*,4.25,1.20
0-1 3-2 *0-0,3.32,1.30
0-1 3-2 *0-15,3.75,1.25
0-1 3-2 *15-15,3.40,1.28
0-1 3-2 *30-15,3.14,1.33
0-1 3-2 *30-30,3.45,1.28
0-1 3-2 *40-30,3.06,1.34
0-1 4-2 0-0*,2.83,1.39
0-1 4-2 0-15*,2.92,1.37
0-1 4-2 0-15*,2.91,1.38
0-1 4-2 0-30*,2.98,1.36
0-1 4-2 15-30*,2.90,1.38
0-1 4-2 15-30*,3.01,1.35
0-1 4-3 *0-0,3.03,1.35
0-1 4-3 *0-15,3.45,1.28
0-1 4-3 *0-30,4.00,1.22
0-1 4-3 *0-30,4.05,1.22
0-1 4-3 *0-40,5.20,1.14
0-1 4-4 0-0*,5.40,1.13
0-1 4-4 15-15*,5.40,1.13
0-1 4-4 30-15*,4.65,1.17
0-1 4-4 30-15*,4.60,1.17
0-1 4-4 40-15*,3.45,1.28
0-1 4-4 40-30*,4.00,1.22
0-1 4-4 40-40*,5.40,1.13
0-1 4-4 40-40*,5.20,1.14
0-1 4-4 A-40*,4.00,1.22
0-1 5-4 *0-0,2.85,1.39
0-1 5-4 *15-15,2.85,1.39
0-1 5-4 *30-15,2.53,1.48
0-1 5-4 *30-15,2.55,1.47
0-1 5-4 *30-30,2.94,1.37
0-1 5-4 *30-40,2.94,1.25
0-1 5-4 *40-40,2.90,1.38
0-1 5-4 *40-40,3.00,1.36
0-1 5-4 *A-40,2.47,1.50
1-1 0-0 0-0*,2.20,1.62
1-1 0-0 0-0*,2.49,1.50
1-1 0-1 *0-30,4.50,1.17
1-1 0-1 *0-40,5.40,1.13
1-1 0-1 *15-40,5.20,1.14
1-1 0-2 0-0*,6.00,1.10
1-1 0-2 0-15*,7.50,1.06
1-1 0-2 0-30*,8.50,1.05
1-1 0-2 15-40*,8.50,1.05
1-1 0-3 *0-0,9.50,1.04
1-1 0-3 *15-0,8.50,1.05
1-1 0-3 *15-15,9.50,1.04
1-1 0-3 *15-30,11.00,1.02
1-1 0-3 *30-30,9.50,1.04
1-1 0-3 *30-40,12.00,1.02
1-1 0-3 *40-40,9.50,1.04
1-1 0-3 *A-40,8.50,1.05
1-1 1-3 0-0*,7.50,1.06
1-1 1-3 15-0*,6.00,1.12
1-1 1-3 15-0*,5.70,1.12
1-1 1-3 15-15*,6.50,1.08
1-1 1-3 15-30*,8.50,1.05
1-1 1-3 15-40*,9.50,1.04
1-1 1-4 *0-0,10.00,1.03
1-1 1-4 *0-15,12.00,1.02
1-1 1-4 *0-30,14.00,1.01
1-1 1-5 0-0*,81.00,1.001
1-1 1-5 15-0*,41.00,1.002
1-1 1-5 30-0*,34.00,1.004
1-1 1-5 30-15*,41.00,1.002
1-1 1-5 30-30*,81.00,1.001
1-1 1-5 30-40*,101.00,1.001
1-2 1-6 0-0*,1.001,1.001
