Score,P1 Odds,P2 Odds
-,3.06,1.34
0-0 0-0 0-15*,3.20,1.33
0-0 0-0 15-30*,3.25,1.31
0-0 0-0 15-30*,3.20,1.33
0-0 0-0 15-40*,3.32,1.30
0-0 0-0 30-40*,3.26,1.31
0-0 0-1 *0-0,3.45,1.28
0-0 0-1 *15-0,3.32,1.30
0-0 0-1 *15-15,3.45,1.28
0-0 0-1 *30-15,3.32,1.30
0-0 0-1 *40-15,3.10,1.34
0-0 1-1 0-0*,2.95,1.37
0-0 1-1 15-0*,2.71,1.43
0-0 1-1 15-15*,2.94,1.37
0-0 1-1 15-15*,2.91,1.38
0-0 1-1 30-15*,2.61,1.45
0-0 1-1 40-15*,2.32,1.56
0-0 2-1 *0-0,2.12,1.67
0-0 2-1 *0-0,2.10,1.68
0-0 2-1 *15-0,1.99,1.75
0-0 2-1 *15-15,2.12,1.67
0-0 2-1 *30-30,2.12,1.67
0-0 2-1 *30-40,2.42,1.52
0-0 2-1 *40-40,2.15,1.65
0-0 2-1 *40-A,2.15,1.51
0-0 2-1 *40-A,2.44,1.51
0-0 2-2 0-0*,2.92,1.37
0-0 2-2 0-0*,2.92,1.30
0-0 2-2 0-15*,3.45,1.28
0-0 2-2 15-15*,3.27,1.31
0-0 2-2 0-15*,3.27,1.31
0-0 2-2 30-15*,2.88,1.38
0-0 2-2 40-15*,2.50,1.49
0-0 2-2 40-30*,2.71,1.43
0-0 3-2 *0-0,2.27,1.58
0-0 3-2 *0-15,2.49,1.49
0-0 3-2 *15-15,2.28,1.58
0-0 3-2 *15-15,2.29,1.58
0-0 3-2 *30-15,2.10,1.68
0-0 4-2 0-0*,1.88,1.85
0-0 4-2 0-15*,1.95,1.79
0-0 4-2 0-15*,1.94,1.79
0-0 4-2 0-30*,2.01,1.74
0-0 4-2 15-30*,1.95,1.79
0-0 4-2 15-40*,2.04,1.72
0-0 4-2 15-40*,2.20,1.63
0-0 4-2 30-40*,2.15,1.65
0-0 4-2 40-40*,1.96,1.78
0-0 4-2 40-A*,2.13,1.66
0-0 4-3 *0-0,2.29,1.58
0-0 4-3 *15-0,2.10,1.68
0-0 4-3 *30-0,1.96,1.78
0-0 4-3 *40-0,1.87,1.86
0-0 4-3 *40-15,1.92,1.81
0-0 5-3 0-0*,1.83,1.91
0-0 5-3 15-15*,1.81,1.92
0-0 5-3 15-30*,1.91,1.82
0-0 5-3 15-40*,1.98,1.76
0-0 5-4 *0-0,2.03,1.73
0-0 5-4 *15-0,2.03,1.73
0-0 5-4 *15-0,1.84,1.89
0-0 5-4 *15-15,2.04,1.72
0-0 5-4 *30-15,1.82,1.91
0-0 5-4 *30-15,2.06,1.71
0-0 5-4 *40-15,1.76,1.98
0-0 5-4 *40-40,2.19,1.63
0-0 5-4 *40-40,2.21,1.62
0-0 5-4 *40-A,2.77,1.41
0-0 5-5 0-0*,3.70,1.25
0-0 5-5 0-15*,4.25,1.20
0-0 5-5 0-30*,4.65,1.17
0-0 5-5 0-30*,4.25,1.20
0-0 5-5 15-30*,3.96,1.22
0-0 5-5 30-30*,3.28,1.31
0-0 5-5 30-40*,4.00,1.22
0-0 5-6 *0-0,4.65,1.17
0-0 5-6 *15-0,4.00,1.22
0-0 5-6 *30-0,3.45,1.28
0-0 5-6 *30-15,4.00,1.22
0-0 5-6 *30-30,4.65,1.17
0-0 5-6 *40-30,3.70,1.25
0-0 6-6 0-0*,3.10,1.34
0-0 6-6 *0-1,3.70,1.25
0-0 6-6 *0-2,4.65,1.17
0-0 6-6 0-3*,5.70,1.13
0-0 6-6 1-3*,4.65,1.17
