Score,P1 Odds,P2 Odds
-,6.00,1.11
-,8.50,1.05
0-0 0-0 15-0*,7.50,1.06
0-0 0-0 15-15*,8.00,1.06
0-0 0-0 15-30*,9.50,1.04
0-0 0-0 15-40*,9.50,1.04
0-0 0-1 *0-0,9.50,1.04
0-0 0-1 *15-0,9.50,1.04
0-0 0-1 *15-15,9.50,1.04
0-0 0-1 *15-30,10.00,1.03
0-0 0-1 *15-40,12.00,1.02
0-0 0-2 0-0*,13.00,1.01
0-0 0-2 0-15*,13.00,1.01
0-0 0-2 0-30*,14.00,1.01
0-0 0-2 30-30*,12.00,1.02
0-0 0-2 30-30*,11.00,1.02
0-0 0-2 30-40*,12.00,1.02
0-0 0-2 30-A*,13.00,1.01
0-0 0-2 30-40*,12.00,1.02
0-0 0-2 30-A*,13.00,1.01
0-0 0-3 *0-0,14.00,1.01
0-0 0-3 *0-15,15.00,1.01
0-0 0-3 *15-15,15.00,1.01
0-0 0-3 *15-30,15.00,1.01
0-0 0-3 *40-30,13.00,1.01
0-0 0-3 *40-40,14.00,1.01
0-0 0-3 *40-A,15.00,1.01
0-0 0-3 *40-40,14.00,1.01
0-0 1-3 0-0*,12.00,1.02
0-0 1-3 15-0*,12.00,1.02
0-0 1-3 30-15*,12.00,1.02
0-0 1-3 30-30*,12.00,1.02
0-0 1-3 40-30*,11.00,1.02
0-0 2-3 *0-0,9.50,1.04
0-0 2-3 *15-0,8.50,1.05
0-0 2-3 *15-15,9.50,1.04
0-0 2-3 *15-15,10.00,1.03
0-0 2-3 *40-15,8.00,1.05
0-0 2-3 *40-A,9.50,1.04
0-0 2-3 *40-40,9.50,1.04
0-0 2-3 *40-A,11.00,1.02
0-0 2-3 *40-40,9.50,1.04
0-0 2-3 *40-A,11.00,1.02
0-0 2-4 0-0*,13.00,1.01
0-0 2-4 0-15*,14.00,1.01
0-0 2-4 0-15*,13.00,1.01
0-0 2-4 0-40*,15.00,1.01
0-0 2-4 30-40*,14.00,1.01
0-0 2-4 40-40*,13.00,1.01
0-0 2-4 40-A*,14.00,1.01
0-0 2-4 40-40*,13.00,1.01
0-0 2-4 40-A*,14.00,1.01
0-0 2-5 *0-0,17.00,1.005
0-0 2-5 *0-30,34.00,1.005
0-0 2-5 *0-40,34.00,1.004
0-0 2-5 *15-40,34.00,1.004
0-0 2-5 *40-40,17.00,1.005
0-0 2-5 *40-A,21.00,1.005
0-0 2-5 *40-40,17.00,1.005
0-0 3-5 0-0*,14.00,1.01
0-0 3-5 15-0*,13.00,1.01
0-0 3-5 30-0*,12.00,1.02
0-0 3-5 40-15*,11.00,1.02
0-0 3-5 40-30*,12.00,1.02
0-0 3-5 40-A*,15.00,1.01
0-1 3-6 *0-0,21.00,1.005
0-1 0-0 *0-0,21.00,1.005
0-1 0-0 *15-0,12.00,1.02
0-1 0-0 *40-0,11.00,1.02
0-1 0-0 *40-15,11.00,1.02
0-1 1-0 0-0*,10.00,1.03
0-1 1-0 0-15*,11.00,1.02
0-1 1-0 0-15*,10.00,1.03
0-1 1-0 30-30*,10.00,1.03
0-1 1-1 *0-0,12.00,1.02
0-1 1-1 *0-15,13.00,1.01
0-1 1-1 *0-30,14.00,1.01
0-1 1-1 *0-40,21.00,1.005
0-1 1-2 0-0*,34.00,1.004
0-1 1-2 0-30*,41.00,1.002
0-1 1-2 15-30*,41.00,1.002
0-1 1-2 15-40*,41.00,1.002
0-1 1-2 30-40*,41.00,1.002
0-1 1-2 40-A*,41.00,1.002
0-1 1-2 40-40*,34.00,1.005
0-1 1-2 A-40*,17.00,1.005
0-1 1-2 40-A*,34.00,1.002
0-1 1-2 40-A*,17.00,1.005
0-1 1-2 A-40*,13.00,1.01
0-1 1-2 A-40*,17.00,1.005
0-1 1-2 40-40*,34.00,1.002
0-1 1-3 *0-0,51.00,1.002
0-1 1-3 *0-30,81.00,1.001
0-1 1-3 *15-30,81.00,1.001
0-1 1-3 *30-30,51.00,1.002
0-1 2-3 0-0*,34.00,1.005
0-1 2-3 0-0*,21.00,1.005
0-1 2-3 0-40*,41.00,1.002
0-1 2-4 *0-0,67.00,1.002
0-1 2-4 *15-0,41.00,1.002
0-1 2-4 *15-15,67.00,1.002
0-1 2-4 *30-15,41.00,1.002
0-1 2-4 *40-15,34.00,1.002
0-1 3-4 0-0*,34.00,1.005
0-1 3-4 15-0*,14.00,1.01
0-1 3-4 15-15*,21.00,1.005
0-1 3-4 30-30*,21.00,1.005
0-1 3-4 30-40*,41.00,1.002
0-1 3-4 30-40*,21.00,1.005
0-1 4-4 *0-0,10.00,1.03
0-1 4-4 *15-0,9.50,1.04
0-1 4-4 *15-30,12.00,1.02
0-1 4-4 *30-30,10.00,1.03
0-1 5-4 0-0*,7.00,1.08
0-1 5-4 15-15*,6.00,1.11
0-1 5-4 30-15*,4.80,1.16
0-1 5-4 30-30*,6.00,1.11
0-1 5-4 30-40*,7.50,1.07
0-1 5-5 *0-0,8.50,1.05
0-1 5-5 *0-15,10.00,1.03
0-1 5-6 0-0*,21.00,1.005
0-1 5-6 0-15*,41.00,1.002
0-1 5-6 15-15*,15.00,1.01
0-1 5-6 30-30*,14.00,1.01
0-1 5-6 30-40*,67.00,1.002
0-2 5-7 *0-0,1.001,1.001
