Score,P1 Odds,P2 Odds
-,5.20,1.14
0-0 0-0 *0-15,6.00,1.11
0-0 0-0 *0-30,6.50,1.09
0-0 0-0 *0-40,7.00,1.07
0-0 0-1 0-0*,7.50,1.06
0-0 0-1 0-15*,8.00,1.06
0-0 0-1 15-15*,7.50,1.06
0-0 0-1 15-30*,8.50,1.05
0-0 0-1 30-30*,7.50,1.06
0-0 0-1 40-30*,6.00,1.10
0-0 0-1 40-40*,7.50,1.06
0-0 0-1 40-40*,7.00,1.07
0-0 0-1 40-A*,8.50,1.05
0-0 0-2 *0-0,9.50,1.04
0-0 0-2 *15-15,9.50,1.04
0-0 0-2 *30-15,8.50,1.05
0-0 0-2 *40-15,7.75,1.06
0-0 0-2 *40-30,8.50,1.05
0-0 1-2 0-0*,7.50,1.06
0-0 1-2 0-15*,8.00,1.06
0-0 1-2 15-30*,8.00,1.06
0-0 1-2 30-30*,7.00,1.08
0-0 2-2 *0-0,5.20,1.14
0-0 2-2 *0-15,5.40,1.13
0-0 2-2 *0-30,6.50,1.08
0-0 2-2 *0-40,6.50,1.06
0-0 2-2 *15-40,7.00,1.07
0-0 2-3 0-0*,8.50,1.05
0-0 2-3 30-0*,6.00,1.10
0-0 2-3 40-15*,6.00,1.11
0-0 3-3 *0-0,5.20,1.14
0-0 3-3 *0-15,6.00,1.11
0-0 3-3 *0-30,6.50,1.08
0-0 3-3 *15-30,6.00,1.11
0-0 3-3 *15-40,7.00,1.07
0-0 3-4 0-0*,8.50,1.05
0-0 3-4 30-0*,6.00,1.11
0-0 3-4 40-0*,5.40,1.13
0-0 4-5 0-0*,8.50,1.05
0-0 4-5 15-15*,8.00,1.06
0-0 4-5 15-30*,9.50,1.04
0-0 4-5 30-30*,8.00,1.06
0-0 4-5 40-30*,6.00,1.11
0-0 4-5 40-40*,8.00,1.06
0-0 4-5 A-40*,6.00,1.11
0-0 5-5 *0-0,4.65,1.17
0-0 5-5 *15-0,4.00,1.22
0-0 5-5 *30-0,3.45,1.28
0-0 5-5 *30-30,4.60,1.17
0-0 5-5 *40-30,3.70,1.25
0-0 5-5 *40-40,4.60,1.17
0-0 5-5 *40-A,5.70,1.12
0-0 5-6 0-0*,7.75,1.06
0-0 5-6 0-15*,9.50,1.04
0-0 5-6 15-30*,9.50,1.04
0-0 5-6 30-30*,7.50,1.06
0-0 5-6 30-30*,7.50,1.07
0-0 5-6 30-40*,9.50,1.04
0-0 5-6 40-40*,7.00,1.07
0-0 5-6 A-40*,5.40,1.13
0-0 6-6 *0-0,4.25,1.20
0-0 6-6 0-1*,5.20,1.14
0-0 6-6 1-1*,4.25,1.20
0-0 6-6 1-1*,4.20,1.20
0-0 6-6 *1-2,5.20,1.14
0-0 6-6 *2-2,4.05,1.22
0-0 6-6 3-2*,3.30,1.30
0-0 6-6 3-3*,4.00,1.22
0-0 6-6 *3-4,5.20,1.14
0-0 6-6 *4-4,4.00,1.22
0-0 6-6 *4-4,2.88,1.38
0-0 6-6 *4-5,3.70,1.25
0-0 6-6 *4-6,6.00,1.11
0-1 6-7 0-0*,12.00,1.02
0-1 6-7 0-0*,9.50,1.04
0-1 0-0 0-0*,9.50,1.04
0-1 0-0 0-15*,10.00,1.03
0-1 0-0 15-15*,9.50,1.04
0-1 0-0 15-30*,10.00,1.03
0-1 0-0 15-40*,11.00,1.02
0-1 0-0 30-40*,10.00,1.03
0-1 0-0 40-A*,10.00,1.03
0-1 0-1 *0-0,12.00,1.02
0-1 0-1 *0-15,12.00,1.01
0-1 0-1 *15-15,12.00,1.02
0-1 0-1 *0-15,12.00,1.02
0-1 0-1 *40-15,9.50,1.04
0-1 1-1 0-0*,9.50,1.04
0-1 1-1 15-0*,8.00,1.06
0-1 1-1 30-0*,7.00,1.07
0-1 1-1 30-15*,7.75,1.06
0-1 1-1 40-15*,6.50,1.08
0-1 1-1 40-30*,7.50,1.06
0-1 2-1 *0-0,6.00,1.10
0-1 2-1 *15-0,5.50,1.13
0-1 2-1 *15-15,6.00,1.10
0-1 2-1 *15-30,6.50,1.08
0-1 2-1 *30-30,6.00,1.10
0-1 2-1 *30-30,5.40,1.13
0-1 2-1 *30-40,6.00,1.10
0-1 2-1 *40-30,5.20,1.14
0-1 2-1 *40-40,5.40,1.13
0-1 2-1 *40-A,5.40,1.13
0-1 2-2 0-0*,7.75,1.06
0-1 2-2 15-0*,6.50,1.08
0-1 2-2 15-15*,7.75,1.06
0-1 2-2 15-30*,8.50,1.05
0-1 2-2 15-40*,9.50,1.04
0-1 2-2 30-40*,9.50,1.04
0-1 2-2 40-40*,7.50,1.06
0-1 2-2 A-40*,6.00,1.10
0-1 2-2 40-40*,7.50,1.06
0-1 2-2 40-40*,6.00,1.10
0-1 2-2 40-40*,7.50,1.06
0-1 2-2 40-A*,9.50,1.04
0-1 2-3 *0-0,10.00,1.03
0-1 2-3 *30-40,17.00,1.005
0-1 2-3 *15-15,17.00,1.005
0-1 2-3 *15-30,34.00,1.002
0-1 2-3 *30-30,15.00,1.005
0-1 2-3 *30-30,41.00,1.002
0-1 2-5 *0-0,81.00,1.001
0-1 2-5 *15-0,67.00,1.002
