Score,P1 Odds,P2 Odds
-,5.00,1.15
-,4.60,1.17
0-0 0-2 0-0*,6.50,1.08
0-0 0-2 15-40*,7.75,1.06
0-0 0-2 30-40*,7.50,1.06
0-0 0-2 40-40*,6.50,1.08
0-0 0-2 40-A*,7.50,1.06
0-0 0-2 40-A*,7.50,1.07
0-0 0-3 *0-0,8.00,1.06
0-0 0-3 *15-15,8.00,1.06
0-0 0-3 *40-15,7.00,1.08
0-0 0-3 *40-30,7.50,1.06
0-0 1-3 0-0*,6.50,1.08
0-0 1-3 15-0*,6.00,1.10
0-0 1-3 15-0*,6.50,1.09
0-0 1-3 30-30*,6.00,1.10
0-0 1-3 30-40*,7.50,1.06
0-0 1-3 A-40*,5.40,1.13
0-0 1-3 40-40*,6.00,1.10
0-0 1-3 40-A*,7.50,1.07
0-0 1-4 *0-0,8.00,1.06
0-0 1-4 *15-15,8.50,1.05
0-0 1-4 *15-30,8.50,1.05
0-0 1-4 *30-30,8.50,1.05
0-0 1-4 *40-40,8.50,1.05
0-0 1-4 *A-40,7.50,1.06
0-0 1-4 *40-40,8.50,1.05
0-0 1-4 *A-40,7.50,1.06
0-0 2-4 0-0*,6.50,1.08
0-0 2-4 15-15*,6.50,1.08
0-0 2-4 15-40*,8.50,1.05
0-0 2-5 *0-0,8.50,1.05
0-0 2-5 *15-0,8.50,1.05
0-0 2-5 *40-0,7.75,1.06
0-0 2-5 *30-0,8.00,1.06
0-0 3-5 15-0*,6.50,1.08
0-0 3-5 30-0*,6.00,1.11
0-0 3-5 30-30*,7.50,1.06
0-0 3-5 40-40*,7.50,1.06
0-0 3-5 A-40*,6.00,1.11
0-0 3-5 40-A*,8.50,1.05
0-1 3-6 *0-0,9.50,1.04
0-1 3-6 *0-15,10.00,1.04
0-1 3-6 *30-30,9.50,1.04
0-1 3-6 0-0*,7.00,1.07
0-1 1-2 40-A*,13.00,1.01
0-1 1-2 40-40*,12.00,1.02
0-1 1-2 40-40*,13.00,1.01
0-1 1-3 *0-0,17.00,1.005
0-1 1-3 *30-0,13.00,1.01
0-1 1-3 *40-0,12.00,1.02
0-1 2-3 0-0*,12.00,1.02
0-1 2-3 0-30*,13.00,1.01
0-1 2-3 0-40*,14.00,1.01
0-1 2-4 *0-0,14.00,1.01
0-1 2-4 *0-15,21.00,1.005
0-1 2-4 *30-15,13.00,1.01
0-1 2-4 *30-15,14.00,1.01
0-1 2-4 *40-15,13.00,1.01
0-1 2-4 *40-A,34.00,1.002
0-1 2-5 0-0*,101.00,1.001
0-1 2-5 0-15*,101.00,1.001
0-1 2-5 15-15*,81.00,1.001
0-1 2-5 15-30*,101.00,1.001
