Score,P1 Odds,P2 Odds
-,1.78,1.95
0-0 0-1 *40-30,1.79,1.94
0-0 1-1 *0-15,1.88,1.85
0-0 1-1 *15-15,1.79,1.95
0-0 1-1 *15-15,1.78,1.95
0-0 1-1 *30-15,1.67,2.12
0-0 1-1 *40-15,1.56,2.33
0-0 1-1 *40-30,1.63,2.18
0-0 3-2 *15-15,1.47,2.56
0-0 3-2 *30-15,1.40,2.82
0-0 3-2 *30-30,1.47,2.55
0-0 3-2 *30-40,1.61,2.22
0-0 3-3 *0-0,1.81,1.92
0-0 3-3 *0-15,1.94,1.80
0-0 3-3 *0-30,2.08,1.69
0-0 3-4 *0-0,2.27,1.59
0-0 3-4 *0-15,2.50,1.49
0-0 3-4 *0-30,2.82,1.40
0-0 3-4 *15-30,2.56,1.47
0-0 3-4 *30-30,2.29,1.58
0-0 3-4 *40-30,2.04,1.72
0-0 4-4 0-0*,1.85,1.88
0-0 4-4 0-0*,1.69,2.09
0-0 4-4 30-15*,1.64,2.16
0-0 4-4 30-30*,1.83,1.90
0-0 4-4 30-30*,1.81,1.92
0-0 4-4 30-40*,2.09,1.69
0-0 4-4 40-40*,1.80,1.93
0-0 4-5 *0-0,2.40,1.53
0-0 4-5 *15-0,2.18,1.63
0-0 4-5 *30-0,1.99,1.75
0-0 4-5 *30-15,2.15,1.65
0-0 4-5 *30-30,2.44,1.51
0-0 4-5 *40-30,2.07,1.70
0-0 4-5 *A-40,2.07,1.70
0-0 4-5 *40-40,2.44,1.51
0-0 4-5 *40-40,2.09,1.69
0-0 4-5 *40-40,2.47,1.50
0-0 4-5 *40-A,3.08,1.34
0-1 4-6 0-0*,4.20,1.20
0-1 4-6 15-0*,3.70,1.25
0-1 4-6 15-15*,4.05,1.22
0-1 4-6 15-15*,4.00,1.22
0-1 0-0 15-15*,4.00,1.22
0-1 0-0 40-15*,3.28,1.31
0-1 1-0 *0-0,2.99,1.36
0-1 1-0 *15-0,2.78,1.41
0-1 1-0 *15-15,2.99,1.36
0-1 1-0 *15-30,3.32,1.30
0-1 1-0 *15-40,3.70,1.25
0-1 1-0 *30-40,3.35,1.30
0-1 1-1 0-0*,4.00,1.22
0-1 1-1 15-15*,4.00,1.22
0-1 1-1 15-30*,4.60,1.17
0-1 1-1 30-30*,4.00,1.22
0-1 1-2 *0-0,5.20,1.14
0-1 1-2 *0-15,5.20,1.14
0-1 1-2 *0-30,6.50,1.08
0-1 1-2 *0-40,8.00,1.06
0-1 1-2 *15-40,8.00,1.06
0-1 1-2 *15-40,7.50,1.06
0-1 1-2 *30-40,6.00,1.10
0-1 1-2 *40-40,5.20,1.14
0-1 1-2 *40-A,6.00,1.10
0-1 1-2 *40-A,5.20,1.14
0-1 1-2 *40-A,6.00,1.10
0-1 1-3 0-0*,8.50,1.05
0-1 1-3 0-15*,9.50,1.04
0-1 1-3 15-15*,8.50,1.05
0-1 1-3 15-30*,9.50,1.04
0-1 1-3 30-30*,8.50,1.05
0-1 1-3 30-40*,10.00,1.03
0-1 1-4 *0-0,12.00,1.02
0-1 1-4 *15-15,12.00,1.02
0-1 1-4 *15-30,15.00,1.01
0-1 1-4 *30-30,12.00,1.01
0-1 1-4 *40-30,11.00,1.02
0-1 1-4 *A-40,11.00,1.02
0-1 1-4 *40-40,12.00,1.02
0-1 1-4 *40-A,17.00,1.005
0-1 2-5 *0-0,17.00,1.005
0-1 2-5 *0-15,34.00,1.002
0-1 2-5 *0-30,81.00,1.002
0-2 2-6 0-0*,1.001,1.001
