Score,P1 Odds,P2 Odds
-,2.00,1.75
0-0 1-1 *0-0,1.99,1.76
0-0 1-1 *15-0,1.91,1.82
0-0 1-1 *30-0,1.84,1.89
0-0 1-1 *40-0,1.80,1.94
0-0 2-1 0-0*,1.78,1.95
0-0 2-1 0-0*,1.77,1.97
0-0 2-1 15-0*,1.67,2.11
0-0 2-1 15-15*,1.77,1.98
0-0 2-1 15-30*,1.85,1.88
0-0 2-1 15-30*,1.83,1.89
0-0 2-1 30-40*,1.87,1.87
0-0 2-1 30-40*,1.85,1.88
0-0 2-2 *0-0,1.97,1.77
0-0 2-2 *15-0,1.88,1.85
0-0 2-2 *30-0,1.81,1.93
0-0 2-2 *40-0,1.77,1.97
0-0 2-2 *40-15,1.80,1.93
0-0 3-2 0-0*,1.76,1.98
0-0 3-2 15-0*,1.66,2.13
0-0 3-2 15-15*,1.74,2.00
0-0 3-2 15-30*,1.83,1.90
0-0 3-2 30-30*,1.73,2.03
0-0 3-2 30-40*,1.85,1.88
0-0 3-3 *0-0,1.93,1.80
0-0 3-3 *15-0,1.86,1.87
0-0 3-3 *30-0,1.78,1.96
0-0 3-3 *30-0,1.79,1.95
0-0 3-3 *30-15,1.86,1.87
0-0 3-3 *40-15,1.78,1.96
0-0 3-3 *40-30,1.82,1.91
0-0 3-3 *40-40,2.05,1.71
0-0 3-3 *A-40,1.83,1.90
0-0 4-3 0-0*,1.74,2.01
0-0 4-3 15-0*,1.63,2.18
0-0 4-3 15-15*,1.72,2.04
0-0 4-3 15-30*,1.82,1.91
0-0 4-3 15-40*,1.89,1.83
0-0 4-4 *0-0,1.93,1.80
0-0 4-4 *30-0,1.76,1.99
0-0 4-4 *40-0,1.72,2.04
0-0 5-4 0-0*,1.70,2.07
0-0 5-4 15-0*,1.55,2.35
0-0 5-4 15-15*,1.60,2.24
0-0 5-4 15-30*,1.71,2.06
0-0 5-4 15-40*,1.80,1.94
0-0 5-5 *0-0,1.84,1.89
0-0 5-5 *15-0,1.75,2.00
0-0 5-5 *15-0,1.76,1.98
0-0 5-5 *30-0,1.70,2.08
0-0 5-5 *40-0,1.65,2.15
0-0 5-5 *40-0,1.65,2.14
0-0 5-5 *40-15,1.68,2.10
0-0 5-5 *40-30,1.75,2.00
0-0 6-5 0-0*,1.65,2.16
0-0 6-5 15-0*,1.52,2.42
0-0 6-5 15-15*,1.63,2.19
0-0 6-5 15-15*,1.61,2.23
0-0 6-5 15-30*,1.72,2.04
0-0 6-5 15-30*,1.83,1.91
0-0 6-5 15-30*,1.82,1.91
0-0 6-6 *0-0,1.91,1.82
0-0 6-6 1-0*,1.68,2.10
0-0 6-6 2-0*,1.50,2.47
0-0 6-6 2-0*,1.47,2.55
0-0 6-6 *3-0,1.36,2.96
0-0 6-6 *4-0,1.30,3.32
0-0 6-6 5-0*,1.25,3.70
0-0 6-6 5-1*,1.28,3.45
0-0 6-6 *5-2,1.30,3.32
0-0 6-6 *6-2,1.25,3.70
1-0 7-6 0-0*,1.22,4.00
1-0 7-6 0-0*,1.25,3.70
1-0 7-6 0-15*,1.28,3.45
1-0 0-0 0-30*,1.25,3.70
1-0 0-1 *0-0,1.33,3.20
1-0 0-1 *0-15,1.37,2.92
1-0 0-1 *15-15,1.33,3.13
1-0 0-1 *15-30,1.40,2.81
1-0 0-1 *15-40,1.48,2.52
1-0 0-1 *30-40,1.42,2.72
1-0 0-1 *30-40,1.44,2.65
1-0 0-1 *30-40,1.35,3.02
1-0 0-1 *30-A,1.44,2.65
1-0 0-2 0-0*,1.44,2.65
1-0 0-2 0-0*,1.59,2.26
1-0 0-2 0-15*,1.64,2.18
1-0 0-2 0-30*,1.68,2.10
1-0 0-2 0-40*,1.70,2.07
1-0 0-3 *0-0,1.71,2.05
1-0 0-3 *0-0,1.91,1.82
1-0 0-3 *15-15,1.93,1.80
1-0 0-3 *30-15,1.88,1.85
1-0 0-3 *40-15,1.84,1.89
1-0 1-3 0-0*,1.82,1.91
1-0 1-3 0-0*,1.81,1.92
1-0 1-3 0-15*,1.87,1.86
1-0 1-3 0-15*,1.85,1.87
1-0 1-3 15-15*,1.78,1.95
1-0 1-3 30-15*,1.68,2.10
1-0 1-3 30-30*,1.78,1.96
1-0 1-4 *0-0,1.94,1.80
1-0 1-4 *15-0,1.91,1.82
1-0 1-4 *30-0,1.88,1.85
1-0 1-4 *40-0,1.87,1.87
1-0 2-4 0-0*,1.86,1.87
1-0 2-4 0-15*,1.92,1.81
1-0 2-4 0-30*,1.96,1.78
1-0 2-4 0-40*,2.00,1.75
1-0 2-5 *0-0,2.01,1.74
1-0 2-5 *0-15,2.07,1.70
1-0 2-5 *15-15,2.02,1.73
1-0 2-5 *30-15,1.98,1.76
1-0 2-5 *40-15,1.95,1.78
1-0 3-5 0-0*,1.92,1.81
1-0 3-5 0-15*,1.99,1.75
1-0 3-5 0-30*,2.05,1.71
1-0 3-5 0-40*,2.09,1.69
1-1 3-6 *0-0,2.14,1.66
1-1 3-6 *15-0,1.99,1.75
1-1 3-6 *30-0,1.90,1.83
1-1 3-6 *40-0,1.84,1.89
1-1 0-0 *40-0,1.88,1.85
1-1 1-0 0-0*,1.83,1.90
1-1 1-0 15-0*,1.68,2.10
1-1 1-0 15-15*,1.80,1.94
1-1 1-0 15-30*,1.92,1.81
1-1 1-0 15-40*,2.01,1.74
1-1 1-0 30-40*,1.94,1.80
1-1 1-0 30-40*,1.91,1.82
1-1 1-1 *0-0,2.08,1.69
1-1 1-1 *15-0,1.95,1.79
1-1 1-1 *15-15,1.95,1.69
1-1 1-1 *15-15,2.09,1.69
1-1 2-2 *15-15,2.44,1.51
1-1 2-2 *15-40,3.78,1.25
1-1 2-2 *30-40,3.14,1.33
1-1 2-3 0-0*,5.40,1.13
1-1 2-3 0-15*,6.00,1.10
1-1 2-3 0-30*,7.00,1.08
1-1 2-3 0-40*,7.50,1.06
1-1 2-4 *0-0,8.00,1.06
1-1 2-4 *15-0,7.50,1.07
1-1 2-4 *15-15,8.00,1.06
1-1 2-4 *30-15,7.00,1.07
1-1 2-4 *30-30,8.50,1.05
1-1 2-4 *30-40,10.00,1.03
1-1 2-4 *30-40,11.00,1.02
1-1 2-4 *40-40,9.50,1.04
1-1 2-4 *40-A,11.00,1.02
1-1 2-5 0-0*,51.00,1.002
1-1 2-5 0-15*,81.00,1.001
1-1 2-5 15-15*,41.00,1.002
1-1 2-5 30-15*,17.00,1.005
1-1 2-5 30-15*,15.00,1.01
1-1 2-5 40-15*,12.00,1.02
1-1 2-5 40-30*,13.00,1.01
1-1 3-5 *0-0,10.00,1.03
1-1 3-5 *0-15,12.00,1.02
1-1 3-5 *0-30,15.00,1.01
1-1 3-5 *15-30,12.00,1.02
1-1 3-5 *15-40,34.00,1.005
1-1 3-5 *30-40,13.00,1.01
1-1 3-5 *30-40,14.00,1.01
1-2 3-6 *0-0,1.001,1.001
