Score,P1 Odds,P2 Odds
-,1.40,2.80
0-0 0-0 *0-15,1.46,2.59
0-0 0-0 *15-30,1.48,2.52
0-0 0-0 *30-30,1.41,2.77
0-0 0-0 *40-30,1.34,3.06
0-0 0-0 *40-40,1.43,2.71
0-0 0-0 *40-A,1.52,2.42
0-0 0-1 0-0*,1.67,2.12
0-0 0-1 15-0*,1.58,2.27
0-0 0-1 15-15*,1.66,2.13
0-0 0-1 30-15*,1.56,2.33
0-0 0-1 40-30*,1.53,2.39
0-0 0-1 40-40*,1.66,2.14
0-0 0-2 *0-0,1.89,1.84
0-0 0-2 *30-0,1.76,1.99
0-0 0-2 *30-0,1.81,1.92
0-0 0-2 *30-30,1.92,1.81
0-0 0-2 *30-40,2.09,1.69
0-0 0-2 *40-40,1.91,1.82
0-0 0-2 *A-40,1.80,1.93
0-0 0-2 *40-40,1.91,1.82
0-0 0-2 *A-40,1.80,1.93
0-0 1-2 0-0*,1.71,2.06
0-0 1-2 40-40*,1.70,2.08
0-0 1-2 40-A*,1.82,1.91
0-0 1-2 40-A*,1.83,1.90
0-0 1-3 *0-0,1.96,1.78
