Score,P1 Odds,P2 Odds
-,6.00,1.11
0-0 0-1 0-30*,9.50,1.04
0-0 0-1 15-40*,9.50,1.04
0-0 0-1 30-40*,8.50,1.05
0-0 0-2 *0-0,9.50,1.04
0-0 0-2 *0-15,10.00,1.03
0-0 0-2 *0-30,10.00,1.03
0-0 0-2 *0-40,12.00,1.02
0-0 0-3 0-0*,12.00,1.02
0-0 0-3 15-30*,12.00,1.02
0-0 0-4 *0-0,13.00,1.01
0-0 0-4 *15-0,12.00,1.02
0-0 0-4 *30-0,12.00,1.02
0-0 1-4 0-0*,12.00,1.02
0-0 1-4 15-0*,11.00,1.02
0-0 1-4 30-15*,2.72,1.42
0-0 1-4 40-15*,10.00,1.03
0-0 2-4 *0-0,9.50,1.04
0-0 2-4 *0-15,10.00,1.03
0-0 2-4 *0-30,11.00,1.02
0-0 2-4 *15-30,10.00,1.03
