Score,P1 Odds,P2 Odds
-,2.05,1.71
-,2.10,1.68
0-0 0-0 15-0*,1.96,1.78
0-0 0-0 30-0*,1.83,1.89
0-0 0-0 40-0*,1.73,2.02
0-0 1-0 *0-0,1.68,2.10
0-0 1-0 *0-15,1.77,1.97
0-0 1-0 *0-15,1.68,2.10
0-0 1-0 *30-15,1.61,2.23
0-0 1-0 *40-15,1.54,2.37
0-0 2-0 0-0*,1.50,2.47
0-0 2-0 0-15*,1.55,2.35
0-0 2-0 15-15*,1.50,2.47
0-0 2-0 15-30*,1.56,2.33
0-0 2-0 15-40*,1.61,2.21
0-0 2-1 *0-0,1.65,2.16
0-0 2-1 *0-0,1.58,2.29
0-0 2-1 *0-15,1.66,2.13
0-0 2-1 *0-15,1.67,2.11
0-0 2-1 *0-30,1.78,1.95
0-0 2-1 *15-30,1.70,2.07
0-0 2-1 *15-40,1.85,1.88
0-0 2-1 *30-40,1.75,2.00
0-0 2-2 0-0*,1.98,1.77
0-0 2-2 15-0*,1.83,1.89
0-0 2-2 15-0*,1.71,2.05
0-0 2-2 40-0*,1.60,2.24
0-0 3-2 *0-0,1.55,2.34
0-0 3-2 *15-0,1.48,2.52
0-0 3-2 *15-15,1.56,2.34
0-0 3-2 *30-15,1.47,2.56
0-0 3-2 *30-30,1.56,2.33
0-0 3-2 *40-30,1.45,2.61
0-0 3-2 *40-40,1.56,2.33
0-0 3-2 *A-40,1.56,2.33
0-0 4-2 0-0*,1.37,2.92
0-0 4-2 0-15*,1.41,2.75
0-0 4-2 15-15*,1.37,2.93
0-0 4-2 30-15*,1.33,3.20
0-0 4-2 40-15*,1.28,3.45
0-0 5-2 *0-0,1.25,3.90
0-0 5-2 *15-15,1.25,3.78
0-0 5-2 *15-30,1.28,3.45
0-0 5-2 *30-30,1.25,3.75
0-0 5-2 *40-30,1.22,4.00
1-0 6-2 0-0*,1.20,4.25
1-0 6-2 0-15*,1.22,4.00
1-0 0-0 0-15*,1.20,4.25
1-0 0-0 30-15*,1.17,4.65
1-0 0-0 40-15*,1.13,5.40
1-0 1-0 *0-0,1.10,6.00
1-0 1-0 *15-0,1.08,6.50
1-0 1-0 *15-15,1.11,6.00
1-0 1-0 *15-30,1.13,5.40
1-0 1-0 *15-40,1.17,4.65
1-0 1-0 *30-40,1.14,5.20
1-0 1-0 *40-40,1.11,6.00
1-0 1-0 *A-40,1.08,7.00
1-0 2-0 0-0*,1.05,8.50
1-0 2-0 15-0*,1.04,9.50
1-0 2-0 15-15*,1.05,8.50
1-0 2-0 15-30*,1.06,7.50
1-0 2-0 15-40*,1.09,6.50
1-0 2-0 30-40*,1.07,7.00
1-0 2-0 40-40*,1.05,8.50
1-0 2-1 *0-0,1.10,6.00
1-0 2-1 *15-0,1.08,6.50
1-0 2-1 *15-15,1.11,6.00
1-0 2-1 *30-15,1.08,6.50
1-0 2-1 *30-30,1.11,6.00
1-0 2-1 *40-30,1.07,7.00
1-0 2-1 *40-30,1.11,6.00
1-0 2-1 *A-30,1.07,7.00
1-0 2-1 *A-30,1.11,6.00
1-0 2-1 *A-30,1.07,7.00
1-0 2-1 *A-30,1.11,5.90
1-0 2-1 *A-30,1.07,7.00
1-0 2-1 *A-30,1.11,5.90
1-0 2-1 *A-30,1.07,7.00
1-0 2-1 *A-30,1.11,5.90
1-0 2-1 *A-30,1.07,7.00
1-0 2-1 *A-40,1.05,8.50
1-0 2-1 *A-30,1.08,6.50
1-0 2-1 *A-30,1.10,6.00
1-0 2-2 *A-0,1.10,6.00
1-0 2-2 *15-0,1.07,7.00
1-0 2-2 *30-0,1.05,8.50
1-0 2-2 *40-0,1.04,9.50
1-0 4-2 0-0*,1.04,9.50
1-0 4-2 15-0*,1.03,10.00
1-0 4-2 15-15*,1.04,9.50
1-0 4-2 30-15*,1.02,11.00
1-0 4-2 30-30*,1.04,9.50
1-0 4-2 30-40*,1.05,8.50
1-0 4-3 *0-0,1.05,7.00
1-0 4-3 *0-0,1.07,7.00
1-0 4-3 *0-0,1.06,7.50
1-0 4-3 *0-15,1.11,6.00
1-0 4-3 *0-30,1.15,5.00
1-0 4-3 *0-15,1.15,5.00
1-0 4-3 *15-15,1.13,5.40
1-0 4-3 *30-15,1.08,6.50
1-0 4-3 *30-40,1.14,5.20
1-0 4-3 *40-40,1.08,6.50
1-0 4-3 *A-40,1.04,9.50
1-0 4-3 *40-40,1.08,6.50
1-0 4-3 *40-40,1.10,6.00
1-0 4-3 *40-A,1.14,5.20
1-0 4-4 0-0*,1.25,3.70
1-0 4-4 0-0*,1.30,3.33
1-0 4-4 15-30*,1.31,3.26
1-0 4-4 15-40*,1.38,2.91
1-0 4-4 30-40*,1.33,3.14
1-0 4-4 40-40*,1.22,4.00
1-0 4-4 40-A*,1.33,3.20
1-0 4-5 *0-0,1.42,2.74
1-0 4-5 *15-0,1.34,3.07
1-0 4-5 *30-15,1.34,3.09
1-0 4-5 *30-30,1.44,2.66
1-0 4-5 *40-30,1.33,3.16
1-0 4-5 *40-40,1.45,2.62
1-0 4-5 *A-40,1.33,3.16
1-0 4-5 *40-40,1.45,2.62
1-0 4-5 *40-A,1.64,2.17
1-0 4-5 *40-40,1.45,2.62
1-0 4-5 *40-A,1.64,2.17
1-0 4-5 *40-A,1.95,1.79
1-0 4-5 *40-A,1.71,2.05
1-0 4-5 *40-A,1.70,2.07
1-0 4-5 *15-A,1.56,2.32
1-1 0-0 15-15*,1.70,2.07
1-1 0-0 30-15*,1.52,2.41
1-1 0-0 30-30*,1.67,2.12
1-1 0-0 30-40*,1.87,1.87
1-1 0-0 40-40*,1.65,2.15
1-1 0-0 40-A*,1.86,1.87
1-1 0-1 *0-0,2.07,1.70
1-1 0-1 *0-15,2.35,1.55
1-1 0-1 *15-15,2.12,1.67
1-1 0-1 *30-30,2.12,1.67
1-1 0-1 *30-40,2.67,1.44
1-1 0-1 *40-40,2.16,1.64
1-1 0-1 *A-40,1.88,1.85
1-1 0-1 *40-40,2.17,1.64
1-1 0-1 *A-40,1.86,1.87
1-1 1-1 0-0*,1.72,2.04
1-1 1-1 0-15*,1.85,1.88
1-1 1-1 0-15*,1.69,2.09
1-1 1-1 30-15*,1.51,2.44
1-1 1-1 30-30*,1.69,2.09
1-1 1-1 30-40*,1.88,1.85
1-1 1-2 *0-0,2.11,1.67
1-1 1-2 *15-0,1.95,1.79
1-1 1-2 *30-0,1.83,1.90
1-1 1-2 *30-0,1.94,1.80
1-1 1-2 *40-30,1.90,1.83
1-1 1-2 *40-40,2.17,1.64
1-1 1-2 *40-A,2.74,1.42
1-1 1-3 0-0*,4.25,1.20
1-1 1-3 0-15*,5.00,1.15
1-1 1-3 0-15*,4.65,1.17
1-1 1-3 15-15*,4.00,1.22
1-1 1-3 30-15*,3.33,1.30
1-1 1-3 30-30*,4.00,1.22
1-1 1-3 30-40*,5.20,1.14
1-1 1-3 40-A*,4.00,1.22
1-1 1-3 40-A*,5.20,1.14
1-1 1-4 *0-0,6.00,1.10
1-1 1-4 *15-0,5.90,1.11
1-1 1-4 *15-15,6.50,1.09
1-1 1-4 *30-15,5.90,1.11
1-1 1-4 *30-30,6.50,1.08
1-1 1-4 *40-30,5.50,1.13
1-1 1-4 *40-40,7.00,1.08
1-1 1-4 *A-40,6.50,1.09
1-1 1-4 *A-40,5.40,1.13
1-1 2-4 0-0*,5.20,1.14
1-1 2-4 0-0*,4.65,1.16
1-1 2-4 0-15*,5.90,1.11
1-1 2-4 0-30*,7.50,1.06
1-1 2-4 0-40*,8.50,1.05
1-1 2-5 *0-0,9.50,1.04
1-1 2-5 *15-0,8.50,1.05
1-1 2-5 *30-0,7.75,1.06
1-1 2-5 *30-15,8.50,1.05
1-1 2-5 *40-15,7.50,1.06
1-1 2-5 *40-30,8.50,1.05
1-1 3-5 0-0*,6.50,1.08
1-1 3-5 0-15*,9.50,1.04
1-1 3-5 0-30*,13.00,1.01
1-1 3-5 0-40*,13.00,1.01
1-1 3-5 0-40*,67.00,1.002
1-2 3-6 0-0*,1.001,1.001
