Score,P1 Odds,P2 Odds
-,4.00,1.22
0-0 1-1 40-0*,2.98,1.36
0-0 2-1 *0-0,2.71,1.43
0-0 2-1 *15-0,2.50,1.49
0-0 2-1 *15-30,3.03,1.35
0-0 2-1 *30-40,3.14,1.33
0-0 2-1 *40-40,2.73,1.42
0-0 2-1 *A-40,2.74,1.42
0-0 2-1 *40-A,3.14,1.33
0-0 2-2 0-0*,3.70,1.25
0-0 2-2 15-0*,3.32,1.30
0-0 2-2 30-0*,3.06,1.34
0-0 3-2 *40-40,2.61,1.45
0-0 3-3 0-0*,3.70,1.25
0-0 3-3 15-15*,3.70,1.25
0-0 3-3 15-30*,4.25,1.20
0-0 3-3 40-30*,3.03,1.35
0-0 4-3 *0-0,2.75,1.51
0-0 3-3 40-A*,4.25,1.20
0-0 3-4 *0-0,5.20,1.14
0-0 3-4 *15-0,4.60,1.17
0-1 1-1 *30-40,10.00,1.03
0-1 1-1 *A-40,8.00,1.06
0-1 2-1 0-0*,6.50,1.08
0-1 2-1 40-A*,7.75,1.06
0-1 2-2 *40-0,6.50,1.10
0-1 2-2 *40-15,6.50,1.09
0-1 2-2 *40-30,6.50,1.08
0-1 2-2 *40-40,8.00,1.06
0-1 2-2 *A-40,6.50,1.08
0-1 2-2 *40-40,8.00,1.06
0-1 2-2 *40-A,9.50,1.04
0-1 2-3 0-0*,12.00,1.02
0-1 2-3 0-15*,13.00,1.01
0-1 3-4 0-0*,12.00,1.02
0-1 3-4 15-30*,13.00,1.01
0-1 3-4 30-30*,11.00,1.02
0-1 3-5 *0-0,41.00,1.002
0-1 3-5 *15-15,34.00,1.002
0-1 3-5 *15-30,67.00,1.002
0-1 3-5 *30-30,34.00,1.002
0-1 3-5 *40-40,34.00,1.002
0-1 3-5 *A-40,15.00,1.01
0-1 4-5 0-0*,12.00,1.01
0-1 4-5 15-15*,12.00,1.02
0-1 4-5 15-30*,21.00,1.005
0-2 4-6 *0-0,34.00,1.001
0-2 4-6 *0-0,1.001,1.001
