Score,P1 Odds,P2 Odds
-,1.96,1.78
0-0 0-0 15-0*,1.85,1.88
0-0 0-0 15-15*,2.07,1.70
0-0 0-1 *0-0,2.27,1.59
0-0 0-1 *15-0,2.15,1.65
0-0 0-1 *15-15,2.29,1.58
0-0 0-1 *40-15,2.03,1.73
0-0 0-1 *40-30,2.11,1.67
0-0 0-1 *40-40,2.32,1.56
0-0 1-1 15-0*,1.86,1.87
0-0 1-1 30-15*,1.82,1.91
0-0 1-1 40-15*,1.68,2.10
0-0 2-1 *0-0,1.60,2.24
0-0 2-1 *15-15,1.61,2.23
0-0 2-1 *30-30,1.61,2.22
0-0 2-1 *40-A,1.76,1.99
0-0 2-1 *40-A,1.76,1.98
0-0 2-2 0-0*,1.98,1.76
0-0 2-2 30-0*,1.73,2.03
0-0 2-2 40-0*,1.63,2.19
0-0 2-2 40-15*,1.67,2.11
0-0 2-2 40-40*,1.97,1.78
0-0 3-2 *0-0,1.58,2.27
0-0 3-2 *15-0,1.51,2.45
0-0 3-2 *40-0,1.44,2.81
0-0 3-2 *40-0,1.40,2.81
0-0 4-2 15-0*,1.33,3.14
0-0 4-2 30-15*,1.33,3.16
0-0 4-2 40-15*,1.28,3.45
0-0 5-2 *0-0,1.25,3.80
0-0 5-2 *30-0,1.20,4.20
0-0 5-2 *40-15,1.20,4.25
1-0 6-2 0-0*,1.20,4.25
1-0 0-0 0-0*,1.17,4.60
1-0 0-0 0-15*,1.20,4.25
1-0 0-0 0-30*,1.23,3.92
1-0 0-0 15-30*,1.25,3.70
1-0 0-1 *0-0,1.28,3.45
1-0 0-1 *30-0,1.22,4.00
1-0 0-1 *30-15,1.25,3.78
1-0 0-1 *40-30,1.22,4.00
1-0 1-1 0-15*,1.22,4.00
1-0 1-1 0-40*,1.28,3.45
1-0 1-2 *0-0,1.30,3.32
1-0 1-2 *15-0,1.28,3.45
1-0 1-2 *15-30,1.36,2.98
1-0 1-2 *15-40,1.44,2.67
1-0 1-3 15-15*,1.50,2.47
1-0 1-3 15-30*,1.57,2.31
1-0 1-3 40-30*,1.41,2.77
1-0 1-3 40-40*,1.50,2.47
1-0 1-3 40-A*,1.67,2.11
1-0 1-3 15-15*,1.67,2.11
1-0 1-3 30-30*,1.68,2.10
1-0 2-3 0-0*,1.70,2.07
1-0 1-4 *40-40,1.75,1.99
1-0 1-4 *A-40,1.83,1.90
1-0 1-5 0-0*,2.04,1.72
1-0 1-5 15-0*,2.00,1.75
1-0 1-5 15-30*,2.08,1.70
1-0 1-5 30-40*,2.15,1.65
1-1 1-6 *0-0,2.27,1.59
1-1 0-0 *0-40,3.70,1.25
1-1 0-0 *15-40,3.14,1.33
1-1 0-0 *40-40,2.40,1.53
1-1 1-0 *15-40,2.02,1.73
1-1 1-0 *15-15,2.25,1.60
1-1 1-1 *30-15,2.25,1.59
1-1 1-1 *30-40,2.77,1.41
1-1 1-1 *40-40,2.23,1.61
1-1 2-1 0-0*,1.68,2.10
1-1 2-1 0-15*,1.98,1.76
1-1 2-2 *0-0,2.03,1.73
1-1 2-2 *0-15,2.50,1.49
1-1 2-2 *0-40,3.45,1.28
1-1 2-3 0-0*,3.96,1.22
1-1 2-3 0-30*,5.40,1.13
1-1 2-4 *0-0,6.00,1.10
1-1 2-4 *15-30,8.50,1.05
1-1 2-4 *30-40,9.50,1.04
1-1 2-5 0-0*,14.00,1.01
1-1 2-5 0-15*,34.00,1.004
1-1 2-5 15-30*,34.00,1.004
