Score,P1 Odds,P2 Odds
-,1.68,2.10
0-0 0-0 *0-15,1.62,2.06
0-0 0-0 *15-15,1.63,2.18
0-0 0-0 *15-15,1.73,2.02
0-0 0-0 *40-15,1.54,2.37
0-0 1-0 0-0*,1.47,2.56
0-0 0-0 *A-40,1.54,2.37
0-0 0-0 *40-40,1.66,2.14
0-0 1-0 0-0*,1.48,2.53
0-0 1-0 0-0*,1.54,2.37
0-0 1-0 0-15*,1.65,2.16
0-0 1-0 30-15*,1.52,2.42
0-0 1-0 40-15*,1.42,2.74
0-0 1-0 40-A*,1.51,2.45
0-0 1-1 *0-0,1.69,2.08
0-0 1-1 *0-15,1.79,1.95
0-0 1-1 *15-30,1.82,1.91
0-0 1-1 *15-40,2.00,1.75
0-0 1-1 *30-40,1.89,1.83
0-0 1-1 *40-40,1.73,2.03
0-0 1-1 *A-40,1.61,2.23
0-0 2-1 0-0*,1.53,2.39
0-0 2-1 15-15*,1.52,2.42
0-0 2-1 15-30*,1.59,2.26
0-0 2-1 30-30*,1.51,2.45
0-0 2-1 30-40*,1.60,2.24
0-0 2-1 40-40*,1.50,2.47
0-0 2-1 40-A*,1.61,2.22
0-0 2-2 *0-0,1.69,2.09
0-0 2-2 *15-0,1.62,2.20
0-0 2-2 *30-0,1.57,2.31
0-0 2-2 *30-15,1.62,2.21
0-0 2-2 *30-30,1.73,2.03
0-0 2-2 *40-40,1.72,2.04
0-0 3-2 0-0*,1.52,2.41
0-0 3-2 0-15*,1.58,2.27
0-0 3-2 15-15*,1.51,2.44
0-0 3-2 30-15*,1.43,2.71
0-0 3-2 30-15*,1.50,2.47
0-0 3-2 40-40*,1.60,2.25
0-0 3-2 40-40*,1.49,2.50
0-0 3-3 *0-0,1.69,2.09
0-0 3-3 *15-0,1.62,2.20
0-0 3-3 *15-15,1.72,2.04
0-0 3-3 *15-40,2.14,1.66
0-0 3-4 0-0*,2.39,1.53
0-0 3-4 0-15*,2.81,1.40
0-0 3-4 0-30*,3.02,1.35
0-0 3-4 15-30*,2.80,1.40
