Score,P1 Odds,P2 Odds
-,1.53,2.39
0-0 0-0 15-0*,1.47,2.56
0-0 0-0 30-0*,1.40,2.80
0-0 1-0 *0-0,1.31,3.24
0-0 1-0 *0-0,1.33,3.20
0-0 1-0 *15-0,1.30,3.35
0-0 1-0 *15-15,1.33,3.14
0-0 1-0 *30-30,4.00,1.22
0-0 1-0 *30-40,1.41,2.78
0-0 1-1 0-0*,1.53,2.37
0-0 1-1 0-15*,1.61,2.24
0-0 1-1 0-15*,1.53,2.39
0-0 1-1 30-15*,1.44,2.65
0-0 1-1 40-15*,1.36,2.97
0-0 2-1 *0-0,1.31,3.27
0-0 2-1 *15-0,1.28,3.45
0-0 2-1 *30-0,1.25,3.70
0-0 2-1 *40-0,1.22,4.00
0-0 2-1 *40-15,1.25,3.80
0-0 3-1 0-15*,1.25,3.70
0-0 3-1 0-30*,1.28,3.45
0-0 3-2 *0-0,1.30,3.32
0-0 3-2 *15-0,1.28,3.50
0-0 3-2 *15-15,1.31,3.27
0-0 3-2 *30-15,1.28,3.45
0-0 3-2 *30-30,1.31,3.22
0-0 3-2 *40-30,1.25,3.70
0-0 3-2 *A-40,1.31,3.70
0-0 4-2 0-0*,1.20,4.20
0-0 4-2 0-15*,1.22,4.00
0-0 4-2 15-15*,1.20,4.25
0-0 4-2 30-15*,1.17,4.60
0-0 4-2 30-30*,1.20,4.25
0-0 4-2 30-40*,1.25,3.75
0-0 4-2 40-40*,1.20,4.25
0-0 4-2 40-A*,1.25,3.75
0-0 4-3 *0-0,1.28,3.45
0-0 4-3 *15-0,1.25,3.80
0-0 4-3 *15-15,1.28,3.40
0-0 4-3 *15-30,1.36,2.96
0-0 4-3 *30-30,1.30,3.32
0-0 4-3 *40-30,1.22,4.00
0-0 4-3 *40-40,1.31,3.28
0-0 4-3 *40-A,1.41,2.78
0-0 4-3 *40-40,1.42,3.32
0-0 4-3 *40-40,1.30,3.32
0-0 4-3 *A-40,1.22,4.00
0-0 5-3 0-0*,1.22,4.00
0-0 5-3 0-0*,1.17,4.65
0-0 5-3 0-15*,1.20,4.25
0-0 5-3 0-30*,1.22,4.00
0-0 5-4 *0-0,1.25,3.78
0-0 5-4 *0-30,1.31,3.24
0-0 5-4 *15-30,1.33,3.13
0-0 5-4 *30-30,1.25,3.70
0-0 5-4 *30-30,1.25,3.69
0-0 5-4 *40-30,1.17,4.60
0-0 5-4 *40-40,1.28,3.45
0-0 5-4 *40-A,1.40,2.82
0-0 5-4 *40-A,1.28,3.45
0-0 5-4 *40-A,1.40,2.82
0-0 5-5 0-0*,1.62,2.21
0-0 5-5 15-0*,1.49,2.50
0-0 5-5 30-0*,1.37,2.94
0-0 5-5 40-0*,1.28,3.40
0-0 6-5 *0-0,1.25,3.78
0-0 6-5 *0-15,1.31,3.24
0-0 6-5 *15-15,1.25,3.70
0-0 6-5 *15-30,1.34,3.09
0-0 6-5 *15-40,1.47,2.56
0-0 6-5 *15-40,1.48,2.53
0-0 6-6 0-0*,1.61,2.22
0-0 6-6 *1-0,1.45,2.61
0-0 6-6 *2-0,1.33,3.14
0-0 6-6 2-2*,1.63,2.19
0-0 6-6 *2-3,1.85,1.88
0-0 6-6 *2-4,2.26,1.59
0-0 6-6 3-4*,1.98,1.76
0-0 6-6 *5-4,1.35,3.03
0-0 6-6 *6-4,1.22,4.00
1-0 7-6 *0-0,1.13,5.40
1-0 0-0 *0-0,1.13,5.40
1-0 0-0 *15-0,1.14,5.20
1-0 0-0 *15-15,1.17,4.65
1-0 0-0 *30-15,1.14,5.20
1-0 0-0 *40-15,1.13,5.40
1-0 0-0 *40-30,1.14,5.20
1-0 1-0 0-0*,1.13,5.50
1-0 1-0 0-0*,1.13,5.70
1-0 1-0 0-15*,1.14,5.20
1-0 1-0 15-15*,1.12,5.70
1-0 1-0 15-15*,1.14,5.20
1-0 1-0 30-15*,1.12,5.70
1-0 1-0 40-15*,1.08,6.50
1-0 2-0 *0-0,1.04,9.50
1-0 2-0 *15-0,1.04,9.50
1-0 2-0 *15-15,1.04,9.50
1-0 2-0 *30-15,1.03,10.00
1-0 2-0 *30-30,1.04,9.50
1-0 2-0 *40-30,1.03,10.00
1-0 2-0 *40-40,1.04,9.50
1-0 2-0 *A-40,1.03,10.00
1-0 3-0 0-0*,1.02,12.00
1-0 3-0 0-15*,1.02,11.00
1-0 3-0 15-15*,1.02,12.00
1-0 3-0 30-15*,1.01,13.00
1-0 3-0 30-30*,1.02,12.00
1-0 3-0 40-30*,1.01,14.00
1-0 3-0 40-40*,1.02,12.00
1-0 3-0 A-40*,1.01,14.00
1-0 4-0 *0-0,1.002,41.00
1-0 4-0 *15-0,1.002,67.00
1-0 4-0 *15-15,1.002,67.00
1-0 4-0 *30-30,1.002,41.00
1-0 4-0 *30-40,1.005,17.00
1-0 4-1 0-0*,1.01,13.00
1-0 4-1 15-0*,1.01,15.00
1-0 4-1 30-0*,1.004,34.00
1-0 4-1 40-0*,1.002,67.00
1-0 5-1 *0-0,1.001,81.00
