Score,P1 Odds,P2 Odds
-,1.56,2.33
0-0 0-0 0-15*,1.62,2.21
0-0 0-1 *0-0,1.75,1.99
0-0 0-1 *15-0,1.69,2.09
0-0 0-1 *0-30,1.90,1.83
0-0 0-1 *30-30,1.91,1.82
0-0 0-2 0-0*,2.42,1.52
0-0 0-2 30-0*,2.11,1.67
0-0 0-2 30-15*,2.23,1.61
0-0 0-2 40-30*,2.17,1.64
0-0 0-2 40-40*,2.37,1.54
0-0 0-2 40-A*,2.62,1.45
0-0 0-2 40-A*,2.37,1.54
0-0 1-2 *0-0,1.93,1.80
0-0 1-2 *0-0,1.89,1.84
0-0 1-2 *0-30,2.19,1.63
0-0 1-2 *0-40,2.36,1.54
0-0 1-2 *30-40,2.11,1.67
0-0 1-2 *40-40,1.90,1.83
0-0 1-2 *40-40,1.91,1.82
0-0 1-2 *40-A,2.11,1.67
0-0 1-3 0-0*,2.45,1.51
0-0 1-3 30-0*,2.12,1.67
0-0 2-3 *0-0,1.93,1.80
0-0 2-3 *15-0,1.82,1.91
0-0 2-3 *15-15,1.95,1.79
0-0 2-3 *30-15,1.81,1.93
0-0 2-3 *40-15,1.71,2.06
0-0 3-3 0-0*,1.59,2.26
0-0 3-3 0-0*,1.59,2.27
0-0 3-3 0-30*,1.79,1.94
0-0 3-3 0-40*,1.88,1.85
0-0 3-4 *0-0,1.93,1.81
0-0 3-4 *15-15,1.94,1.80
0-0 3-4 *15-15,1.95,1.79
0-0 3-4 *30-30,1.97,1.77
0-0 3-4 *30-40,2.29,1.58
0-0 3-5 0-0*,2.80,1.40
0-0 3-5 0-30*,3.31,1.30
0-0 3-5 30-30*,2.78,1.41
0-0 3-5 30-40*,3.14,1.33
0-0 3-5 40-40*,2.78,1.41
0-0 3-5 40-A*,3.14,1.33
0-1 3-6 *0-0,3.45,1.28
0-1 0-0 *0-0,3.45,1.28
0-1 0-0 *0-30,4.30,1.17
0-1 0-0 *30-30,3.66,1.25
0-1 0-0 *30-40,4.25,1.20
0-1 0-1 0-0*,5.20,1.14
0-1 0-1 0-15*,5.40,1.13
0-1 0-1 15-15*,5.20,1.14
0-1 0-1 15-40*,6.00,1.10
0-1 0-1 30-40*,6.00,1.10
0-1 0-2 *15-0,6.00,1.10
0-1 0-2 *40-0,5.20,1.14
0-1 0-2 *40-15,5.40,1.13
0-1 0-2 *40-30,6.00,1.11
0-1 1-2 0-0*,5.20,1.14
0-1 1-2 0-15*,5.90,1.11
0-1 1-2 15-15*,5.20,1.14
0-1 1-2 30-40*,6.00,1.11
0-1 1-3 *0-0,7.00,1.07
0-1 1-3 *30-0,6.00,1.11
0-1 1-3 *30-30,7.50,1.07
0-1 1-3 *40-30,6.00,1.10
0-1 2-3 0-0*,5.40,1.13
0-1 2-3 15-0*,5.40,1.13
0-1 2-3 15-30*,6.00,1.10
0-1 2-3 15-40*,7.50,1.07
0-1 2-3 30-40*,6.00,1.10
0-1 2-4 *15-0,7.00,1.07
0-1 2-4 *15-15,8.50,1.05
0-1 2-4 *30-30,8.50,1.05
0-1 2-5 0-0*,34.00,1.004
0-1 2-5 30-0*,12.00,1.02
0-1 2-5 40-0*,11.00,1.02
0-1 2-5 40-30*,13.00,1.01
0-1 2-5 40-40*,21.00,1.005
0-1 2-5 40-40*,17.00,1.005
