Score,P1 Odds,P2 Odds
-,2.46,1.50
0-0 0-0 *0-15,2.64,1.45
0-0 0-0 *0-15,2.65,1.44
0-0 0-0 *0-30,2.90,1.38
0-0 0-0 *0-40,3.14,1.33
0-0 0-1 0-0*,3.31,1.30
0-0 0-1 0-15*,3.45,1.28
0-0 0-1 0-30*,3.70,1.25
0-0 0-1 0-40*,4.00,1.22
0-0 0-2 *0-0,4.00,1.22
0-0 0-2 *0-0,3.70,1.25
0-0 0-2 *0-15,4.00,1.22
0-0 0-2 *0-30,4.25,1.20
0-0 0-2 *0-30,4.30,1.20
0-0 0-2 *0-40,4.65,1.17
0-0 0-3 0-0*,5.20,1.14
0-0 0-3 0-15*,5.40,1.13
0-0 0-3 0-30*,5.40,1.13
0-0 0-3 15-30*,5.40,1.13
0-0 0-3 15-40*,5.40,1.13
0-0 0-4 *0-0,5.70,1.11
0-0 0-4 *15-0,5.40,1.13
0-0 0-4 *15-15,6.00,1.10
0-0 0-4 *15-30,6.50,1.08
0-0 0-4 *30-15,6.00,1.10
0-0 0-4 *40-30,6.00,1.10
0-0 1-4 0-0*,6.00,1.11
0-0 1-4 0-15*,6.00,1.10
0-0 1-4 15-15*,6.00,1.11
0-0 1-4 15-30*,6.00,1.10
0-0 1-4 30-30*,6.00,1.11
0-0 1-4 30-40*,6.00,1.10
0-0 1-5 *0-0,6.50,1.08
0-0 1-5 *15-0,6.50,1.08
0-0 1-5 *15-15,6.50,1.08
0-0 1-5 *30-15,6.50,1.09
0-0 1-5 *40-30,6.00,1.10
0-0 1-5 *40-30,6.50,1.10
0-0 2-5 0-0*,6.00,1.10
0-0 2-5 15-0*,6.00,1.11
0-0 2-5 15-15*,6.00,1.10
0-0 2-5 15-15*,6.00,1.11
0-0 2-5 15-30*,6.00,1.10
0-0 2-5 15-40*,6.00,1.10
0-0 2-5 40-40*,6.00,1.10
0-0 2-5 40-A*,6.00,1.10
0-1 2-6 *0-0,6.50,1.08
0-1 0-0 *0-0,6.50,1.08
0-1 0-0 *15-0,6.00,1.10
0-1 0-0 *15-15,6.50,1.08
0-1 0-0 *30-15,6.00,1.10
0-1 0-0 *40-15,5.50,1.13
0-1 0-0 *40-30,6.00,1.11
0-1 1-0 0-0*,5.40,1.13
0-1 1-0 0-15*,5.70,1.12
0-1 1-0 15-15*,5.20,1.14
0-1 1-0 15-30*,5.70,1.12
0-1 1-0 15-40*,6.00,1.10
0-1 1-1 *0-0,6.00,1.10
0-1 1-1 *15-0,6.00,1.11
0-1 1-1 *15-15,6.00,1.10
0-1 1-1 *15-30,7.50,1.06
0-1 1-1 *30-30,6.00,1.10
0-1 1-1 *40-30,6.00,1.10
0-1 2-1 0-0*,5.50,1.13
0-1 2-1 0-0*,5.40,1.13
0-1 2-1 15-0*,5.20,1.14
0-1 2-1 30-0*,4.65,1.17
0-1 2-1 40-0*,4.25,1.20
0-1 3-1 *0-0,4.00,1.22
0-1 2-1 40-15*,4.30,1.17
0-1 2-1 40-15*,4.00,1.22
0-1 2-1 15-15*,3.70,1.25
0-1 2-1 15-15*,4.00,1.22
0-1 2-1 30-15*,3.70,1.25
0-1 2-1 30-30*,4.00,1.22
0-1 2-1 30-40*,4.60,1.17
0-1 2-1 30-40*,4.65,1.17
0-1 2-2 0-0*,5.40,1.13
0-1 3-2 0-0*,5.40,1.13
0-1 3-2 15-0*,5.00,1.15
0-1 3-2 30-0*,4.25,1.20
0-1 3-2 40-0*,4.00,1.22
0-1 3-2 40-15*,4.05,1.22
0-1 3-2 40-30*,4.60,1.17
0-1 4-2 *0-0,3.70,1.25
0-1 4-2 *0-15,4.00,1.22
0-1 4-2 *0-30,4.60,1.17
0-1 4-2 *0-40,4.80,1.16
0-1 4-3 0-0*,5.20,1.14
0-1 4-3 0-15*,5.40,1.13
0-1 4-3 0-30*,6.00,1.11
0-1 4-3 0-40*,6.00,1.10
0-1 4-4 *0-0,6.50,1.08
0-1 4-4 *0-15,8.00,1.06
0-1 4-4 *15-15,6.50,1.08
0-1 4-4 *30-15,5.50,1.13
0-1 4-4 *40-15,5.20,1.14
0-1 5-4 0-0*,4.60,1.17
0-1 5-4 0-15*,5.20,1.14
0-1 5-4 0-30*,5.50,1.13
0-1 5-4 0-40*,6.00,1.10
0-1 5-5 *0-0,6.00,1.10
0-1 5-5 *0-15,7.75,1.06
0-1 5-5 *15-15,6.00,1.10
0-1 5-5 *30-15,5.40,1.13
0-1 5-5 *40-15,4.65,1.17
0-1 5-5 *30-15,4.65,1.17
0-1 6-5 0-0*,4.60,1.17
0-1 6-5 0-15*,5.20,1.14
0-1 6-5 0-15*,5.00,1.15
0-1 6-5 15-15*,4.25,1.20
0-1 6-5 15-30*,5.20,1.14
0-1 6-5 30-30*,4.25,1.20
0-1 6-5 40-30*,3.32,1.30
0-1 6-5 40-30*,3.31,1.30
0-1 6-6 *1-3,10.00,1.03
0-1 6-6 2-3*,8.50,1.05
0-1 6-6 3-3*,6.00,1.11
0-1 6-6 3-3*,5.90,1.11
0-1 6-6 *4-3,4.60,1.17
0-1 6-6 *4-4,6.00,1.11
0-1 6-6 5-4*,4.60,1.17
