Score,P1 Odds,P2 Odds
-,2.50,1.49
0-0 0-0 *40-40,2.50,1.49
0-0 1-0 0-0*,2.13,1.66
0-0 1-0 0-15*,2.25,1.60
0-0 1-0 0-30*,2.35,1.55
0-0 1-0 0-40*,2.42,1.52
0-0 1-1 *0-0,2.47,1.50
0-0 1-1 *15-0,2.33,1.56
0-0 1-1 *30-0,2.21,1.62
0-0 1-1 *40-15,2.17,1.64
0-0 1-1 *40-30,2.28,1.58
0-0 2-1 0-0*,2.10,1.68
0-0 2-1 0-15*,2.21,1.62
0-0 2-1 0-30*,2.31,1.57
0-0 2-1 0-40*,2.40,1.53
0-0 2-1 15-40*,2.35,1.55
0-0 2-1 15-40*,2.34,1.55
0-0 2-2 *0-0,2.34,1.55
0-0 2-2 *0-0,2.44,1.51
0-0 2-2 *0-15,2.67,1.44
0-0 2-2 *15-15,2.45,1.51
0-0 2-2 *15-15,2.46,1.50
0-0 2-2 *15-30,2.75,1.41
0-0 2-2 *15-40,3.14,1.33
0-0 2-3 0-0*,3.45,1.28
0-0 2-3 15-0*,3.14,1.33
0-0 2-3 30-0*,2.84,1.39
0-0 2-3 40-0*,2.56,1.47
0-0 2-3 40-15*,2.67,1.44
0-0 2-3 40-30*,2.90,1.38
0-0 2-3 40-40*,3.45,1.28
0-0 2-3 40-40*,3.32,1.30
0-0 2-3 40-A*,3.98,1.22
0-0 2-4 *0-0,4.25,1.20
0-0 2-4 *0-40,5.40,1.13
0-0 2-4 *15-40,5.20,1.14
0-0 2-4 *30-40,5.00,1.15
0-0 2-5 0-0*,5.50,1.13
0-0 2-5 0-15*,6.00,1.11
0-0 2-5 15-15*,5.40,1.13
0-0 2-5 30-15*,5.40,1.13
0-0 2-5 30-30*,5.40,1.13
0-0 2-5 30-40*,6.00,1.11
0-0 2-5 40-40*,5.40,1.13
0-0 2-5 40-A*,6.00,1.11
0-1 2-6 *0-0,6.00,1.10
0-1 0-0 *0-0,6.00,1.10
0-1 0-0 *15-0,5.50,1.13
0-1 0-0 *15-15,6.00,1.10
0-1 0-0 *30-15,5.40,1.13
0-1 0-0 *30-30,6.00,1.10
0-1 0-0 *30-30,7.50,1.06
0-1 0-1 0-0*,9.50,1.04
0-1 0-1 0-15*,10.00,1.03
0-1 0-1 15-15*,9.50,1.04
0-1 0-1 15-30*,10.00,1.03
0-1 0-1 15-40*,11.00,1.02
0-1 0-2 *0-0,12.00,1.02
0-1 0-2 *30-0,10.00,1.03
0-1 0-2 *30-0,9.50,1.04
0-1 1-2 0-0*,9.50,1.04
0-1 1-2 0-15*,9.50,1.04
0-1 1-2 0-30*,10.00,1.03
0-1 1-2 0-40*,10.00,1.02
0-1 1-2 0-40*,12.00,1.02
0-1 1-2 15-40*,11.00,1.02
0-1 1-3 *0-0,12.00,1.02
0-1 1-3 *0-15,13.00,1.01
0-1 1-3 *0-40,34.00,1.004
0-1 1-3 *15-40,21.00,1.005
0-1 1-3 *30-40,14.00,1.01
0-1 1-4 0-0*,41.00,1.002
0-1 1-4 0-15*,67.00,1.002
0-1 1-4 15-15*,41.00,1.002
0-1 1-4 15-30*,67.00,1.002
0-1 1-4 15-40*,81.00,1.001
0-1 1-5 *0-0,101.00,1.001
0-1 1-5 *15-0,101.00,1.001
0-1 1-5 *30-0,81.00,1.001
0-1 1-5 *40-0,81.00,1.001
0-1 1-5 *40-15,81.00,1.001
0-1 1-5 *40-30,81.00,1.001
