Score,P1 Odds,P2 Odds
-,1.87,1.87
0-0 0-0 0-15*,1.95,1.79
0-0 0-0 0-40*,2.10,1.69
0-0 0-0 15-40*,2.05,1.71
0-0 0-1 *0-0,2.11,1.67
0-0 0-1 *0-0,2.12,1.67
0-0 0-1 *0-15,2.27,1.58
0-0 0-1 *15-15,2.13,1.66
0-0 0-1 *30-15,2.01,1.74
0-0 0-1 *30-30,2.16,1.65
0-0 0-1 *30-40,2.42,1.52
0-0 0-1 *A-40,2.00,1.75
0-0 0-1 *40-40,2.14,1.65
0-0 0-1 *40-A,2.39,1.53
0-0 0-2 0-0*,2.82,1.40
0-0 0-2 0-0*,2.80,1.40
0-0 0-2 15-0*,2.61,1.46
0-0 0-2 30-0*,2.42,1.52
0-0 0-2 30-15*,2.42,1.52
0-0 0-2 30-15*,2.57,1.47
0-0 0-2 30-30*,2.57,1.41
0-0 0-2 40-30*,2.47,1.50
0-0 1-2 *0-0,2.17,1.64
0-0 1-2 *0-15,2.33,1.56
0-0 1-2 *0-30,2.55,1.47
0-0 1-2 *0-40,2.78,1.41
0-0 1-2 *0-40,2.79,1.40
0-0 1-2 *15-40,2.67,1.44
0-0 1-2 *30-40,2.46,1.50
0-0 1-2 *40-40,2.18,1.63
0-0 1-2 *40-A,2.47,1.50
0-0 1-2 *40-40,2.19,1.63
0-0 1-2 *40-A,2.19,1.63
0-0 1-2 *40-A,2.23,1.61
0-0 1-2 *40-A,2.50,1.49
0-0 1-3 0-0*,2.92,1.37
0-0 1-3 0-15*,3.13,1.33
0-0 1-3 0-30*,3.32,1.30
0-0 1-3 0-40*,3.45,1.28
0-0 1-4 *0-0,3.45,1.28
0-0 1-4 *0-0,5.00,1.15
0-0 1-4 *15-0,4.65,1.17
0-0 1-4 *30-0,4.60,1.17
0-0 1-4 *30-15,4.65,1.17
0-0 1-4 *40-15,4.60,1.17
0-0 1-4 *40-30,4.65,1.17
0-0 1-4 *40-40,5.20,1.14
0-0 1-4 *40-A,5.40,1.13
0-0 1-5 0-0*,5.90,1.11
0-0 1-5 15-0*,5.50,1.13
0-0 1-5 15-15*,5.90,1.11
0-0 1-5 15-30*,6.00,1.11
0-0 1-5 15-40*,6.00,1.11
0-0 1-5 30-40*,6.00,1.11
0-1 1-6 *0-0,6.00,1.10
0-1 1-6 *0-15,6.50,1.08
0-1 0-0 *0-15,6.50,1.08
0-1 0-0 *0-30,7.75,1.06
0-1 0-0 *15-30,6.50,1.08
0-1 0-0 *15-40,8.50,1.05
0-1 0-0 *30-40,7.50,1.06
0-1 0-1 0-0*,9.50,1.04
0-1 0-1 15-0*,8.00,1.06
0-1 0-1 15-15*,9.50,1.04
0-1 0-1 15-30*,10.00,1.03
0-1 0-1 15-40*,11.00,1.02
0-1 0-2 *0-0,12.00,1.02
0-1 0-2 *15-0,10.00,1.03
0-1 0-2 *30-0,9.50,1.04
0-1 0-2 *40-0,9.50,1.04
0-1 0-2 *40-15,9.50,1.04
0-1 1-2 0-0*,9.50,1.04
0-1 1-2 0-0*,11.00,1.02
0-1 1-2 0-15*,12.00,1.02
0-1 1-2 15-15*,10.00,1.03
0-1 1-2 30-15*,9.50,1.04
0-1 1-2 40-15*,9.50,1.04
0-1 1-2 40-15*,7.75,1.06
0-1 1-2 40-30*,8.50,1.05
0-1 1-2 40-40*,10.00,1.03
0-1 1-2 40-A*,12.00,1.02
0-1 1-2 40-40*,10.00,1.03
0-1 1-2 40-A*,12.00,1.02
0-1 1-3 *0-0,13.00,1.01
0-1 1-2 40-A*,13.00,1.01
0-1 1-2 40-15*,15.00,1.01
0-1 1-2 40-30*,34.00,1.004
0-1 1-2 40-40*,41.00,1.002
0-1 1-4 40-0*,67.00,1.002
0-1 1-4 40-30*,101.00,1.001
0-1 1-4 15-30*,81.00,1.001
