Score,P1 Odds,P2 Odds
-,2.70,1.43
-,2.82,1.40
0-0 0-0 15-0*,2.61,1.46
0-0 0-0 15-15*,2.78,1.41
0-0 0-0 15-30*,3.02,1.35
0-0 0-0 30-30*,2.74,1.42
0-0 0-0 30-40*,3.08,1.34
0-0 0-0 40-40*,2.77,1.41
0-0 0-0 40-A*,3.07,1.34
0-0 0-0 40-40*,2.77,1.41
0-0 0-0 40-A*,3.07,1.34
0-0 0-1 *0-0,3.32,1.30
0-0 0-1 *15-0,3.13,1.33
0-0 0-1 *30-0,3.13,1.37
0-0 0-1 *30-0,2.92,1.37
0-0 0-1 *30-15,3.08,1.34
0-0 0-1 *30-30,3.32,1.30
0-0 0-1 *30-40,3.78,1.25
0-0 0-1 *30-40,3.90,1.23
0-0 0-2 0-0*,4.60,1.17
0-0 0-2 0-15*,4.65,1.17
0-0 0-2 0-30*,5.20,1.14
0-0 0-2 15-30*,4.65,1.17
0-0 0-2 30-30*,4.50,1.17
0-0 0-3 *0-0,5.20,1.14
0-0 0-3 *0-15,5.40,1.13
0-0 0-3 *15-15,5.20,1.14
0-0 0-3 *15-30,5.40,1.13
0-0 0-3 *30-30,5.20,1.14
0-0 0-3 *30-40,5.90,1.11
0-0 0-4 0-0*,6.00,1.10
0-0 0-4 0-15*,6.50,1.09
0-0 0-4 15-15*,6.00,1.10
0-0 0-4 30-15*,6.00,1.11
0-0 0-4 30-30*,6.00,1.10
0-0 0-4 40-30*,6.00,1.11
0-0 1-4 *0-0,5.40,1.13
0-0 1-4 *0-15,5.90,1.11
0-0 1-4 *15-15,5.40,1.13
0-0 1-4 *15-30,6.00,1.11
0-0 1-4 *15-40,6.00,1.10
0-0 1-5 0-0*,6.50,1.08
0-0 1-5 0-15*,6.50,1.08
0-0 1-5 0-30*,6.50,1.08
0-0 1-5 15-30*,6.50,1.08
0-0 1-5 15-40*,6.50,1.08
0-0 1-5 15-40*,7.50,1.06
0-0 1-5 30-40*,7.00,1.07
0-1 1-6 *0-0,7.50,1.06
0-1 0-0 *0-0,7.50,1.06
0-1 0-0 *0-15,8.50,1.05
0-1 0-0 *15-15,7.50,1.06
0-1 0-0 *15-30,8.50,1.05
0-1 0-0 *30-30,7.50,1.06
0-1 0-0 *30-40,9.50,1.04
0-1 0-1 0-0*,10.00,1.03
0-1 0-1 15-0*,9.50,1.04
0-1 0-1 30-0*,8.50,1.05
0-1 0-1 40-0*,7.50,1.06
0-1 0-1 40-0*,8.00,1.06
0-1 0-1 40-30*,8.50,1.05
0-1 1-1 *0-0,7.00,1.07
0-1 1-1 *15-0,6.00,1.10
0-1 1-1 *40-0,5.40,1.13
0-1 1-1 *40-15,5.50,1.13
0-1 2-1 0-0*,5.40,1.13
0-1 2-1 0-15*,5.90,1.11
0-1 2-1 0-15*,6.00,1.10
0-1 2-1 15-15*,5.90,1.11
0-1 2-1 15-15*,5.70,1.12
0-1 2-1 15-40*,6.00,1.10
0-1 2-2 *0-0,6.50,1.09
0-1 2-2 *15-0,6.50,1.11
0-1 2-2 *15-0,6.00,1.11
0-1 2-2 *15-15,6.50,1.09
0-1 2-2 *15-30,7.75,1.06
0-1 2-2 *15-40,9.50,1.04
0-1 2-3 0-0*,10.00,1.03
0-1 2-3 15-0*,9.50,1.04
0-1 2-3 30-0*,8.00,1.06
0-1 2-3 30-15*,9.50,1.04
0-1 2-3 40-15*,7.50,1.06
0-1 3-3 *0-0,6.00,1.10
0-1 3-3 *30-0,5.20,1.14
0-1 3-3 *40-0,4.65,1.17
0-1 4-3 0-0*,4.60,1.17
0-1 4-3 15-0*,4.00,1.22
0-1 4-3 15-15*,4.60,1.17
0-1 4-3 30-15*,3.98,1.22
0-1 4-3 30-30*,3.98,1.22
0-1 4-3 30-30*,4.50,1.17
0-1 4-3 30-40*,5.20,1.14
0-1 4-3 40-40*,4.60,1.17
0-1 4-3 40-A*,5.20,1.14
0-1 4-3 40-40*,4.25,1.20
0-1 4-3 40-A*,5.20,1.14
0-1 4-3 40-A*,4.25,1.20
0-1 4-3 A-40*,3.70,1.25
0-1 5-3 *0-0,2.94,1.37
0-1 5-3 *0-0,2.70,1.43
0-1 5-3 *0-15,2.95,1.37
0-1 5-3 *15-15,2.71,1.43
0-1 5-3 *15-30,3.00,1.35
0-1 5-3 *30-30,2.74,1.42
0-1 5-3 *40-A,3.14,1.33
0-1 5-3 *40-40,2.76,1.41
0-1 5-3 *A-40,2.45,1.51
0-1 5-3 *40-40,2.74,1.42
0-1 5-3 *40-A,3.14,1.33
0-1 5-3 *40-40,2.74,1.42
0-1 5-3 *A-40,2.46,1.50
1-1 6-3 0-0*,2.24,1.60
1-1 0-0 0-0*,2.24,1.60
1-1 0-0 15-0*,2.10,1.68
1-1 0-0 30-0*,1.87,1.87
1-1 0-0 30-0*,1.85,1.88
1-1 0-0 40-0*,1.68,2.10
1-1 1-0 *0-0,1.60,2.25
1-1 1-0 *0-15,1.75,2.00
1-1 1-0 *15-15,1.60,2.24
1-1 1-0 *15-15,1.61,2.23
1-1 1-0 *15-30,1.79,1.94
1-1 1-0 *15-15,2.05,1.71
1-1 1-0 *40-15,1.63,2.20
1-1 1-0 *40-A,1.88,1.85
1-1 1-0 *40-40,1.64,2.17
1-1 1-0 *A-40,1.46,2.58
1-1 2-0 0-0*,1.33,2.58
1-1 2-0 15-0*,1.28,3.45
1-1 2-0 15-15*,1.34,3.11
1-1 2-0 15-30*,1.42,2.72
1-1 2-0 30-30*,1.33,3.14
1-1 2-0 40-40*,1.33,3.13
1-1 2-0 40-40*,1.31,3.22
1-1 2-0 40-40*,1.33,3.20
1-1 2-0 A-40*,1.22,4.00
1-1 2-0 40-40*,1.33,3.20
1-1 2-0 40-A*,1.44,2.65
1-1 2-1 *0-0,1.57,2.31
1-1 2-1 *30-0,1.37,2.95
1-1 2-1 *30-15,1.44,2.66
1-1 2-1 *40-15,1.34,3.09
1-1 3-1 0-0*,1.30,3.32
1-1 3-1 15-0*,1.22,4.00
1-1 3-1 15-15*,1.28,3.45
1-1 3-1 15-30*,1.17,4.60
1-1 3-1 15-40*,1.33,3.13
1-1 3-1 30-40*,1.30,3.32
1-1 3-2 *0-0,1.38,2.89
1-1 3-2 *15-0,1.30,3.32
1-1 3-2 *30-0,1.22,4.00
1-1 3-2 *30-15,1.30,3.40
1-1 3-2 *30-30,1.40,2.79
1-1 3-2 *30-40,1.65,2.15
1-1 3-2 *40-40,1.40,2.79
1-1 3-2 *A-40,1.25,3.69
1-1 3-2 *A-40,1.39,2.86
1-1 3-2 *A-40,1.25,3.70
1-1 3-2 *40-40,1.41,2.74
1-1 3-2 *40-40,1.25,3.70
1-1 3-2 *40-40,1.39,2.84
1-1 3-2 *40-40,1.42,2.74
1-1 3-2 *40-A,1.65,2.15
1-1 3-2 *40-40,1.42,2.73
1-1 3-2 *40-A,1.65,2.14
1-1 3-3 0-0*,2.04,1.72
1-1 3-3 15-0*,1.78,1.96
1-1 3-3 30-15*,1.73,2.03
1-1 3-3 40-15*,1.47,2.56
1-1 4-3 *0-0,1.47,3.24
1-1 4-3 *0-0,1.33,3.18
1-1 4-3 *15-0,1.22,4.00
1-1 4-3 *30-0,1.15,5.00
1-1 4-3 *30-15,1.22,4.00
1-1 4-3 *30-15,1.33,3.14
1-1 5-3 0-0*,1.10,6.00
1-1 5-3 0-15*,1.13,5.40
1-1 5-3 0-30*,1.17,4.65
1-1 5-3 0-40*,1.17,4.60
1-1 5-4 *0-0,1.20,4.25
1-1 5-4 *0-15,1.35,3.03
1-1 5-4 *15-15,1.20,4.25
1-1 5-4 *15-30,1.39,2.85
1-1 5-4 *30-40,1.48,2.52
1-1 5-5 0-0*,2.05,1.71
1-1 5-5 15-0*,1.72,2.04
1-1 5-5 15-0*,1.71,2.06
1-1 5-5 40-0*,1.28,3.45
1-1 6-5 *0-0,1.20,4.25
1-1 6-5 *15-0,1.11,6.00
1-1 6-5 *0-0,1.20,4.25
1-1 6-5 *15-30,1.38,2.90
1-1 6-5 *30-30,1.20,4.25
1-1 6-5 *30-40,1.45,2.61
1-1 6-5 *30-40,1.47,2.56
1-1 6-6 0-0*,1.93,1.80
1-1 6-6 *0-1,2.56,1.47
1-1 6-6 *1-1,1.95,1.78
1-1 6-6 2-1*,1.57,2.30
1-1 6-6 3-1*,1.28,3.45
1-1 6-6 *3-2,1.47,2.57
1-1 6-6 *4-2,1.22,4.00
1-1 6-6 5-2*,1.08,6.50
1-1 6-6 6-2*,1.01,14.00
1-1 6-6 *6-3,1.03,10.00
1-1 6-6 *6-4,1.10,10.00
1-1 6-6 6-5*,1.30,3.32
1-1 6-6 6-5*,1.28,3.45
