Score,P1 Odds,P2 Odds
-,1.50,2.46
-,1.41,2.77
-,1.30,3.40
-,1.22,4.00
0-0 1-0 30-30*,1.13,5.40
0-0 1-0 30-40*,1.17,4.65
0-0 1-0 30-A*,1.20,4.25
0-0 1-0 30-40*,1.17,4.65
0-0 1-0 30-A*,1.20,4.25
0-0 1-1 *0-0,1.22,4.00
0-0 1-1 *0-15,1.28,3.45
0-0 1-1 *15-15,1.25,3.70
0-0 1-1 *30-15,1.22,4.00
0-0 1-1 *40-15,1.20,4.25
0-0 2-1 0-0*,1.20,4.25
0-0 2-1 0-0*,1.17,4.50
0-0 2-1 0-15*,1.20,4.25
0-0 2-1 15-15*,1.17,4.60
0-0 2-1 15-0*,1.22,4.10
0-0 2-1 15-0*,1.22,4.00
0-0 2-2 *0-0,1.28,3.45
0-0 2-2 *15-30,1.30,3.35
0-0 2-2 *30-30,1.25,3.80
0-0 2-2 *30-40,1.36,2.96
0-0 2-2 *40-40,1.28,3.45
0-0 2-2 *40-A,1.37,3.45
0-0 2-2 *40-40,1.28,3.45
0-0 2-2 *40-A,1.36,2.96
0-0 2-2 *40-40,1.28,3.45
0-0 2-2 *A-40,1.22,4.05
0-0 3-2 0-0*,1.17,4.60
0-0 3-2 15-0*,1.15,5.00
0-0 3-2 15-15*,1.17,4.60
0-0 3-2 30-15*,1.14,5.20
0-0 3-2 40-15*,1.10,6.00
0-0 3-2 40-30*,1.13,5.40
0-0 4-2 *0-0,1.06,7.75
0-0 4-2 *15-0,1.05,8.50
0-0 4-2 *15-15,1.06,7.75
0-0 4-2 *30-15,1.05,8.50
0-0 4-2 *40-15,1.05,8.50
0-0 5-2 0-0*,1.04,9.50
0-0 5-2 15-15*,1.04,9.50
0-0 5-2 30-15*,1.04,9.50
0-0 5-2 40-15*,1.03,10.00
1-0 6-2 *0-0,1.03,10.00
1-0 6-2 *30-0,1.02,12.00
1-0 6-2 *40-0,1.02,12.00
1-0 6-2 0-0*,1.02,12.00
1-0 6-2 0-15*,1.02,11.00
1-0 1-0 0-0*,1.02,11.00
1-0 1-0 15-0*,1.02,12.00
1-0 1-0 30-0*,1.01,13.00
1-0 1-0 30-30*,1.02,12.00
1-0 1-0 30-40*,1.03,11.00
1-0 1-0 40-40*,1.02,12.00
1-0 1-0 40-A*,1.03,10.00
1-0 1-0 40-40*,1.02,12.00
1-0 1-0 40-A*,1.03,10.00
1-0 1-1 *0-0,1.02,12.00
1-0 1-1 *0-15,1.02,11.00
1-0 1-1 *0-30,1.04,9.50
1-0 1-1 *15-30,1.03,10.00
1-0 1-1 *30-30,1.02,12.00
1-0 1-1 *40-30,1.01,12.00
1-0 2-1 0-0*,1.01,13.00
1-0 2-1 0-15*,1.01,12.00
1-0 2-1 15-30*,1.02,12.00
1-0 2-1 30-30*,1.01,13.00
1-0 2-1 30-40*,1.02,12.00
1-0 2-2 *0-0,1.02,12.00
1-0 2-2 *15-0,1.02,12.00
1-0 2-2 *15-15,1.02,11.00
1-0 2-2 *30-15,1.02,12.00
1-0 2-2 *40-15,1.02,12.00
1-0 2-2 *40-30,1.02,12.00
1-0 3-2 0-0*,1.01,13.00
1-0 3-2 15-15*,1.01,13.00
1-0 3-2 15-40*,1.02,11.00
1-0 3-3 *0-0,1.03,10.00
1-0 3-3 *15-0,1.02,11.00
1-0 3-3 *30-0,1.02,12.00
1-0 3-3 *30-15,1.02,11.00
1-0 3-3 *30-30,1.04,9.50
1-0 4-3 0-0*,1.02,12.00
1-0 4-3 15-0*,1.01,13.00
1-0 4-3 30-0*,1.01,13.00
1-0 4-3 30-0*,1.005,21.00
1-0 4-3 40-0*,1.002,67.00
1-0 4-3 40-15*,1.002,41.00
1-0 5-3 *0-0,1.001,101.00
