Score,P1 Odds,P2 Odds
-,1.53,2.39
-,1.45,2.64
Score,P1 Odds,P2 Odds
-,1.45,2.64
Score,P1 Odds,P2 Odds
-,1.45,2.64
0-0 0-1 *0-30,1.70,2.07
0-0 0-1 *15-30,1.69,2.08
0-0 0-1 *30-40,1.75,1.99
0-0 0-1 *40-40,1.61,2.22
0-0 0-1 *40-40,1.68,2.10
0-0 0-1 *40-A,1.84,1.89
0-0 0-1 *40-40,1.71,2.05
0-0 0-1 *40-40,1.87,1.86
0-0 1-1 0-0*,1.53,2.39
0-0 1-1 0-15*,1.66,2.14
0-0 1-1 0-30*,1.72,2.04
0-0 1-2 *0-0,1.77,1.97
0-0 1-2 *0-0,1.59,2.25
0-0 1-2 *0-0,1.65,2.15
0-0 1-2 *30-0,1.61,2.23
0-0 1-2 *40-15,1.59,2.25
0-0 1-2 *40-30,1.65,2.15
0-0 1-2 *40-40,1.78,1.96
0-0 1-2 *40-40,1.74,2.01
0-0 1-2 *40-A,1.93,1.80
0-0 1-3 0-0*,2.34,1.56
0-0 1-3 0-30*,2.47,1.50
0-0 1-3 0-40*,2.58,1.46
0-0 1-4 *0-0,2.61,1.45
0-0 1-4 *15-0,2.52,1.48
0-0 1-4 *30-0,2.44,1.51
0-0 1-4 *30-30,2.45,1.51
0-0 1-4 *30-40,2.79,1.40
0-0 1-5 0-0*,3.14,1.33
0-0 1-5 0-0*,3.32,1.30
0-0 1-5 30-0*,3.25,1.31
0-0 1-5 30-15*,3.32,1.30
0-0 1-5 30-30*,3.32,1.30
0-1 0-0 *15-15,3.98,1.22
