Score,P1 Odds,P2 Odds
-,1.03,10.00
0-0 0-0 15-30*,1.04,9.50
0-0 0-0 15-40*,1.05,8.50
0-0 0-0 30-40*,1.04,9.50
0-0 0-1 *0-0,1.06,7.75
0-0 0-1 *15-0,1.05,8.50
0-0 0-1 *30-0,1.04,9.50
0-0 0-1 *40-0,1.04,9.50
0-0 1-1 0-0*,1.04,9.50
0-0 1-1 15-15*,1.04,9.50
0-0 1-1 15-30*,1.05,8.50
0-0 1-1 30-30*,1.04,9.50
0-0 1-1 30-40*,1.05,8.50
0-0 1-2 *0-0,1.07,7.00
0-0 1-2 *0-30,1.12,5.70
0-0 1-2 *0-30,1.13,5.40
0-0 1-2 *0-40,1.14,5.20
0-0 1-3 0-0*,1.17,4.65
0-0 1-3 0-15*,1.20,4.25
0-0 1-3 15-15*,1.17,4.65
0-0 1-3 30-15*,1.14,5.20
0-0 2-3 *0-0,1.10,6.00
0-0 2-3 *15-0,1.08,6.50
0-0 2-3 *15-15,1.10,6.00
0-0 2-3 *15-30,1.13,5.40
0-0 2-3 *30-30,1.10,6.00
0-0 2-3 *30-40,1.14,5.20
0-0 2-3 *40-40,1.10,6.00
0-0 2-3 *40-A,1.14,5.20
0-0 2-3 *40-40,1.10,6.00
0-0 2-3 *40-A,1.14,5.20
0-0 2-4 0-0*,1.20,4.25
0-0 2-4 0-0*,1.20,4.20
0-0 2-4 15-0*,1.20,4.20
0-0 2-4 15-15*,1.22,4.10
0-0 2-4 40-15*,1.14,5.20
0-0 2-4 40-30*,1.17,4.65
0-0 3-4 *0-0,1.13,5.50
0-0 3-4 *0-0,1.14,5.20
0-0 3-4 *0-15,1.17,4.65
0-0 3-4 *0-40,1.28,3.45
0-0 3-5 0-0*,1.30,3.31
0-0 3-5 15-0*,1.28,3.45
0-0 3-5 30-0*,1.22,3.96
0-0 3-5 30-15*,1.28,3.50
0-0 3-5 40-15*,1.22,4.00
0-0 4-5 *0-0,1.20,4.25
0-0 4-5 *15-0,1.16,4.80
0-0 4-5 *30-0,1.14,5.20
0-0 4-5 *30-15,1.17,4.60
0-0 4-5 *30-30,1.25,3.70
0-0 4-5 *30-40,1.39,2.84
0-0 4-5 *40-40,1.25,3.70
0-0 4-5 *40-40,1.17,4.65
0-0 5-5 0-0*,1.10,6.00
0-0 5-5 0-15*,1.13,5.40
0-0 5-5 0-30*,1.17,4.65
0-0 5-5 15-30*,1.14,5.20
0-0 5-5 15-40*,1.20,4.25
0-0 5-6 *0-0,1.25,3.78
0-0 5-6 *0-15,1.31,3.26
0-0 5-6 *15-15,1.25,3.70
0-0 5-6 *30-15,1.17,4.60
0-0 5-6 *30-15,1.20,4.25
0-0 5-6 *30-30,1.28,3.45
0-0 5-6 *40-30,1.17,4.65
0-0 6-6 0-0*,1.13,5.40
0-0 6-6 0-0*,1.17,4.60
0-0 6-6 1-0*,1.13,5.40
0-0 6-6 2-0*,1.08,6.50
0-0 6-6 2-2*,1.14,5.40
0-0 6-6 *3-2,1.08,7.00
0-0 6-6 *3-3,1.14,5.20
0-0 6-6 3-4*,1.22,4.00
