Score,P1 Odds,P2 Odds
-,2.10,1.68
0-0 0-0 *15-0,2.00,1.74
0-0 0-0 *30-15,2.03,1.73
0-0 0-0 *40-15,1.96,1.78
0-0 1-0 0-0*,1.93,1.80
0-0 1-0 15-30*,1.97,1.77
0-0 1-0 15-40*,2.04,1.72
0-0 1-1 *0-0,2.06,1.71
0-0 1-1 *15-0,2.00,1.74
0-0 1-1 *30-15,2.00,1.75
0-0 1-1 *40-30,2.00,1.74
0-0 1-1 *40-30,1.90,1.83
0-0 1-1 *40-30,1.97,1.77
0-0 1-1 *15-30,1.83,1.90
0-0 1-1 *30-30,1.54,2.37
0-0 1-1 *40-15,1.61,2.23
0-0 3-1 *0-0,1.43,2.69
0-0 3-1 *15-0,1.39,2.83
0-0 3-1 *15-15,1.45,2.64
0-0 3-1 *30-30,1.46,2.58
0-0 3-1 *40-40,1.45,2.63
0-0 3-1 *A-40,1.39,2.83
0-0 3-1 *40-A,1.59,2.26
0-0 3-1 *40-40,1.49,2.50
0-0 3-1 *40-A,1.64,2.17
0-0 3-2 0-0*,1.91,1.82
0-0 3-2 0-15*,2.00,1.75
0-0 3-2 0-30*,2.07,1.70
0-0 3-2 30-30*,2.01,1.74
0-0 3-2 40-30*,1.63,2.19
0-0 4-2 *0-0,1.41,2.77
0-0 4-2 *0-15,1.49,2.50
0-0 4-2 *15-30,1.64,2.17
0-0 4-2 *15-30,1.53,2.39
0-0 4-2 *40-40,1.53,2.39
0-0 4-2 *40-A,1.74,2.00
0-0 4-3 0-0*,2.06,1.71
0-0 4-3 15-15*,2.05,1.71
0-0 4-3 15-30*,2.18,1.63
0-0 4-3 40-30*,1.98,1.76
0-0 5-3 *0-0,1.45,2.61
0-0 5-3 *15-15,1.46,2.61
0-0 5-3 *15-30,1.59,2.26
0-0 5-3 *15-40,1.78,1.96
0-0 5-4 0-0*,1.95,1.79
0-0 5-4 0-0*,2.10,1.68
0-0 5-4 15-30*,2.10,1.68
0-0 5-5 *0-0,2.37,1.54
0-0 5-5 *0-0,2.40,1.53
0-0 5-5 *15-15,2.44,1.51
0-0 5-5 *30-15,2.21,1.61
0-0 5-5 *40-15,2.05,1.71
0-0 5-5 *40-30,2.17,1.64
0-0 5-5 *40-40,2.54,1.48
0-0 5-6 0-0*,4.30,1.20
0-0 5-6 15-0*,3.70,1.25
0-0 5-6 30-15*,3.45,1.28
0-0 5-6 40-30*,3.26,1.31
0-0 6-6 *0-0,2.37,1.54
0-0 6-6 1-1*,2.01,1.74
0-0 6-6 *1-2,2.67,1.44
0-0 6-6 2-3*,2.93,1.37
0-0 6-6 3-3*,2.29,1.58
0-0 6-6 *4-3,1.85,1.88
0-0 6-6 *5-3,1.61,2.23
0-0 6-6 5-4*,1.82,1.91
0-1 0-1 *0-15,7.50,1.06
0-1 0-1 *15-30,7.75,1.06
0-1 0-2 0-0*,12.00,1.02
0-1 0-2 0-30*,13.00,1.01
0-1 0-3 *0-0,14.00,1.01
0-1 0-3 *15-0,13.00,1.01
0-1 0-3 *40-0,12.00,1.01
0-1 1-3 0-0*,12.00,1.02
0-1 1-3 0-30*,15.00,1.01
0-1 1-3 30-30*,12.00,1.02
0-1 1-3 30-40*,13.00,1.01
0-1 1-4 *0-0,21.00,1.005
0-1 1-4 *40-0,14.00,1.01
0-1 2-4 0-0*,14.00,1.01
0-1 2-4 0-30*,17.00,1.002
0-1 2-4 15-30*,15.00,1.005
0-1 2-4 30-40*,17.00,1.005
0-1 2-4 40-40*,13.00,1.01
0-1 2-4 40-40*,12.00,1.02
0-1 2-4 A-40*,9.50,1.04
0-1 2-4 40-40*,9.50,1.04
0-1 3-4 *0-0,6.00,1.10
0-1 3-4 *15-0,5.90,1.11
0-1 3-4 *30-0,5.40,1.13
0-1 4-4 0-0*,5.20,1.14
0-1 4-4 15-0*,4.25,1.20
0-1 4-4 15-15*,4.65,1.17
0-1 4-4 15-30*,5.40,1.13
0-1 4-5 *0-0,6.00,1.10
0-1 4-5 *30-0,5.20,1.14
0-1 5-5 0-0*,4.80,1.16
0-1 5-5 15-15*,4.65,1.17
0-1 5-5 15-40*,5.50,1.13
0-1 5-6 *0-0,6.00,1.11
0-1 5-6 *40-15,4.05,1.22
0-1 6-6 0-0*,4.00,1.22
0-1 6-6 *1-0,3.13,1.33
0-1 6-6 2-1*,3.32,1.30
0-1 6-6 2-2*,3.70,1.25
0-1 6-6 *2-3,5.20,1.14
0-1 6-6 *2-4,7.75,1.06
0-1 6-6 *2-4,8.50,1.05
0-1 6-6 *3-6,15.00,1.01
0-1 6-6 *3-6,17.00,1.005
0-1 6-6 5-6*,9.50,1.04
0-2 6-7 *0-0,1.001,1.001
