Score,P1 Odds,P2 Odds
-,1.14,5.20
0-0 0-0 0-40*,1.20,4.25
0-0 0-1 *0-0,1.20,4.25
0-0 0-1 *30-0,1.17,4.65
0-0 0-1 *40-0,1.16,4.80
0-0 1-1 0-0*,1.14,5.20
0-0 1-1 0-30*,1.20,4.25
0-0 1-1 15-30*,1.17,4.60
0-0 1-1 30-30*,1.14,5.20
0-0 1-1 40-40*,1.14,5.20
0-0 1-1 40-A*,1.17,4.60
0-0 1-1 40-40*,1.14,5.20
0-0 1-2 *0-0,1.22,4.00
0-0 1-2 *15-0,1.17,4.65
0-0 1-2 *30-0,1.14,5.00
0-0 1-2 *40-0,1.14,5.20
0-0 2-2 0-0*,1.14,5.20
0-0 2-2 15-0*,1.12,5.70
0-0 2-2 15-15*,1.14,5.20
0-0 2-2 15-40*,1.17,4.65
0-0 2-2 30-40*,1.20,4.25
0-0 2-2 40-A*,1.17,4.65
0-0 2-3 *0-0,1.20,4.25
0-0 2-3 *0-0,1.14,5.20
