Score,P1 Odds,P2 Odds
-,2.46,1.50
0-0 0-0 *15-0,2.84,1.39
0-0 0-0 *15-15,3.05,1.35
0-0 0-0 *15-15,3.07,1.34
0-0 0-0 *15-30,3.32,1.30
0-0 0-0 *15-40,3.70,1.25
0-0 0-1 0-0*,4.10,1.22
0-0 0-1 0-0*,3.45,1.28
0-0 0-1 0-40*,4.25,1.20
0-0 0-2 *0-0,4.25,1.20
0-0 0-2 *0-15,4.65,1.17
0-0 0-2 *0-30,5.20,1.14
0-0 0-2 *0-40,5.40,1.13
0-0 0-2 *15-40,5.20,1.14
0-0 0-2 *15-40,4.80,1.16
0-0 0-2 *40-40,4.30,1.20
0-0 0-2 *40-A,4.80,1.16
0-0 0-2 *40-40,4.25,1.20
0-0 0-2 *A-40,4.00,1.22
0-0 1-2 0-0*,3.69,1.25
0-0 1-2 15-0*,3.32,1.30
0-0 1-2 15-15*,3.45,1.28
0-0 1-2 30-15*,3.32,1.30
0-0 1-2 40-15*,2.83,1.39
0-0 1-2 40-30*,3.04,1.35
0-0 2-2 *0-0,2.60,1.46
0-0 2-2 *0-15,2.85,1.39
0-0 2-2 *0-30,3.14,1.33
0-0 2-2 *15-30,2.91,1.38
0-0 2-2 *15-40,3.32,1.30
0-0 2-2 *30-40,3.07,1.34
0-0 2-2 *40-A,3.07,1.34
0-0 2-3 0-0*,3.70,1.25
0-0 2-3 0-15*,4.00,1.22
0-0 2-3 15-15*,3.69,1.25
0-0 2-3 30-15*,3.22,1.31
0-0 2-3 30-30*,3.69,1.25
0-0 2-4 *0-0,4.65,1.17
0-0 2-4 *0-15,5.20,1.14
0-0 2-4 *15-15,4.65,1.17
0-0 2-4 *15-30,5.20,1.14
0-0 2-4 *15-40,5.50,1.13
0-0 2-5 0-0*,6.00,1.10
0-0 2-5 0-15*,6.00,1.10
0-0 2-5 15-15*,6.00,1.11
0-0 2-5 15-30*,6.00,1.10
0-0 2-5 15-40*,6.50,1.08
0-0 2-5 30-40*,6.00,1.10
0-1 2-6 *0-0,6.50,1.08
0-1 0-0 *0-0,6.50,1.08
0-1 0-0 *15-0,6.00,1.10
0-1 0-0 *15-15,6.50,1.08
0-1 0-0 *15-30,7.75,1.06
0-1 0-0 *15-40,9.50,1.04
0-1 0-0 *30-40,8.50,1.05
0-1 0-0 *40-40,6.50,1.08
0-1 0-0 *40-A,8.50,1.05
0-1 0-1 0-0*,9.50,1.04
0-1 0-1 15-0*,9.50,1.04
0-1 0-1 15-15*,9.50,1.04
0-1 0-1 30-15*,8.50,1.05
0-1 0-1 40-30*,8.00,1.06
0-1 1-1 *0-0,6.50,1.09
0-1 1-1 *15-0,6.00,1.11
0-1 1-1 *30-0,5.40,1.13
0-1 2-1 0-0*,5.20,1.14
0-1 2-1 0-0*,4.60,1.17
0-1 2-1 0-15*,5.20,1.14
0-1 2-1 30-15*,4.65,1.17
0-1 2-1 30-30*,5.20,1.14
0-1 2-1 40-30*,4.60,1.17
0-1 2-1 40-40*,5.20,1.14
0-1 2-1 A-40*,5.20,1.17
0-1 2-1 A-40*,4.60,1.17
0-1 3-1 *0-0,3.78,1.25
0-1 3-1 *0-0,3.45,1.28
0-1 3-1 *0-15,3.78,1.25
0-1 3-1 *0-30,4.25,1.20
0-1 3-1 *30-30,3.75,1.25
0-1 3-1 *40-30,3.32,1.30
0-1 3-1 *40-40,3.75,1.25
0-1 3-1 *40-A,4.25,1.20
0-1 3-2 0-0*,5.20,1.14
0-1 3-2 30-40*,5.50,1.13
0-1 3-3 *0-0,6.00,1.10
0-1 3-3 *15-0,5.70,1.12
0-1 3-3 *30-0,5.20,1.14
0-1 3-3 *40-0,4.65,1.17
0-1 4-3 0-0*,4.65,1.17
0-1 4-3 0-15*,5.20,1.14
0-1 4-3 0-30*,5.40,1.13
0-1 4-3 15-30*,5.20,1.14
0-1 4-3 30-40*,4.60,1.14
0-1 4-3 30-40*,5.20,1.14
0-1 4-4 *0-0,6.00,1.11
0-1 4-4 *0-15,7.00,1.08
0-1 4-4 *0-30,7.00,1.04
0-1 4-4 *0-30,9.50,1.04
0-1 4-4 *0-40,10.00,1.03
0-1 4-4 *15-40,9.50,1.04
0-1 4-5 0-0*,12.00,1.02
0-1 4-5 0-15*,14.00,1.01
0-1 4-5 15-15*,12.00,1.02
0-1 4-5 15-30*,15.00,1.01
0-1 4-5 15-40*,67.00,1.002
0-2 4-6 *0-0,1.001,1.001
