Score,P1 Odds,P2 Odds
-,2.18,1.63
0-0 0-0 *15-0,2.31,1.57
0-0 0-0 *15-15,2.47,1.50
0-0 0-0 *15-30,2.71,1.43
0-0 0-0 *15-40,3.03,1.35
0-0 0-1 0-0*,3.31,1.30
0-0 0-1 0-15*,3.45,1.30
0-0 0-1 0-30*,3.70,1.25
0-0 0-1 15-30*,3.45,1.28
0-0 0-2 *0-0,4.00,1.22
0-0 0-2 *15-0,3.70,1.25
0-0 0-2 *30-0,3.45,1.28
0-0 0-2 *30-15,3.70,1.25
0-0 0-2 *40-15,3.45,1.28
0-0 1-2 0-0*,3.32,1.30
0-0 1-2 15-0*,3.03,1.35
0-0 1-2 15-15*,3.31,1.30
0-0 1-2 15-15*,3.28,1.31
0-0 1-2 15-30*,3.45,1.28
0-0 1-2 15-40*,3.92,1.23
0-0 1-3 *0-0,4.00,1.22
0-0 1-3 *0-15,4.25,1.20
0-0 1-3 *0-30,4.65,1.17
0-0 1-3 *0-40,5.20,1.14
0-0 1-4 0-0*,5.20,1.14
0-0 1-4 0-15*,5.40,1.13
0-0 1-4 0-30*,5.70,1.12
0-0 1-4 15-30*,5.40,1.13
0-0 1-4 15-40*,5.90,1.11
0-0 1-5 *0-0,6.00,1.11
0-0 1-5 *0-15,6.00,1.11
0-0 1-5 *15-15,6.00,1.11
0-0 1-5 *15-30,6.00,1.11
0-0 1-5 *15-30,6.00,1.10
0-0 1-5 *30-40,6.00,1.10
0-1 1-6 0-0*,6.00,1.10
0-1 1-6 15-0*,6.00,1.11
0-1 1-6 30-0*,5.40,1.13
0-1 1-6 30-15*,5.70,1.12
0-1 0-0 40-15*,5.20,1.14
0-1 0-0 40-30*,5.40,1.13
0-1 1-0 *0-0,4.60,1.17
0-1 1-0 *15-0,4.25,1.20
0-1 1-0 *30-0,4.00,1.22
0-1 1-0 *30-15,4.25,1.20
0-1 1-0 *40-15,3.80,1.25
0-1 1-0 *40-15,4.00,1.22
0-1 1-0 *40-40,4.65,1.17
0-1 1-0 *40-A,5.40,1.14
0-1 1-1 0-0*,6.00,1.10
0-1 1-1 0-15*,6.50,1.08
0-1 1-1 15-15*,6.00,1.10
0-1 1-1 30-15*,5.40,1.13
0-1 1-1 40-15*,4.65,1.17
0-1 1-1 40-30*,5.20,1.14
0-1 1-1 40-40*,5.20,1.14
0-1 1-1 40-40*,6.00,1.11
0-1 1-1 A-40*,5.20,1.14
0-1 2-1 *0-0,4.50,1.17
0-1 2-1 *0-15,4.65,1.17
0-1 2-1 *15-15,4.30,1.17
0-1 2-1 *30-15,4.00,1.22
0-1 2-1 *30-30,4.50,1.17
0-1 2-1 *40-30,3.90,1.23
0-1 2-1 *40-40,4.60,1.17
0-1 2-1 *A-40,3.80,1.25
0-1 3-1 0-0*,3.32,1.30
0-1 3-1 0-30*,3.78,1.25
0-1 3-1 0-40*,4.00,1.22
0-1 3-2 *0-0,4.00,1.22
0-1 3-2 *15-0,3.70,1.25
0-1 3-2 *30-0,3.32,1.30
0-1 3-2 *30-15,3.66,1.25
0-1 3-2 *40-15,3.31,1.30
0-1 4-2 0-0*,3.09,1.34
0-1 4-2 15-15*,3.08,1.34
0-1 4-2 15-15*,3.06,1.34
0-1 4-2 15-15*,2.80,1.40
0-1 4-2 40-15*,2.54,1.48
0-1 5-2 *0-0,2.37,1.54
0-1 5-2 *15-0,2.29,1.58
0-1 5-2 *30-0,2.20,1.62
0-1 5-2 *40-0,2.14,1.65
1-1 6-2 0-0*,2.10,1.68
1-1 0-0 0-0*,2.10,1.68
1-1 0-0 0-0*,1.97,1.77
1-1 0-0 0-15*,2.13,1.66
1-1 0-0 0-40*,2.47,1.50
1-1 0-1 *0-0,2.58,1.46
1-1 0-1 *15-0,2.33,1.56
1-1 0-1 *15-15,2.61,1.46
1-1 0-1 *15-30,3.09,1.34
1-1 0-1 *15-40,3.70,1.25
1-1 0-1 *30-40,3.32,1.30
1-1 0-2 0-0*,4.60,1.17
1-1 0-2 0-15*,5.20,1.14
1-1 0-2 0-30*,5.90,1.11
1-1 0-2 0-40*,6.00,1.10
1-1 0-3 *0-0,6.50,1.08
1-1 0-3 *15-0,6.00,1.11
1-1 0-3 *15-30,8.50,1.05
1-1 0-3 *30-40,9.50,1.04
1-1 0-3 *A-40,5.70,1.12
1-1 1-3 0-0*,5.20,1.14
1-1 1-3 0-15*,5.90,1.11
1-1 1-3 15-15*,5.20,1.14
1-1 1-3 15-40*,7.00,1.07
1-1 1-4 *0-0,8.50,1.05
1-1 1-4 *0-15,9.50,1.04
1-1 1-4 *0-30,12.00,1.02
1-1 1-4 *15-30,10.00,1.04
1-1 1-4 *15-40,13.00,1.01
1-1 1-4 *30-40,11.00,1.02
1-1 1-5 0-0*,34.00,1.002
1-1 1-5 0-15*,67.00,1.002
1-1 1-5 0-30*,101.00,1.001
