Score,P1 Odds,P2 Odds
-,2.05,1.71
0-0 0-0 0-30*,2.26,1.59
0-0 0-0 0-40*,2.34,1.56
0-0 0-1 *0-0,2.39,1.53
0-0 0-1 *30-0,2.16,1.65
0-0 0-1 *40-15,2.13,1.66
0-0 0-1 *40-15,2.14,1.66
0-0 1-1 0-15*,2.16,1.64
0-0 1-1 15-15*,2.04,1.72
0-0 1-1 15-30*,2.16,1.64
0-0 1-1 15-40*,2.30,1.57
0-0 1-1 30-40*,2.18,1.63
0-0 1-1 40-40*,1.96,1.78
0-0 2-1 *0-0,1.72,2.04
0-0 2-1 *15-0,1.65,2.15
0-0 2-1 *30-0,1.58,2.27
0-0 2-1 *40-0,1.54,2.37
0-0 2-1 *40-15,1.57,2.30
0-0 2-1 *40-30,1.62,2.20
0-0 2-1 *40-40,1.79,1.95
0-0 3-1 0-0*,1.53,2.40
0-0 3-1 15-0*,1.47,2.56
0-0 3-1 30-0*,1.41,2.79
0-0 3-1 40-0*,1.35,3.03
0-0 4-1 *0-0,1.33,3.14
0-0 4-1 *0-15,1.36,2.98
0-0 4-1 *15-30,1.37,2.93
0-0 4-1 *40-30,1.30,3.32
0-0 5-1 15-0*,1.25,3.70
0-0 5-1 30-0*,1.22,4.00
0-0 5-1 40-0*,1.22,4.00
1-0 6-1 *0-0,1.22,4.00
1-0 6-1 *0-15,1.25,3.70
1-0 6-1 *15-30,1.25,3.69
1-0 6-1 *15-40,1.31,3.22
1-0 0-0 *15-40,1.31,3.22
1-0 0-1 0-0*,1.36,2.98
1-0 0-1 15-30*,1.41,2.77
1-0 0-1 15-30*,1.41,2.78
1-0 0-1 30-30*,1.35,3.05
1-0 0-1 40-30*,1.28,3.45
1-0 1-1 *0-0,1.22,4.00
1-0 1-1 *30-0,1.17,4.65
1-0 1-1 *40-0,1.14,5.20
1-0 2-1 0-0*,1.14,5.20
1-0 2-1 0-15*,1.17,4.65
1-0 2-1 0-30*,1.17,4.60
1-0 2-1 15-30*,1.17,4.65
1-0 2-1 30-30*,1.13,5.40
1-0 2-1 40-30*,1.10,6.00
1-0 2-1 40-40*,1.13,5.40
1-0 2-2 *0-0,1.20,4.20
1-0 2-2 *15-0,1.17,4.60
1-0 2-2 *15-15,1.22,4.00
1-0 2-2 *30-15,1.17,4.60
1-0 2-2 *40-15,1.14,5.20
1-0 3-2 0-0*,1.13,5.40
1-0 3-2 0-15*,1.14,5.20
1-0 3-2 15-15*,1.13,5.40
1-0 3-2 30-15*,1.10,6.00
1-0 3-2 30-30*,1.13,5.40
1-0 3-2 40-30*,1.07,7.00
1-0 3-2 40-40*,1.11,5.90
1-0 3-3 *0-0,1.20,4.25
1-0 3-3 *0-15,1.25,3.70
1-0 3-3 *0-15,1.22,4.10
1-0 3-3 *30-30,1.22,4.00
1-0 3-3 *40-30,1.17,4.65
1-0 4-3 0-0*,1.13,5.50
1-0 4-3 15-0*,1.08,6.50
1-0 4-3 30-0*,1.05,8.50
1-0 4-3 30-15*,1.08,7.00
