Score,P1 Odds,P2 Odds
-,3.70,1.20
-,4.25,1.20
0-0 0-0 15-0*,4.00,1.22
0-0 0-0 30-0*,3.45,1.28
0-0 0-0 40-0*,3.20,1.33
0-0 0-0 40-15*,3.32,1.30
0-0 1-0 *0-0,3.05,1.35
0-0 1-0 *0-0,2.82,1.40
0-0 1-0 *15-0,2.64,1.45
0-0 1-0 *30-0,2.47,1.50
0-0 1-0 *30-15,2.61,1.46
0-0 1-0 *30-30,2.84,1.39
0-0 1-0 *40-30,2.55,1.47
0-0 2-0 0-0*,2.34,1.56
0-0 2-0 0-0*,2.32,1.56
0-0 2-0 0-15*,2.61,1.45
0-0 2-0 0-30*,2.74,1.41
0-0 2-0 0-40*,2.84,1.39
0-0 2-0 15-40*,2.79,1.40
0-0 2-0 15-40*,2.78,1.41
0-0 2-1 *0-0,2.89,1.38
0-0 2-1 *15-0,2.68,1.43
0-0 2-1 *15-15,2.90,1.38
0-0 2-1 *30-15,2.65,1.44
0-0 2-1 *40-15,2.46,1.50
0-0 3-1 0-0*,2.34,1.56
0-0 3-1 15-0*,2.18,1.63
0-0 3-1 15-15*,2.31,1.57
0-0 3-1 30-15*,2.13,1.66
0-0 3-1 30-30*,2.31,1.57
0-0 3-1 30-30*,2.29,1.58
0-0 3-1 40-30*,2.05,1.71
0-0 3-1 40-40*,2.26,1.59
0-0 3-1 40-A*,2.47,1.50
0-0 3-2 *0-15,2.96,1.37
0-0 3-2 *0-15,2.97,1.36
0-0 3-2 *15-15,2.71,1.43
0-0 3-2 *15-30,3.07,1.34
0-0 3-2 *30-30,2.71,1.43
0-0 3-2 *30-40,2.73,1.31
0-0 3-2 *30-40,3.25,1.31
0-0 3-3 0-0*,4.00,1.22
0-0 3-3 15-0*,3.08,1.34
0-0 3-3 15-15*,3.32,1.34
0-0 3-3 15-15*,3.32,1.30
0-0 3-3 15-30*,3.80,1.25
0-0 3-3 30-30*,3.32,1.30
0-0 3-3 30-40*,4.00,1.22
0-0 3-4 *0-0,4.60,1.17
0-0 3-4 *15-0,4.00,1.22
0-0 3-4 *30-0,3.70,1.25
0-0 3-4 *40-0,3.45,1.28
0-0 3-4 *40-15,3.70,1.25
0-0 4-4 0-0*,3.32,1.30
0-0 4-4 15-0*,3.07,1.34
0-0 4-4 15-15*,3.45,1.28
0-0 4-4 30-15*,2.91,1.38
0-0 5-4 *0-0,2.01,1.74
0-0 5-4 *0-15,2.29,1.58
0-0 5-4 *15-15,2.01,1.74
0-0 5-4 *15-15,2.35,1.55
0-0 5-4 *15-40,2.88,1.38
0-0 5-4 *30-40,2.50,1.49
0-0 5-5 0-0*,3.32,1.30
0-0 5-5 15-0*,2.88,1.38
0-0 5-5 15-15*,3.32,1.30
0-0 5-5 30-15*,2.79,1.40
0-0 5-5 30-15*,2.74,1.42
0-0 5-5 40-15*,2.27,1.58
1-0 0-0 0-0*,1.46,2.61
1-0 0-0 0-0*,1.56,2.32
1-0 0-0 0-15*,1.63,2.18
1-0 0-0 15-15*,1.56,2.34
1-0 0-0 15-30*,1.65,2.15
1-0 0-0 30-30*,1.54,2.36
1-0 0-0 30-30*,1.55,2.35
1-0 0-0 40-30*,1.43,2.69
1-0 1-0 *0-0,1.30,3.30
1-0 1-0 *0-15,1.37,2.95
1-0 1-0 *15-15,1.31,3.27
1-0 1-0 *30-30,1.31,3.25
1-0 1-0 *30-30,1.31,3.24
1-0 1-0 *40-30,1.25,3.70
1-0 2-0 0-0*,1.17,4.60
1-0 2-0 0-15*,1.22,4.00
1-0 2-0 0-30*,1.25,3.70
1-0 2-0 15-30*,1.22,4.00
1-0 2-0 15-40*,1.25,3.70
1-0 2-0 30-40*,1.22,4.00
1-0 2-1 *0-0,1.28,3.45
1-0 2-1 *0-0,1.20,4.25
1-0 2-1 *15-0,1.17,4.65
1-0 2-1 *15-15,1.20,4.25
1-0 2-1 *15-30,1.28,3.50
1-0 2-1 *30-30,1.20,4.20
1-0 2-1 *30-40,1.28,3.40
1-0 2-1 *30-40,1.30,3.32
1-0 2-2 0-0*,1.40,2.79
1-0 2-2 15-0*,1.33,3.13
1-0 2-2 30-0*,1.36,2.97
1-0 2-2 40-0*,1.30,3.32
1-0 3-2 *0-0,1.25,3.70
1-0 3-2 *0-15,1.25,3.70
1-0 3-2 *0-30,1.33,3.18
1-0 3-2 *15-30,1.28,3.45
1-0 3-2 *15-40,1.35,3.02
1-0 3-3 0-0*,1.43,2.71
1-0 3-2 *15-40,1.43,2.71
1-0 3-2 *15-15,1.51,2.45
1-0 3-2 *15-30,1.60,2.24
1-0 3-2 *15-30,1.59,2.25
1-0 3-2 *15-30,1.87,1.87
1-0 3-4 *15-0,1.91,1.82
1-0 3-4 *15-15,2.07,1.70
1-0 3-4 *15-30,2.26,1.59
1-0 3-4 *0-30,2.26,1.59
1-0 3-4 *15-40,2.36,1.54
1-0 3-4 *30-40,2.19,1.63
1-0 3-5 0-0*,2.56,1.47
1-0 3-5 15-0*,2.40,1.53
1-0 3-5 15-15*,2.54,1.48
1-0 3-5 30-15*,2.35,1.55
1-0 3-5 30-30*,2.52,1.48
1-0 3-5 40-30*,2.27,1.58
1-0 3-5 40-40*,2.49,1.49
1-0 3-5 40-A*,2.74,1.42
1-1 3-6 *0-0,2.80,1.35
1-1 3-6 *0-0,3.03,1.35
1-1 3-6 *0-0,3.06,1.34
1-1 3-6 *0-15,3.45,1.28
1-1 3-6 *0-30,4.00,1.22
1-1 3-6 *0-40,4.65,1.17
1-1 0-0 *0-40,4.00,1.22
1-1 0-0 *15-40,4.25,1.20
1-1 0-1 0-0*,5.20,1.14
1-1 0-1 0-15*,5.40,1.13
1-1 0-1 0-30*,6.00,1.10
1-1 0-1 15-30*,5.40,1.13
1-1 0-1 30-30*,4.65,1.17
1-1 0-1 40-30*,3.90,1.23
1-1 0-1 40-30*,3.70,1.25
1-1 1-1 *0-15,3.32,1.30
1-1 1-1 *15-15,2.92,1.37
1-1 1-1 *30-15,2.50,1.49
1-1 1-1 *30-30,2.92,1.37
1-1 1-1 *40-30,2.40,1.53
1-1 1-1 *40-40,2.91,1.38
1-1 1-1 *A-40,2.40,1.53
1-1 1-1 *40-40,2.91,1.38
1-1 1-1 *40-A,3.70,1.25
1-1 1-2 0-0*,4.65,1.17
1-1 1-2 0-15*,5.40,1.13
1-1 1-2 0-30*,6.00,1.10
1-1 1-2 15-30*,5.40,1.13
1-1 1-2 15-40*,6.50,1.09
1-1 1-3 *0-0,7.00,1.07
1-1 1-3 *15-0,6.00,1.10
1-1 1-3 *30-0,5.40,1.13
1-1 1-3 *40-0,5.20,1.14
1-1 2-3 0-0*,4.65,1.14
1-1 2-3 15-0*,4.65,1.17
1-1 2-3 15-30*,5.40,1.13
1-1 2-3 15-40*,6.50,1.08
1-1 2-3 30-40*,5.90,1.11
1-1 2-4 *0-0,7.50,1.06
1-1 2-4 *30-15,6.00,1.10
1-1 2-4 *30-30,7.50,1.06
1-1 2-4 *40-40,7.75,1.06
1-1 2-4 *40-A,10.00,1.03
1-1 2-5 0-0*,21.00,1.005
1-1 2-5 15-0*,13.00,1.01
1-1 2-5 30-0*,12.00,1.02
1-1 2-5 30-15*,13.00,1.01
1-1 2-5 30-30*,17.00,1.005
1-1 2-5 30-40*,67.00,1.002
1-2 2-6 *0-0,1.001,1.001
