Score,P1 Odds,P2 Odds
-,1.82,1.91
-,1.75,2.00
-,1.87,1.87
0-0 0-2 *0-0,2.78,1.41
0-0 0-2 *15-0,2.65,1.44
0-0 0-2 *15-15,2.79,1.40
0-0 0-2 *30-15,2.64,1.45
0-0 0-2 *30-30,2.83,1.39
0-0 0-2 *40-30,2.58,1.46
0-0 0-2 *40-40,2.80,1.40
0-0 0-2 *40-A,3.14,1.33
0-0 0-3 0-0*,3.45,1.28
0-0 0-3 0-15*,3.70,1.25
0-0 0-3 0-40*,4.00,1.22
0-0 0-4 *0-0,4.05,1.22
0-0 0-4 *0-15,4.25,1.20
0-0 0-4 *15-30,4.25,1.20
0-0 0-4 *15-40,4.60,1.17
0-0 0-4 *30-40,4.25,1.20
0-0 0-4 *A-40,4.00,1.22
0-0 1-4 0-0*,3.70,1.25
0-0 1-4 0-30*,4.05,1.22
0-0 1-4 15-30*,4.00,1.22
0-0 1-4 30-30*,3.70,1.25
0-0 1-4 30-40*,4.00,1.22
0-0 1-4 40-40*,4.00,1.25
0-0 1-4 A-40*,3.32,1.30
0-0 2-4 *15-0,2.89,1.38
0-0 2-4 *30-15,2.85,1.39
0-0 2-4 *30-30,3.08,1.34
0-0 2-4 *40-30,2.80,1.40
0-0 2-4 *40-30,2.82,1.40
0-0 3-4 0-0*,2.58,1.46
0-0 3-4 0-30*,3.11,1.34
0-0 3-4 0-40*,3.31,1.30
0-0 3-4 0-40*,3.14,1.33
0-0 3-5 *0-0,3.32,1.30
0-0 3-5 *15-0,3.22,1.31
0-0 3-5 *15-15,3.35,1.30
0-0 3-5 *15-30,3.70,1.25
0-0 3-5 *15-40,4.10,1.22
0-0 3-5 *15-40,4.25,1.20
0-1 3-6 0-0*,4.60,1.17
0-1 0-0 0-0*,4.60,1.17
0-1 0-0 15-0*,4.00,1.22
0-1 0-0 15-15*,4.60,1.17
0-1 0-0 15-30*,4.80,1.16
0-1 0-0 30-40*,5.20,1.14
0-1 0-0 40-40*,4.60,1.17
0-1 0-0 40-A*,5.20,1.14
0-1 0-1 *0-0,5.40,1.13
0-1 0-1 *30-0,4.65,1.17
0-1 0-1 *40-15,4.60,1.17
0-1 0-1 *40-30,4.80,1.16
0-1 1-1 0-0*,4.30,1.20
0-1 1-1 15-0*,4.25,1.22
0-1 1-1 30-0*,3.45,1.28
0-1 1-1 40-0*,3.16,1.33
0-1 1-1 30-15*,3.90,1.23
0-1 1-1 40-40*,4.25,1.20
0-1 1-1 40-30*,4.25,1.20
0-1 1-1 A-30*,4.25,1.20
0-1 1-1 40-A*,4.65,1.17
0-1 1-1 40-40*,4.25,1.20
0-1 1-2 *0-0,5.40,1.13
0-1 1-2 *15-0,5.00,1.15
0-1 1-2 *30-0,4.60,1.17
0-1 1-2 *40-15,4.60,1.17
0-1 2-2 0-0*,4.25,1.20
0-1 2-2 0-15*,4.60,1.17
0-1 2-2 15-15*,4.20,1.20
0-1 2-2 30-15*,3.50,1.28
0-1 2-2 30-15*,4.10,1.22
0-1 2-2 30-40*,4.65,1.17
0-1 2-2 40-40*,4.00,1.22
0-1 2-2 A-40*,3.32,1.30
0-1 3-2 *0-0,2.83,1.39
0-1 2-2 A-40*,2.83,1.39
0-1 2-2 15-40*,2.61,1.45
0-1 2-2 30-40*,2.45,1.51
0-1 2-2 40-40*,2.35,1.55
0-1 4-2 0-15*,2.30,1.53
0-1 4-2 15-15*,2.28,1.58
0-1 4-2 15-30*,2.41,1.52
0-1 4-2 15-40*,2.52,1.48
0-1 4-2 15-40*,2.50,1.49
0-1 4-3 *0-0,2.61,1.45
0-1 4-3 *0-15,2.92,1.37
0-1 4-3 *15-15,2.61,1.45
0-1 4-3 *15-30,3.05,1.35
0-1 4-3 *30-30,2.65,1.44
0-1 4-3 *40-30,2.33,1.56
0-1 5-3 0-0*,2.13,1.66
0-1 5-3 15-0*,2.13,1.72
0-1 5-3 15-0*,2.03,1.73
0-1 5-3 15-15*,2.11,1.67
0-1 5-3 15-30*,2.21,1.62
0-1 5-4 *0-0,2.35,1.55
0-1 5-4 *30-0,2.01,1.74
0-1 5-4 *40-0,1.92,1.81
0-1 5-4 *40-15,1.97,1.77
0-1 5-4 *40-15,1.98,1.76
0-1 5-4 *40-30,2.11,1.68
0-1 5-4 *40-40,2.40,1.53
1-1 6-4 0-0*,1.89,1.84
1-1 6-4 0-15*,2.04,1.72
1-1 6-4 0-30*,2.16,1.64
1-1 6-4 0-40*,2.27,1.58
1-1 6-4 *0-0,2.33,1.56
1-1 6-4 *0-0,2.35,1.55
1-1 0-1 *0-0,2.67,1.44
1-1 0-1 *15-30,2.75,1.41
1-1 0-1 *30-30,2.44,1.51
1-1 0-1 *30-40,2.97,1.36
1-1 0-2 0-0*,4.25,1.20
1-1 0-2 15-0*,3.50,1.28
1-1 0-2 30-0*,3.09,1.34
1-1 0-2 40-0*,2.65,1.44
1-1 1-2 *0-0,2.42,1.52
1-1 1-2 *0-15,2.79,1.40
1-1 1-2 *0-30,3.32,1.30
1-1 1-2 *0-40,4.20,1.20
1-1 1-3 0-0*,4.65,1.17
1-1 1-3 15-0*,4.00,1.22
1-1 1-3 30-0*,3.33,1.30
1-1 1-3 30-15*,3.70,1.25
1-1 1-3 40-15*,3.02,1.35
1-1 2-3 *0-0,2.62,1.45
1-1 2-3 *15-0,2.30,1.57
1-1 2-3 *15-15,2.61,1.45
1-1 2-3 *15-30,3.22,1.31
1-1 2-3 *15-40,4.25,1.20
1-1 2-3 *30-40,3.45,1.28
1-1 2-3 *40-40,2.73,1.42
1-1 2-3 *40-A,3.45,1.28
1-1 2-4 0-0*,5.40,1.13
1-1 2-4 15-15*,5.40,1.13
1-1 2-4 15-30*,6.50,1.08
1-1 2-4 30-30*,5.20,1.14
1-1 2-4 40-40*,5.20,1.14
