Score,P1 Odds,P2 Odds
-,1.96,1.78
0-0 0-0 0-15*,2.00,1.74
0-0 0-0 15-15*,1.89,1.83
0-0 0-0 30-15*,1.77,1.97
0-0 0-0 30-30*,1.88,1.85
0-0 0-0 30-30*,1.73,2.03
0-0 1-0 *0-0,1.59,2.27
0-0 1-0 *15-0,1.52,2.41
0-0 1-0 *30-15,1.59,2.26
0-0 1-0 *40-15,1.46,2.60
0-0 1-0 *40-30,1.50,2.46
0-0 1-0 *40-40,1.61,2.23
0-0 2-0 0-0*,1.43,2.68
0-0 2-0 0-0*,1.43,2.70
0-0 2-0 15-0*,1.38,2.88
0-0 2-0 15-15*,1.43,2.70
0-0 2-0 15-40*,1.53,2.39
0-0 2-0 30-40*,1.50,2.47
0-0 2-0 30-40*,1.49,2.49
0-0 2-0 40-40*,1.42,2.74
0-0 2-0 A-40*,1.35,3.04
0-0 2-0 40-40*,1.42,2.74
0-0 2-0 40-40*,1.35,3.04
0-0 3-0 *0-0,1.30,3.35
0-0 3-0 *15-0,1.28,3.45
0-0 3-0 *30-0,1.25,3.70
0-0 3-0 *40-0,1.22,4.00
0-0 3-0 *40-15,1.25,3.90
0-0 4-0 0-15*,1.23,3.90
0-0 4-0 0-30*,1.23,3.70
0-0 4-0 0-40*,1.23,3.69
0-0 4-0 15-40*,1.23,3.70
0-0 4-0 30-40*,1.22,4.05
0-0 4-1 *0-0,1.22,4.00
0-0 4-1 *0-15,1.25,3.70
0-0 4-1 *15-15,1.22,4.00
0-0 4-1 *40-15,1.20,4.25
0-0 5-1 0-0*,1.17,4.60
0-0 5-1 0-15*,1.20,4.25
0-0 5-1 15-15*,1.17,4.60
0-0 5-1 30-15*,1.17,4.65
0-0 5-1 40-15*,1.17,4.65
0-0 5-1 40-30*,1.17,4.65
1-0 6-1 *0-0,1.15,5.00
1-0 6-1 *15-0,1.14,5.20
1-0 6-1 *30-0,1.13,5.40
1-0 6-1 *40-0,1.11,6.00
1-0 6-1 *40-15,1.12,5.70
1-0 6-1 0-0*,1.11,6.00
1-0 1-0 0-0*,1.11,6.00
1-0 1-0 15-0*,1.08,6.50
1-0 1-0 15-0*,1.05,8.50
1-0 1-0 30-0*,1.04,9.50
1-0 1-0 40-0*,1.03,10.00
1-0 1-0 40-15*,1.04,10.00
1-0 2-0 *0-0,1.02,11.00
1-0 2-0 *0-15,1.04,10.00
1-0 2-0 *0-30,1.04,9.50
1-0 2-0 *15-30,1.04,9.50
1-0 2-0 *15-40,1.05,8.50
1-0 2-0 *30-40,1.04,9.50
1-0 2-0 *40-40,1.02,11.00
1-0 2-0 *40-40,1.03,10.00
1-0 2-0 *40-A,1.04,9.50
1-0 2-0 *40-40,1.03,10.00
1-0 2-0 *A-40,1.02,12.00
1-0 2-0 *40-40,1.03,10.00
1-0 2-0 *A-40,1.02,12.00
1-0 2-0 *40-40,1.03,10.00
1-0 2-0 *40-40,1.02,12.00
1-0 2-0 *40-40,1.03,10.00
1-0 2-0 *40-40,1.02,12.00
1-0 3-0 0-0*,1.01,14.00
1-0 3-0 0-15*,1.01,13.00
1-0 3-0 15-15*,1.01,14.00
1-0 3-0 15-30*,1.01,13.00
1-0 3-0 15-40*,1.02,12.00
1-0 3-1 *0-0,1.02,11.00
1-0 3-1 *0-15,1.04,9.50
1-0 3-1 *15-15,1.02,11.00
1-0 3-1 *30-15,1.02,12.00
1-0 3-1 *30-30,1.02,11.00
1-0 3-1 *30-40,1.04,9.50
1-0 3-1 *30-40,1.03,11.00
1-0 3-1 *A-40,1.01,13.00
1-0 3-1 *A-40,1.02,12.00
1-0 3-1 *40-40,1.03,10.00
1-0 3-1 *A-40,1.02,12.00
1-0 3-1 *40-40,1.03,10.00
1-0 3-1 *A-40,1.01,13.00
1-0 4-1 0-0*,1.01,13.00
1-0 4-1 0-0*,1.01,15.00
1-0 4-1 15-0*,1.004,34.00
1-0 4-1 15-15*,1.004,15.00
1-0 4-1 15-15*,1.01,15.00
1-0 4-1 30-15*,1.004,34.00
1-0 4-1 40-15*,1.002,67.00
1-0 4-1 40-30*,1.002,41.00
1-0 4-1 40-40*,1.01,15.00
1-0 4-1 40-A*,1.01,13.00
1-0 4-1 40-40*,1.005,17.00
1-0 4-1 40-40*,1.01,13.00
1-0 4-2 *0-0,1.02,12.00
1-0 4-2 *15-0,1.01,13.00
1-0 4-2 *30-0,1.005,17.00
1-0 4-2 *30-0,1.005,15.00
1-0 4-2 *30-15,1.01,13.00
1-0 4-2 *30-30,1.02,12.00
1-0 4-2 *30-40,1.04,9.50
1-0 4-2 *40-40,1.02,11.00
1-0 4-2 *A-40,1.01,14.00
1-0 5-2 0-0*,1.002,34.00
1-0 5-2 0-15*,1.005,34.00
1-0 5-2 15-15*,1.002,34.00
1-0 5-2 30-15*,1.002,67.00
1-0 5-2 15-15*,1.002,34.00
1-0 5-2 30-30*,1.002,41.00
1-0 5-2 30-40*,1.005,21.00
1-0 5-2 40-40*,1.002,41.00
1-0 5-2 A-40*,1.001,81.00
