Score,P1 Odds,P2 Odds
-,2.23,1.61
0-0 0-0 0-15*,2.35,1.55
0-0 0-0 0-30*,2.47,1.50
0-0 0-0 0-40*,2.58,1.46
0-0 0-0 15-40*,2.52,1.48
0-0 0-0 30-40*,2.39,1.53
0-0 0-0 30-40*,2.17,1.64
0-0 0-0 A-40*,1.99,1.75
0-0 0-0 40-40*,2.20,1.62
0-0 0-0 A-40*,1.98,1.77
0-0 0-0 40-40*,2.17,1.64
0-0 0-0 A-40*,2.17,1.64
0-0 0-0 A-40*,1.98,1.77
0-0 1-0 *0-0,1.79,1.95
0-0 1-0 *15-0,1.71,2.06
0-0 1-0 *15-15,1.79,1.95
0-0 1-0 *30-15,1.70,2.08
0-0 1-0 *30-15,1.71,2.06
0-0 1-0 *40-15,1.63,2.19
0-0 2-0 0-0*,1.58,2.27
0-0 2-0 0-15*,1.64,2.16
0-0 2-0 0-15*,1.64,2.17
0-0 2-0 15-15*,1.58,2.29
0-0 2-0 15-30*,1.65,2.16
0-0 2-0 30-30*,1.58,2.29
0-0 2-0 40-30*,1.48,2.53
0-0 2-0 40-30*,1.47,2.55
0-0 2-0 40-40*,1.57,2.32
0-0 2-0 40-A*,1.66,2.13
0-0 2-1 *0-0,1.76,1.99
0-0 2-1 *15-0,1.68,2.10
0-0 2-1 *15-15,1.76,1.98
0-0 2-1 *15-30,1.89,1.83
0-0 2-1 *30-30,1.77,1.97
0-0 2-1 *30-40,1.95,1.78
0-0 2-2 0-0*,2.23,1.61
0-0 2-2 0-0*,1.22,4.00
0-0 2-2 0-15*,1.25,3.70
0-0 2-2 15-15*,1.22,4.00
0-0 2-2 15-30*,2.27,1.58
0-0 2-2 30-30*,2.09,1.69
0-0 2-2 40-30*,1.87,1.87
0-0 3-2 *0-0,1.65,2.14
0-0 3-2 *15-0,1.57,2.31
0-0 3-2 *30-0,1.50,2.47
0-0 3-2 *30-15,1.56,2.33
0-0 3-2 *40-15,1.48,2.54
0-0 3-2 *40-30,1.53,2.39
0-0 3-2 *40-40,1.66,2.13
0-0 3-2 *A-40,1.53,2.39
0-0 4-2 A-40*,1.44,2.67
0-0 4-2 0-0*,1.44,2.67
0-0 4-2 0-15*,1.48,2.52
0-0 4-2 15-15*,1.48,2.52
0-0 4-2 15-15*,1.43,2.70
0-0 4-2 15-30*,1.49,2.50
0-0 4-2 30-30*,1.43,2.70
0-0 4-2 30-40*,1.51,2.45
0-0 4-3 *0-0,1.59,2.26
0-0 4-3 *15-0,1.50,2.47
0-0 4-3 *15-15,1.50,2.47
0-0 4-3 *15-15,1.59,2.25
0-0 4-3 *15-30,1.74,2.01
0-0 4-3 *15-40,1.95,1.79
0-0 4-3 *30-40,1.81,1.93
0-0 4-3 *40-40,1.61,2.23
0-0 4-3 *40-A,1.81,1.93
0-0 4-3 *40-A,1.82,1.91
0-0 4-4 0-0*,2.14,1.66
0-0 4-4 30-0*,1.73,2.02
0-0 4-4 30-15*,1.88,1.85
0-0 4-4 40-15*,1.65,2.14
0-0 4-4 40-15*,1.65,2.15
0-0 5-4 *0-0,1.51,2.44
0-0 5-4 *0-15,1.65,2.15
0-0 5-4 *15-30,1.68,2.10
0-0 5-4 *15-40,1.90,1.83
