Score,P1 Odds,P2 Odds
-,1.56,2.33
-,1.71,2.05
0-0 0-0 *30-0,1.64,2.16
0-0 1-0 0-0*,1.58,2.27
0-0 1-0 15-0*,1.51,2.44
0-0 1-0 30-0*,1.44,2.67
0-0 1-0 40-0*,1.38,2.90
0-0 2-0 *15-0,1.35,3.04
0-0 2-0 *30-0,1.30,3.32
0-0 2-0 *40-15,1.28,3.45
0-0 2-0 *40-30,1.30,3.30
0-0 3-0 0-0*,1.28,3.45
0-0 3-0 15-0*,1.25,3.70
0-0 3-0 30-0*,1.22,4.00
0-0 3-0 30-15*,1.23,3.92
0-0 4-0 *0-0,1.17,4.50
0-0 4-0 *0-15,1.20,4.25
0-0 4-0 *15-15,1.17,4.50
0-0 4-0 *30-15,1.17,4.60
0-0 4-0 *40-30,1.17,4.60
0-0 5-0 0-0*,1.17,4.65
0-0 5-0 15-0*,1.17,4.65
0-0 5-0 15-15*,1.17,4.65
0-0 5-0 30-40*,1.11,6.00
0-0 5-0 40-40*,1.11,6.00
0-0 5-0 A-40*,1.10,6.00
1-0 6-0 *0-0,1.10,6.00
1-0 6-0 *0-0,1.08,7.00
1-0 6-0 *15-0,1.06,7.75
1-0 6-0 *15-15,1.08,7.00
1-0 0-0 *40-15,1.05,8.50
1-0 0-0 *40-30,1.06,8.00
1-0 0-0 *40-40,1.08,6.50
1-0 0-0 *40-A,1.11,5.90
1-0 0-1 0-0*,1.14,5.20
1-0 0-1 0-15*,1.17,4.60
1-0 0-1 15-15*,1.14,5.20
1-0 0-1 15-30*,1.17,4.60
1-0 0-1 15-15*,1.17,4.60
1-0 0-1 15-40*,1.22,4.05
1-0 0-1 30-40*,1.20,4.30
1-0 0-1 40-40*,1.14,5.20
1-0 0-1 A-40*,1.13,5.50
1-0 0-1 40-40*,1.14,5.20
1-0 0-1 A-40*,1.13,5.50
1-0 1-1 *0-0,1.08,6.50
1-0 1-1 *15-0,1.06,7.50
1-0 1-1 *0-0,1.06,7.50
1-0 1-1 *40-15,1.05,8.50
1-0 1-1 *40-30,1.06,7.75
1-0 1-1 *40-40,1.10,6.00
1-0 1-1 *A-40,1.06,7.75
1-0 2-1 0-0*,1.04,9.50
1-0 2-1 15-0*,1.03,10.00
1-0 2-1 15-15*,1.04,9.50
1-0 2-1 30-30*,1.04,9.50
1-0 2-1 40-40*,1.04,9.50
1-0 2-1 40-A*,1.06,7.50
1-0 2-1 40-40*,1.04,9.50
1-0 2-1 A-40*,1.03,10.00
1-0 2-1 40-40*,1.04,9.50
1-0 2-1 A-40*,1.03,10.00
1-0 2-1 40-40*,1.04,9.50
1-0 2-2 *0-0,1.10,6.00
1-0 2-2 *15-0,1.07,7.00
1-0 2-2 *15-15,1.10,6.00
1-0 2-2 *40-15,1.07,8.00
1-0 2-2 *40-30,1.06,7.50
1-0 3-2 0-0*,1.05,8.50
1-0 3-2 15-0*,1.05,8.50
1-0 3-2 15-0*,1.04,9.50
1-0 3-2 40-0*,1.01,13.00
1-0 4-2 *0-0,1.01,14.00
1-0 4-2 *0-15,1.02,12.00
1-0 4-2 *15-15,1.01,14.00
1-0 4-2 *15-30,1.02,12.00
1-0 4-2 *30-30,1.01,13.00
1-0 4-2 *40-30,1.004,34.00
1-0 4-2 *40-40,1.01,13.00
1-0 4-2 *A-40,1.005,34.00
1-0 4-2 *40-40,1.01,13.00
1-0 4-2 *A-40,1.005,34.00
1-0 4-2 *A-40,1.01,13.00
1-0 4-2 *40-A,1.02,11.00
1-0 4-2 *40-A,1.01,13.00
1-0 4-2 *A-40,1.005,34.00
1-0 5-2 0-0*,1.002,67.00
1-0 5-2 15-0*,1.001,81.00
1-0 5-2 30-0*,1.001,101.00
