Score,P1 Odds,P2 Odds
-,2.49,1.49
0-0 1-4 *30-30,4.80,1.16
0-0 2-4 0-0*,4.00,1.22
0-0 2-4 15-0*,3.45,1.28
0-0 2-4 15-15*,3.96,1.22
0-0 2-4 15-30*,5.00,1.15
0-0 2-4 15-40*,5.20,1.14
0-0 2-5 *0-0,5.40,1.13
0-0 2-5 *30-0,5.20,1.14
0-0 2-5 *30-15,5.20,1.14
0-0 2-5 *40-15,5.20,1.14
0-0 2-5 *40-30,5.20,1.14
0-0 3-5 0-0*,5.00,1.15
0-0 3-5 0-15*,5.20,1.14
0-0 3-5 15-15*,4.65,1.17
0-0 3-5 15-30*,5.20,1.14
0-0 3-5 15-30*,5.40,1.13
0-0 3-5 30-30*,5.20,1.14
0-1 3-6 *0-0,5.90,1.11
0-1 3-6 *0-15,6.00,1.10
0-1 3-6 *0-30,7.50,1.06
0-1 3-6 *15-40,8.00,1.06
0-1 3-6 *15-40,8.50,1.05
0-1 3-6 0-0*,9.50,1.04
0-1 0-1 0-0*,10.00,1.03
0-1 0-1 15-30*,10.00,1.03
0-1 0-1 30-30*,9.50,1.04
0-1 0-1 30-40*,10.00,1.04
0-1 0-2 *0-0,12.00,1.02
0-1 0-2 *0-15,12.00,1.02
0-1 0-2 *0-30,14.00,1.01
0-1 0-2 *0-40,21.00,1.005
0-1 0-2 *15-40,15.00,1.01
0-1 0-3 0-0*,34.00,1.004
0-1 0-3 0-15*,41.00,1.002
0-1 0-3 0-30*,67.00,1.002
0-1 0-3 0-40*,81.00,1.001
0-1 0-4 *0-0,81.00,1.001
0-1 0-4 *0-15,101.00,1.001
0-1 0-4 *15-15,81.00,1.001
0-1 0-4 *30-15,67.00,1.002
0-1 4-5 0-0*,12.00,1.02
0-1 4-5 15-0*,10.00,1.03
0-1 4-5 30-0*,7.75,1.06
0-1 4-5 40-0*,6.00,1.10
0-1 4-5 40-15*,6.50,1.08
0-1 4-5 40-15*,6.50,1.09
0-1 4-5 40-30*,7.50,1.06
0-1 4-5 40-40*,10.00,1.03
0-2 4-6 *0-0,1.001,1.001
