Score,P1 Odds,P2 Odds
-,2.40,1.53
-,2.82,1.40
0-0 0-0 15-30*,2.96,1.36
0-0 0-0 30-30*,2.69,1.43
0-0 0-1 *0-0,3.14,1.33
0-0 0-1 *15-15,3.16,1.33
0-0 0-1 *30-15,3.01,1.35
0-0 0-1 *40-30,2.95,1.37
0-0 0-1 *A-40,2.95,1.37
0-0 0-1 *40-A,3.70,1.25
0-0 0-2 0-0*,4.65,1.17
0-0 0-2 0-15*,5.20,1.14
0-0 0-2 15-30*,5.00,1.15
0-0 0-2 30-30*,4.60,1.17
0-0 0-2 40-30*,4.00,1.22
0-0 1-2 *0-0,3.31,1.30
0-0 1-2 *15-0,3.08,1.34
0-0 1-2 *30-15,3.04,1.35
0-0 1-2 *40-15,2.84,1.39
0-0 2-2 0-0*,2.77,1.41
0-0 2-2 0-0*,2.92,1.37
0-0 2-2 15-30*,2.92,1.37
0-0 2-2 30-40*,2.95,1.37
0-0 2-2 40-40*,2.67,1.44
0-0 2-2 A-40*,2.23,1.61
0-0 3-2 *0-0,1.88,1.85
0-0 3-2 *40-0,1.65,2.15
0-0 3-2 *40-15,1.68,2.10
0-0 4-2 15-0*,1.57,2.30
0-0 4-2 30-15*,1.55,2.35
0-0 4-2 40-15*,1.45,2.61
0-0 4-2 40-40*,1.59,2.26
0-0 4-2 A-40*,1.50,2.47
0-0 5-2 *0-0,1.39,2.83
0-0 5-2 *15-0,1.37,2.94
0-0 5-2 *40-0,1.33,3.12
1-0 6-2 0-0*,1.33,3.14
1-0 0-0 0-0*,1.33,3.14
1-0 0-0 15-15*,1.33,3.14
1-0 0-0 15-30*,1.37,2.95
1-0 0-1 *0-0,1.45,2.65
1-0 0-1 *15-0,1.40,2.79
1-0 0-1 *40-0,1.34,3.06
1-0 0-1 *40-30,1.39,2.85
1-0 0-1 *40-40,1.46,2.58
1-0 0-1 *A-40,1.40,2.81
1-0 0-1 *40-40,1.46,2.58
1-0 0-1 *A-40,1.39,2.83
1-0 1-1 0-0*,1.35,3.02
1-0 1-1 15-0*,1.30,3.32
1-0 1-1 15-30*,1.40,2.82
1-0 1-1 40-30*,1.22,4.00
1-0 2-1 *0-0,1.14,5.20
1-0 2-1 *15-0,1.14,5.50
1-0 2-1 *30-0,1.10,6.00
1-0 2-1 *30-30,1.14,5.20
1-0 2-1 *40-30,1.11,5.90
1-0 2-1 *40-40,1.14,5.20
1-0 3-1 0-0*,1.08,6.50
1-0 3-1 0-15*,1.10,6.00
1-0 3-1 30-15*,1.05,8.50
1-0 4-1 *0-0,1.01,13.00
1-0 4-1 *0-15,1.02,12.00
1-0 4-1 *30-15,1.005,17.00
1-0 4-1 *30-15,1.01,13.00
1-0 5-1 0-0*,1.002,51.00
1-0 5-1 15-30*,1.002,41.00
1-0 5-1 30-40*,1.002,41.00
1-0 5-1 40-40*,1.002,67.00
1-0 5-1 A-40*,1.001,101.00
