Score,P1 Odds,P2 Odds
-,2.34,1.55
Score,P1 Odds,P2 Odds
-,2.34,1.55
0-0 0-0 *15-15,2.34,1.56
0-0 0-0 *15-40,2.91,1.38
0-0 0-0 *30-40,2.67,1.44
0-0 0-1 0-0*,3.30,1.30
0-0 0-1 0-15*,3.45,1.28
0-0 0-1 15-15*,3.25,1.31
0-0 0-1 15-30*,3.45,1.28
0-0 0-1 15-40*,3.70,1.25
0-0 0-2 *0-0,3.78,1.25
0-0 0-2 *15-0,3.50,1.28
0-0 0-2 *15-15,3.96,1.22
0-0 0-2 *40-15,3.35,1.30
0-0 1-2 0-0*,3.32,1.30
0-0 1-2 15-15*,3.31,1.30
0-0 1-2 30-15*,2.90,1.38
0-0 1-2 30-30*,3.25,1.31
0-0 1-2 30-40*,3.45,1.28
0-0 1-2 40-40*,3.13,1.33
0-0 1-2 A-40*,2.62,1.45
0-0 1-2 40-40*,3.01,1.35
0-0 2-2 *0-0,2.21,1.62
0-0 2-2 *0-15,2.41,1.52
0-0 2-2 *15-15,2.23,1.61
0-0 2-2 *15-30,2.47,1.50
0-0 2-2 *15-40,2.85,1.39
0-0 2-3 0-0*,3.30,1.30
0-0 2-3 15-0*,2.92,1.37
0-0 2-3 40-0*,2.34,1.55
0-0 3-3 *0-0,2.19,1.63
0-0 3-3 *40-0,1.84,1.89
0-0 3-3 *40-15,1.88,1.85
0-0 4-3 0-0*,1.81,1.92
0-0 4-3 0-15*,1.93,1.81
0-0 4-3 0-30*,2.03,1.73
0-0 4-3 0-30*,2.02,1.73
0-0 4-3 15-40*,2.05,1.71
0-0 4-3 30-40*,1.97,1.77
0-0 4-4 *0-0,2.13,1.66
0-0 4-4 *15-0,1.97,1.77
0-0 4-4 *30-0,1.84,1.89
0-0 4-4 *30-15,1.95,1.78
0-0 4-4 *40-30,1.91,1.82
0-0 5-4 0-0*,1.74,2.01
0-0 5-4 0-15*,1.87,1.86
0-0 5-4 15-15*,1.72,2.04
0-0 5-4 30-30*,1.72,2.04
1-0 0-0 *30-30,1.31,3.24
1-0 0-0 *40-40,1.31,3.22
1-0 0-0 *40-40,1.28,3.45
1-0 0-0 *40-40,1.33,3.14
1-0 0-0 *40-40,1.33,3.18
1-0 0-0 *40-A,1.41,2.75
1-0 0-0 *40-40,1.41,2.75
1-0 0-0 *A-40,1.28,3.45
1-0 1-0 0-0*,1.22,4.00
1-0 1-0 0-30*,1.25,3.35
1-0 1-0 15-40*,1.30,3.32
1-0 1-1 *15-0,1.28,3.45
1-0 1-1 *30-0,1.25,3.70
1-0 1-1 *40-15,1.25,3.78
1-0 2-1 0-0*,1.22,4.00
1-0 2-1 15-15*,1.22,4.00
1-0 2-1 40-15*,1.11,6.00
1-0 3-1 *0-15,1.11,6.00
1-0 3-1 *30-15,1.05,8.50
1-0 3-1 *40-15,1.04,9.50
1-0 4-1 0-0*,1.03,10.00
1-0 4-1 0-0*,1.02,12.00
1-0 4-1 0-30*,1.03,10.00
1-0 4-1 15-40*,1.03,10.00
1-0 4-1 30-40*,1.02,11.00
1-0 4-2 *15-0,1.02,12.00
1-0 4-2 *30-0,1.01,13.00
1-0 4-2 *40-15,1.01,13.00
1-0 5-2 0-0*,1.01,15.00
1-0 5-2 0-15*,1.01,14.00
1-0 5-2 30-15*,1.002,34.00
1-0 5-2 40-15*,1.001,81.00
2-0 6-2 *0-0,1.001,1.001
