Score,P1 Odds,P2 Odds
-,1.08,6.50
-,1.06,8.00
0-0 0-0 *15-0,1.04,9.50
0-0 0-0 *15-15,1.06,8.00
0-0 0-0 *30-30,1.06,8.00
0-0 0-0 *40-30,1.04,9.50
0-0 0-0 *A-40,1.05,8.50
0-0 1-0 0-0*,1.04,9.50
0-0 1-0 15-30*,1.05,8.50
0-0 1-0 15-40*,1.05,8.50
0-0 1-1 *0-0,1.06,7.75
0-0 1-1 *15-0,1.05,8.50
0-0 1-1 *30-15,1.06,8.00
0-0 1-1 *40-15,1.05,8.50
0-0 1-1 *40-40,1.05,8.50
0-0 1-1 *40-A,1.10,6.00
0-0 1-1 *A-40,1.06,8.00
0-0 2-1 0-0*,1.05,8.50
0-0 2-1 0-15*,1.05,8.50
0-0 2-1 0-30*,1.06,7.75
0-0 2-2 *0-0,1.06,7.50
0-0 2-2 *15-0,1.06,7.75
0-0 2-2 *30-15,1.06,7.75
0-0 2-2 *30-30,1.08,6.50
0-0 2-2 *40-30,1.06,7.75
0-0 3-2 0-0*,1.05,8.50
