Score,P1 Odds,P2 Odds
-,1.25,3.70
0-0 1-0 *15-15,1.13,5.40
0-0 1-0 *15-30,1.14,5.20
0-0 1-0 *30-40,1.17,4.65
0-0 1-1 0-0*,1.22,4.05
0-0 1-1 0-30*,1.28,3.45
0-0 1-2 *0-0,1.30,3.32
0-0 1-2 *0-15,1.34,3.10
0-0 1-2 *30-30,1.30,3.32
0-0 2-2 0-0*,1.20,4.25
0-0 2-2 0-15*,1.28,3.45
0-0 2-2 15-15*,1.22,4.00
0-0 2-2 30-15*,1.22,4.60
0-0 2-2 30-40*,1.30,3.35
0-0 2-3 *0-0,1.34,3.06
0-0 2-3 *0-0,1.30,3.30
0-0 2-3 *0-15,1.36,2.96
0-0 2-3 *0-30,1.45,2.64
0-0 2-3 *15-30,1.39,2.86
0-0 2-3 *15-40,1.50,2.47
0-0 2-4 15-0*,1.57,2.31
0-0 2-4 40-0*,1.42,2.74
0-0 2-4 40-15*,1.45,2.64
0-0 3-4 *0-0,1.39,2.84
0-0 3-4 *0-0,1.39,2.86
0-0 3-4 *0-30,1.58,2.29
0-0 3-5 0-0*,1.81,1.92
0-0 3-5 15-15*,1.81,1.92
0-0 3-5 30-15*,1.65,2.15
0-0 3-5 30-30*,1.78,1.96
0-0 3-5 40-40*,1.78,1.97
0-0 3-5 40-40*,1.77,1.97
0-0 3-5 40-A*,2.17,1.64
0-1 3-6 *15-0,2.04,1.72
0-1 3-6 *30-0,1.96,1.78
0-1 3-6 0-0*,1.81,1.92
0-1 3-6 0-15*,1.90,1.83
0-1 3-6 0-30*,1.99,1.76
0-1 1-1 *A-40,1.97,1.78
0-1 1-1 *40-40,2.21,1.62
0-1 2-1 0-0*,1.82,1.91
0-1 2-1 30-0*,1.62,2.20
0-1 2-1 30-15*,1.69,2.09
0-1 2-1 40-30*,1.65,2.16
0-1 2-1 40-40*,1.80,1.93
0-1 2-1 40-40*,1.65,2.15
0-1 2-1 40-A*,1.95,1.79
0-1 2-2 *0-15,2.35,1.55
0-1 2-2 *15-15,2.15,1.65
0-1 2-2 *30-15,1.97,1.77
0-1 2-2 *40-15,1.85,1.88
0-1 2-2 *40-40,2.15,1.65
0-1 2-2 *40-40,2.24,1.60
0-1 2-3 0-0*,3.35,1.30
0-1 2-3 15-15*,3.32,1.30
0-1 2-3 15-40*,4.65,1.17
0-1 2-4 *0-0,5.20,1.14
0-1 2-4 *15-0,5.20,1.14
0-1 2-4 *30-0,4.25,1.20
0-1 2-4 *40-0,9.50,1.04
0-1 3-4 0-0*,4.00,1.22
0-1 3-4 0-0*,3.45,1.28
0-1 3-4 15-0*,2.92,1.37
0-1 3-4 15-15*,3.45,1.28
0-1 3-4 15-30*,4.25,1.20
0-1 3-4 30-40*,4.25,1.20
0-1 3-5 *0-0,6.00,1.10
0-1 3-5 *15-0,5.40,1.13
0-1 3-5 *40-0,4.65,1.17
0-1 4-5 0-0*,4.65,1.17
0-1 4-5 15-15*,4.65,1.17
0-1 4-5 30-15*,3.26,1.31
0-1 4-5 30-40*,8.00,1.06
0-2 4-6 *0-0,1.001,1.001
