Score,P1 Odds,P2 Odds
-,1.70,2.07
-,1.65,2.15
0-0 0-0 *15-0,1.59,2.26
0-0 0-0 *15-0,1.60,2.24
0-0 0-0 *30-15,1.60,2.25
0-0 0-0 *40-15,1.56,2.33
0-0 0-0 *40-30,1.60,2.24
0-0 1-0 0-0*,1.54,2.37
0-0 1-0 0-15*,1.57,2.30
0-0 1-0 0-30*,1.60,2.25
0-0 1-0 15-30*,1.56,2.33
0-0 1-0 30-30*,1.47,2.56
0-0 1-0 40-30*,1.35,3.01
0-0 2-0 *0-0,1.25,3.69
0-0 2-0 *15-0,1.23,3.90
0-0 2-0 *30-0,1.22,4.00
0-0 2-0 *30-15,1.25,3.75
0-0 2-0 *40-15,1.22,4.00
0-0 3-0 0-0*,1.20,4.20
0-0 3-0 0-15*,1.22,4.00
0-0 3-0 0-30*,1.22,4.00
0-0 3-0 0-40*,1.22,3.96
0-0 3-1 *0-0,1.23,3.90
0-0 3-1 *15-0,1.22,4.00
0-0 3-1 *15-15,1.25,3.70
0-0 3-1 *30-15,1.22,4.00
0-0 3-1 *40-15,1.20,4.25
0-0 4-1 0-0*,1.20,4.25
0-0 4-1 0-30*,1.22,4.10
0-0 4-1 0-0*,1.22,4.00
0-0 4-1 15-0*,1.22,4.10
0-0 4-2 *0-0,1.22,4.00
0-0 4-2 *0-15,1.28,3.45
0-0 4-2 *15-15,1.22,4.00
0-0 4-2 *30-15,1.20,4.25
0-0 4-2 *40-15,1.17,4.60
0-0 5-2 0-0*,1.17,4.65
1-0 0-0 *15-15,1.14,5.20
1-0 0-0 *15-40,1.22,4.00
1-0 0-0 *15-40,1.22,3.98
1-0 0-0 *30-40,1.20,4.25
1-0 0-0 *40-40,1.14,5.20
1-0 0-0 *40-40,1.17,4.65
1-0 1-0 0-0*,1.10,6.00
1-0 1-0 0-15*,1.11,5.90
1-0 1-0 0-30*,1.11,5.90
1-0 1-0 0-30*,1.13,5.40
1-0 1-0 0-40*,1.13,5.40
1-0 1-1 *0-0,1.14,5.20
1-0 1-1 *15-15,1.14,5.20
1-0 1-1 *30-15,1.13,5.40
1-0 1-1 *30-30,1.17,4.65
1-0 1-1 *30-40,1.23,3.92
1-0 1-2 0-0*,1.33,3.14
1-0 1-2 0-30*,1.41,2.78
1-0 1-2 15-40*,1.41,2.77
1-0 1-2 40-40*,1.37,2.92
1-0 1-2 40-40*,1.30,3.32
1-0 1-3 *0-0,1.42,2.74
1-0 1-3 *0-15,1.46,2.58
1-0 1-3 *15-15,1.43,2.70
1-0 1-3 *30-15,1.40,2.81
1-0 1-3 *40-15,1.38,2.89
1-0 1-3 *40-30,1.40,2.80
1-0 1-3 *40-40,1.46,2.59
1-0 1-4 0-0*,1.59,2.26
1-0 1-4 0-15*,1.62,2.20
1-0 1-4 0-30*,1.65,2.15
1-0 1-4 15-30*,1.61,2.21
1-0 1-4 15-40*,1.65,2.14
1-0 1-5 *0-0,1.67,2.11
1-0 1-5 *15-0,1.66,2.13
1-0 1-5 *30-15,1.67,2.12
1-0 1-5 *40-15,1.65,2.14
1-0 2-5 0-0*,1.64,2.16
1-0 2-5 0-15*,1.74,2.01
1-0 2-5 15-15*,1.70,2.07
1-0 2-5 30-15*,1.65,2.15
1-0 2-5 30-30*,1.69,2.09
1-0 2-5 30-40*,1.73,2.02
1-1 2-6 *0-0,1.88,1.85
1-1 0-0 *1-6,6.50,1.08
1-1 0-0 3-6*,5.50,1.13
1-1 0-0 3-7*,8.50,1.05
1-1 0-0 *3-8,12.00,1.02
1-1 0-0 *3-9,81.00,1.001
1-1 0-0 3-10*,1.001,1.001
