Score,P1 Odds,P2 Odds
-,1.41,2.76
Score,P1 Odds,P2 Odds
-,1.41,2.76
0-0 0-0 0-0*,1.41,2.76
0-0 0-0 15-0*,1.34,3.06
0-0 0-0 15-15*,1.40,2.81
0-0 0-0 30-15*,1.33,3.14
0-0 0-0 30-30*,1.38,2.88
0-0 0-0 30-40*,1.44,2.65
0-0 0-1 *0-0,1.50,2.47
0-0 0-1 *0-0,1.51,2.45
0-0 0-1 *15-0,1.47,2.55
0-0 0-1 *40-0,1.43,2.70
0-0 1-1 0-0*,1.42,2.74
0-0 1-1 0-15*,1.46,2.61
0-0 1-1 15-15*,1.41,2.78
0-0 1-1 15-15*,1.39,2.84
0-0 1-1 15-30*,1.44,2.65
0-0 1-1 15-40*,1.49,2.49
0-0 1-2 *0-0,1.51,2.44
0-0 1-2 *0-15,1.62,2.20
0-0 1-2 *0-0,1.53,2.40
0-0 1-2 *15-30,1.65,2.14
0-0 1-2 *30-30,1.57,2.31
0-0 1-2 *30-30,1.60,2.25
0-0 1-2 *40-30,1.51,2.45
0-0 2-2 0-0*,1.43,2.70
0-0 2-2 0-15*,1.47,2.56
0-0 2-2 15-15*,1.42,2.72
0-0 2-2 15-30*,1.47,2.55
0-0 2-2 15-30*,1.46,2.58
0-0 2-2 30-30*,1.38,2.87
0-0 2-3 *0-0,1.54,2.37
0-0 2-3 *0-30,1.80,1.94
0-0 2-3 *0-40,2.06,1.71
0-0 2-3 *15-40,1.95,1.78
0-0 2-3 *30-40,1.82,1.91
0-0 2-3 *40-40,1.65,2.14
0-0 2-3 *40-40,1.74,2.01
0-0 2-4 0-0*,2.18,1.63
0-0 2-4 15-0*,1.99,1.76
0-0 2-4 30-0*,1.78,1.96
0-0 2-4 30-15*,1.89,1.83
0-0 2-4 30-30*,2.11,1.67
0-0 2-4 40-30*,1.75,1.99
0-0 3-4 *0-0,1.52,2.42
0-0 3-4 *30-0,1.42,2.72
0-0 3-4 *40-0,1.41,2.77
0-0 4-4 0-0*,1.39,2.86
0-0 4-4 0-15*,1.44,2.65
0-0 4-4 0-30*,1.50,2.49
