Score,P1 Odds,P2 Odds
-,4.60,1.17
0-1 1-1 *30-30,10.00,1.04
0-1 1-1 *40-40,10.00,1.04
0-1 1-1 *A-40,9.50,1.04
0-1 1-1 *40-40,10.00,1.03
0-1 1-1 *A-40,9.50,1.04
0-1 2-1 0-0*,8.00,1.06
0-1 2-1 0-30*,9.50,1.04
0-1 2-2 *0-0,9.50,1.04
0-1 2-2 *15-30,10.00,1.03
0-1 2-2 *30-40,11.00,1.02
0-1 2-3 0-0*,21.00,1.005
0-1 2-3 0-0*,17.00,1.005
0-1 2-3 15-0*,13.00,1.01
0-1 2-3 30-30*,15.00,1.01
0-1 2-4 *0-0,41.00,1.002
0-1 2-4 *0-15,67.00,1.002
0-1 2-4 *15-30,81.00,1.001
0-1 2-4 *30-40,81.00,1.001
0-1 2-4 *40-40,41.00,1.002
0-1 2-5 0-0*,126.00,1.001
0-1 2-5 0-30*,126.00,1.001
0-1 2-5 15-40*,126.00,1.001
0-2 2-6 *0-0,1.001,1.001
