Score,P1 Odds,P2 Odds
-,2.37,1.54
1-0 1-1 30-40*,1.35,3.03
1-0 1-1 40-A*,1.36,2.99
1-0 1-2 *0-0,1.40,2.79
1-0 2-3 *0-0,1.41,2.77
1-0 2-3 *40-0,1.33,3.20
1-0 3-3 0-0*,1.31,3.26
1-0 3-3 0-15*,1.35,3.05
1-0 3-3 0-30*,1.39,2.85
1-0 3-3 15-40*,1.40,2.79
1-0 3-4 *0-0,1.43,2.71
1-0 3-4 *0-15,1.52,2.42
1-0 3-4 *0-30,1.64,2.16
1-0 3-4 *30-30,1.45,2.63
1-0 3-4 *40-30,1.37,2.95
1-0 4-4 0-0*,1.33,3.20
1-0 4-4 15-0*,1.22,3.96
1-0 4-4 15-15*,1.30,3.32
1-0 4-4 15-30*,1.36,2.97
1-0 4-4 30-40*,1.39,2.85
1-0 4-4 40-40*,1.30,3.32
1-0 4-4 40-A*,1.38,2.91
1-0 4-4 40-40*,1.28,3.45
1-0 4-5 *0-0,1.46,2.59
1-0 5-5 0-0*,1.30,3.31
1-0 5-5 15-0*,1.22,4.00
1-0 5-5 30-0*,1.15,5.00
1-0 5-5 40-0*,1.08,7.00
1-0 5-5 40-15*,1.11,6.00
1-0 6-5 *0-0,1.04,9.50
1-0 6-5 *15-0,1.02,12.00
1-0 6-5 *40-0,1.001,101.00
2-0 7-5 0-0*,1.001,1.001
