Score,P1 Odds,P2 Odds
-,1.22,4.00
Score,P1 Odds,P2 Odds
-,1.22,4.00
-,1.25,3.70
Score,P1 Odds,P2 Odds
-,1.25,3.70
0-0 0-0 *0-30,1.34,3.09
0-0 0-0 *15-30,1.30,3.32
0-0 0-0 *30-30,1.28,3.45
0-0 0-0 *40-30,1.22,4.00
0-0 0-0 *A-40,1.22,4.00
0-0 1-0 0-0*,1.20,4.25
0-0 1-0 0-15*,1.22,4.00
0-0 1-0 30-15*,1.17,4.65
0-0 1-0 40-15*,1.13,5.40
0-0 1-0 40-40*,1.17,4.60
0-0 1-0 40-40*,1.20,4.25
0-0 1-0 40-A*,1.22,4.00
0-0 1-1 *15-0,1.25,3.80
0-0 1-1 *30-0,1.22,4.00
0-0 2-1 0-0*,1.20,4.25
0-0 2-1 0-15*,1.22,4.00
0-0 2-1 30-15*,1.17,4.65
0-0 2-1 30-30*,1.20,4.25
0-0 2-1 30-40*,1.22,4.00
0-0 2-1 40-40*,1.17,4.60
0-0 2-1 40-A*,1.11,5.90
0-0 2-1 A-40*,1.06,7.75
0-0 3-1 *0-0,1.04,10.00
0-0 3-1 *15-0,1.03,10.00
0-0 3-1 *30-15,1.03,10.00
0-0 3-1 *40-15,1.03,10.00
0-0 4-1 0-0*,1.02,11.00
0-0 4-1 0-40*,1.03,10.00
0-0 4-2 *0-0,1.03,10.00
0-0 4-2 *30-0,1.02,11.00
0-0 4-2 *30-15,1.03,10.00
0-0 4-2 *30-30,1.04,9.50
0-0 4-3 0-0*,1.10,6.00
0-0 4-3 0-15*,1.11,5.90
0-0 4-3 15-15*,1.10,6.00
0-0 4-3 30-15*,1.06,7.50
0-0 4-3 30-30*,1.10,6.00
0-0 4-3 30-40*,1.13,5.40
0-0 4-3 40-40*,1.13,6.50
0-0 4-3 40-A*,1.14,5.20
0-0 4-3 40-15*,1.20,4.25
0-0 4-3 30-15*,1.13,5.40
0-0 4-3 40-15*,1.11,6.00
0-0 5-3 0-0*,1.11,5.90
0-0 5-3 0-0*,1.14,5.20
0-0 5-4 15-0*,1.14,5.20
0-0 5-4 15-15*,1.14,5.20
0-0 5-4 30-15*,1.10,6.00
0-0 5-4 30-40*,1.17,4.60
0-0 5-5 *0-0,1.22,4.00
0-0 5-5 *15-15,1.22,4.00
0-0 5-5 *30-15,1.20,4.25
0-0 5-5 *40-15,1.17,4.65
0-0 5-5 *40-15,1.20,4.25
0-0 5-5 *15-15,1.15,5.00
0-0 5-5 *15-30,1.20,4.25
0-0 5-5 *30-30,1.14,5.20
0-0 6-5 30-40*,1.20,4.25
0-0 6-6 0-1*,1.37,2.94
0-0 6-6 1-1*,1.25,3.70
0-0 6-6 *2-2,1.28,3.45
0-0 6-6 3-3*,1.28,3.45
0-0 6-6 *3-4,1.38,2.91
0-0 6-6 *3-4,1.65,2.16
0-0 6-6 4-4*,1.53,2.39
0-0 6-6 4-6*,1.70,2.07
0-0 6-6 *5-6,1.52,2.41
0-1 6-7 0-0*,1.59,2.26
0-1 0-0 0-0*,1.59,2.26
0-1 0-0 0-0*,1.68,2.10
0-1 0-0 0-15*,1.74,2.01
0-1 0-0 15-15*,1.67,2.12
0-1 0-0 15-30*,1.75,2.00
0-1 0-0 30-30*,1.66,2.14
0-1 0-0 40-40*,1.63,2.19
0-1 0-0 40-A*,1.75,2.00
0-1 0-1 *0-0,1.84,1.89
0-1 0-1 *15-0,1.78,1.96
0-1 0-1 *30-15,1.79,1.95
0-1 1-1 0-0*,1.74,2.04
0-1 1-1 0-0*,1.72,2.04
0-1 1-1 0-30*,1.85,1.88
0-1 1-1 15-30*,1.78,1.96
0-1 1-1 30-40*,1.81,1.92
0-1 1-1 40-40*,1.81,1.92
0-1 1-1 40-40*,1.65,2.14
0-1 1-1 A-40*,1.51,2.44
0-1 2-1 *0-0,1.36,2.98
0-1 2-1 *30-0,1.31,3.22
0-1 2-1 *40-15,1.31,3.24
0-1 3-1 0-0*,1.30,3.30
0-1 3-1 0-0*,1.33,3.16
0-1 3-1 30-30*,1.30,3.32
0-1 3-1 40-30*,1.28,3.45
0-1 4-1 *0-0,1.22,4.00
0-1 4-1 *0-15,1.22,4.00
0-1 4-1 *15-15,1.22,4.00
0-1 4-1 *30-15,1.22,4.00
0-1 5-2 *0-0,1.22,3.98
