Score,P1 Odds,P2 Odds
-,1.31,3.25
0-0 0-0 *40-30,1.25,3.70
0-0 1-0 0-0*,1.22,4.00
0-0 1-0 0-30*,1.28,3.45
0-0 1-0 15-30*,1.25,3.70
0-0 1-0 15-40*,1.28,3.45
0-0 1-0 30-40*,1.25,3.70
0-0 1-1 *0-15,1.34,3.11
0-0 1-1 *0-30,1.42,2.74
0-0 1-1 *0-40,1.52,2.42
0-0 1-2 0-0*,1.59,2.25
0-0 1-2 0-40*,1.77,1.97
0-0 1-3 *15-0,1.75,1.99
0-0 1-3 *15-30,1.91,1.82
0-0 1-3 *30-40,1.98,1.77
0-0 1-3 *40-40,1.82,1.91
0-0 1-3 *A-40,1.69,2.09
0-0 1-3 *15-40,1.57,2.30
0-0 1-3 *30-40,1.45,2.62
0-0 3-3 *0-40,1.30,3.32
0-0 3-3 *15-40,1.25,3.66
0-0 3-3 *40-0,1.22,4.00
0-0 4-3 0-0*,1.22,4.00
0-0 4-3 0-0*,1.20,4.10
0-0 4-3 0-15*,1.25,3.78
0-0 4-3 30-15*,1.17,4.65
0-0 4-3 40-30*,1.14,5.20
0-0 5-3 *0-15,1.10,6.00
0-0 5-3 *15-15,1.10,6.00
0-0 5-3 *30-15,1.06,7.75
0-0 5-3 *40-30,1.06,8.00
1-0 6-3 0-0*,1.05,8.50
1-0 6-3 0-0*,1.06,7.50
1-0 0-0 15-15*,1.06,7.50
1-0 0-1 *0-0,1.11,6.00
1-0 0-1 *15-0,1.05,8.50
1-0 0-1 *30-0,1.05,8.50
1-0 0-1 *30-15,1.06,8.00
1-0 0-1 *30-40,1.11,6.00
1-0 0-1 *40-40,1.06,7.50
1-0 0-1 *A-40,1.05,8.50
1-0 0-1 *40-A,1.10,6.00
1-0 0-1 *40-A,1.11,6.00
1-0 0-2 0-0*,1.17,4.65
1-0 0-2 15-30*,1.25,3.70
1-0 0-2 30-40*,1.25,3.69
1-0 0-2 A-40*,1.17,4.65
1-0 0-2 40-40*,1.20,4.20
1-0 0-2 A-40*,1.17,4.65
1-0 1-2 *0-0,1.13,5.50
1-0 1-2 *15-15,1.13,5.40
1-0 1-2 *30-15,1.11,6.00
1-0 1-2 *30-30,1.13,5.40
1-0 1-2 *40-30,1.10,6.00
1-0 2-2 0-0*,1.08,6.50
1-0 2-2 0-30*,1.11,5.90
1-0 2-3 *0-0,1.13,5.40
1-0 2-3 *15-0,1.12,5.70
1-0 2-3 *40-0,1.10,6.00
1-0 3-3 15-0*,1.06,7.50
1-0 3-3 15-30*,1.11,6.00
1-0 3-3 30-30*,1.13,5.50
1-0 3-3 40-30*,1.08,6.50
1-0 3-3 A-30*,1.04,9.50
1-0 3-3 40-40*,1.08,6.50
1-0 4-3 *0-0,1.02,12.00
1-0 4-3 *15-0,1.02,12.00
1-0 4-3 *15-30,1.04,9.50
1-0 4-3 *40-30,1.01,15.00
1-0 4-3 *A-40,1.01,15.00
1-0 5-3 0-0*,1.002,34.00
1-0 5-3 0-40*,1.005,17.00
1-0 5-4 *0-0,1.01,15.00
1-0 5-4 *30-0,1.001,81.00
2-0 6-4 0-0*,1.001,1.001
