Score,P1 Odds,P2 Odds
-,2.18,1.63
0-0 0-0 *15-40,2.50,1.49
0-0 0-1 0-0*,2.92,1.37
0-0 0-1 0-15*,3.12,1.33
0-0 0-1 0-30*,3.30,1.30
0-0 0-1 15-30*,3.10,1.34
0-0 0-1 15-40*,3.33,1.30
0-0 0-2 *0-0,3.45,1.28
0-0 0-2 *0-15,3.75,1.25
0-0 0-2 *0-30,4.05,1.22
0-0 0-2 *15-30,3.98,1.22
0-0 0-2 *15-30,4.25,1.20
0-0 0-3 0-0*,4.65,1.17
0-0 0-3 0-0*,4.60,1.17
0-0 0-3 0-15*,4.65,1.17
0-0 0-3 0-30*,5.20,1.14
0-0 0-3 15-30*,4.65,1.17
0-0 0-3 15-30*,4.65,1.11
0-0 0-3 15-40*,6.00,1.11
0-0 0-4 *0-0,6.00,1.10
0-0 0-4 *15-0,6.00,1.11
0-0 0-4 *15-15,6.00,1.10
0-0 0-4 *30-15,6.00,1.11
0-0 0-4 *30-30,6.00,1.10
0-0 0-4 *30-40,6.00,1.10
0-0 0-5 0-0*,6.50,1.08
0-0 0-5 0-0*,10.00,1.03
0-0 0-5 0-15*,10.00,1.03
0-0 0-5 0-30*,10.00,1.03
0-0 0-5 0-40*,10.00,1.03
0-0 0-5 15-40*,13.00,1.01
0-1 0-6 *0-0,13.00,1.01
0-1 0-0 *0-0,13.00,1.01
0-1 0-0 *15-0,12.00,1.02
0-1 0-0 *15-15,13.00,1.01
0-1 0-0 *15-30,15.00,1.01
0-1 0-0 *15-40,34.00,1.005
0-1 0-1 0-0*,34.00,1.002
0-1 0-1 15-0*,21.00,1.005
0-1 0-1 15-15*,34.00,1.002
0-1 0-1 15-15*,21.00,1.005
0-1 0-1 30-30*,34.00,1.004
0-1 0-1 30-40*,41.00,1.002
0-1 0-2 *0-0,67.00,1.002
0-1 0-2 *0-15,81.00,1.001
0-1 0-2 *0-30,101.00,1.001
0-1 0-2 *0-40,101.00,1.001
0-1 0-3 0-0*,101.00,1.001
