Score,P1 Odds,P2 Odds
-,1.50,2.47
Score,P1 Odds,P2 Odds
-,1.50,2.47
0-0 0-0 30-15*,1.41,2.75
0-0 1-0 *0-0,1.30,3.30
0-0 1-0 *15-0,1.30,3.45
0-0 1-0 *15-15,1.31,3.28
0-0 1-0 *40-15,1.25,3.78
0-0 1-0 *40-30,1.28,3.45
0-0 2-0 0-0*,1.22,4.00
0-0 2-0 0-15*,1.25,3.70
0-0 2-0 0-30*,1.28,3.45
0-0 2-0 0-40*,1.30,3.32
0-0 2-1 *0-0,1.30,3.32
0-0 2-1 *15-0,1.28,3.45
0-0 2-1 *30-0,1.25,3.70
0-0 2-1 *40-0,1.22,4.00
0-0 3-1 0-0*,1.22,4.00
0-0 3-1 15-0*,1.20,4.30
0-0 3-1 30-0*,1.17,4.65
0-0 3-1 30-15*,1.22,4.00
0-0 3-1 40-15*,1.17,4.65
0-0 4-1 *0-0,1.14,5.20
0-0 4-1 *15-0,1.13,5.40
0-0 4-1 *15-15,1.14,5.20
0-0 4-1 *40-15,1.12,5.70
0-0 5-1 0-0*,1.11,6.00
0-0 5-1 0-15*,1.12,5.70
0-0 5-1 15-30*,1.12,5.70
0-0 5-1 30-30*,1.11,6.00
0-0 5-1 30-40*,1.13,5.50
0-0 5-2 *0-0,1.13,5.40
0-0 5-2 *0-15,1.14,5.20
0-0 5-2 *0-30,1.14,5.20
0-0 5-2 *15-30,1.14,5.20
1-0 0-1 *0-0,1.17,4.65
1-0 0-1 *15-0,1.14,5.20
1-0 0-1 *15-30,1.20,4.25
1-0 0-1 *30-30,1.17,4.65
1-0 1-1 0-0*,1.13,5.40
1-0 1-1 0-15*,1.14,5.20
1-0 1-1 0-30*,1.17,4.65
1-0 1-1 15-30*,1.14,5.20
1-0 1-1 30-30*,1.12,5.70
1-0 1-1 40-40*,1.12,5.70
1-0 2-1 *0-0,1.06,8.00
1-0 2-1 *0-15,1.08,6.50
1-0 2-1 *15-15,1.06,7.75
1-0 2-1 *30-15,1.05,8.50
1-0 2-1 *30-30,1.06,7.50
1-0 3-1 0-0*,1.03,10.00
1-0 3-1 15-0*,1.02,12.00
1-0 3-1 15-15*,1.03,10.00
1-0 3-1 30-15*,1.02,12.00
1-0 3-1 30-30*,1.03,10.00
1-0 3-1 30-40*,1.04,9.50
1-0 3-2 *0-0,1.06,8.00
1-0 4-3 *0-0,1.05,8.50
1-0 4-3 *0-30,1.11,6.00
1-0 4-3 *30-30,1.05,8.50
1-0 4-3 *40-30,1.03,10.00
1-0 5-3 15-0*,1.005,17.00
1-0 5-3 15-30*,1.02,12.00
1-0 5-4 *0-0,1.03,10.00
1-0 5-4 *0-15,1.06,8.00
1-0 5-4 *0-30,1.11,6.00
1-0 5-5 0-0*,1.17,4.65
1-0 5-5 15-0*,1.13,5.40
1-0 5-5 15-30*,1.17,4.65
1-0 5-5 40-40*,1.17,4.65
1-0 5-6 *0-0,1.31,3.27
1-0 5-6 *0-15,1.40,2.79
1-0 5-6 *0-30,1.51,2.44
1-0 5-6 *0-40,1.48,2.52
1-1 5-7 0-0*,1.74,2.01
1-1 5-7 1-2*,2.10,1.68
1-1 5-7 *2-3,2.03,1.73
1-1 0-0 *2-4,2.76,1.41
1-1 0-0 3-4*,2.21,1.61
1-1 0-0 *5-4,1.38,2.87
1-1 0-0 5-6*,2.42,1.52
1-1 0-0 5-7*,3.45,1.28
1-1 0-0 *5-8,5.90,1.11
1-1 0-0 *5-9,9.50,1.04
1-1 0-0 *7-9,5.50,1.13
1-1 0-0 *7-10,1.001,1.001
