Score,P1 Odds,P2 Odds
-,1.69,2.09
0-0 1-0 15-30*,1.58,2.29
0-0 1-0 30-30*,1.51,2.45
0-0 1-0 40-40*,1.50,2.47
0-0 1-0 A-40*,1.40,2.79
0-0 2-0 *0-0,1.31,3.28
0-0 2-0 *15-0,1.28,3.45
0-0 2-0 *30-0,1.25,3.70
0-0 2-0 *40-0,1.25,3.78
0-0 3-0 0-0*,1.20,4.25
0-0 3-0 0-15*,1.22,4.00
0-0 3-0 0-30*,1.22,3.98
0-0 3-0 0-40*,1.25,3.70
0-0 3-1 *0-0,1.25,3.70
0-0 3-1 *15-0,1.22,4.00
0-0 3-1 *30-0,1.20,4.20
0-0 3-1 *30-15,1.22,4.00
0-0 3-1 *30-30,1.28,3.45
0-0 3-1 *40-30,1.22,4.00
0-0 4-1 0-0*,1.20,4.25
0-0 4-1 30-15*,1.17,4.65
0-0 4-1 30-30*,1.20,4.30
0-0 4-1 40-15*,1.14,5.20
0-0 5-1 *0-0,1.14,5.20
0-0 5-1 *0-15,1.14,5.20
0-0 5-1 *15-15,1.14,5.20
0-0 5-1 *30-30,1.13,5.40
0-0 5-1 *30-30,1.14,5.20
0-0 5-1 *40-30,1.13,5.40
1-0 6-1 0-0*,1.13,5.40
1-0 6-1 0-15*,1.13,5.20
1-0 6-1 0-30*,1.14,5.20
1-0 0-0 0-30*,1.14,5.20
1-0 0-0 15-30*,1.14,5.20
1-0 0-0 30-30*,1.13,5.40
1-0 0-1 *0-0,1.15,5.00
1-0 0-1 *15-0,1.14,5.20
1-0 0-1 *15-15,1.17,4.65
1-0 0-1 *30-15,1.14,5.20
1-0 0-1 *30-30,1.17,4.65
1-0 0-1 *40-15,1.13,5.40
1-0 1-1 0-15*,1.13,5.40
1-0 1-1 0-30*,1.14,5.20
1-0 1-1 0-40*,1.17,4.65
1-0 1-2 *0-0,1.17,4.65
1-0 1-2 *0-15,1.20,4.25
1-0 1-2 *0-0,1.20,4.25
1-0 1-2 *0-30,1.25,3.70
1-0 1-2 *0-40,1.30,3.32
1-0 1-3 0-0*,1.33,3.14
1-0 1-3 0-15*,1.36,2.97
1-0 1-3 0-30*,1.40,2.80
1-0 1-3 0-40*,1.43,2.71
1-0 1-4 *0-0,1.44,2.66
1-0 1-4 *15-0,1.42,2.74
1-0 1-4 *30-0,1.40,2.81
1-0 1-4 *30-0,1.40,2.80
1-0 1-4 *40-0,1.39,2.86
1-0 1-4 *40-15,1.40,2.82
1-0 1-4 *40-30,1.41,2.75
1-0 2-4 0-0*,1.38,2.89
1-0 2-4 0-0*,1.33,3.14
1-0 2-4 30-0*,1.28,3.45
1-0 2-4 40-15*,1.25,3.70
1-0 2-4 40-30*,1.30,3.32
1-0 3-4 *0-0,1.22,4.05
1-0 3-4 *15-15,1.22,4.00
1-0 3-4 *40-15,1.15,5.00
1-0 4-4 0-0*,1.14,5.20
1-0 4-4 15-0*,1.11,6.00
1-0 4-4 15-15*,1.14,5.20
1-0 4-4 30-15*,1.10,6.00
1-0 4-4 30-30*,1.14,5.20
1-0 4-4 30-40*,1.17,4.60
1-0 4-5 *0-0,1.25,3.78
1-0 4-5 *0-0,1.17,4.60
1-0 4-5 *0-15,1.25,3.75
1-0 4-5 *0-30,1.33,3.14
1-0 4-5 *0-40,1.43,2.70
1-0 4-5 *15-40,1.38,2.89
1-1 4-6 0-0*,1.50,2.47
1-1 4-6 0-0*,1.63,2.19
1-1 0-0 0-0*,1.63,2.19
1-1 0-0 0-15*,1.72,2.04
1-1 0-0 0-30*,1.84,1.90
1-1 0-0 15-30*,1.73,2.02
1-1 0-0 30-30*,1.58,2.27
1-1 0-0 40-30*,1.40,2.81
1-1 0-0 40-40*,1.57,2.31
1-1 0-0 40-A*,1.76,1.99
1-1 0-1 *0-0,1.94,1.80
1-1 0-1 *15-0,1.82,1.91
1-1 0-1 *15-15,1.99,1.76
1-1 0-1 *30-30,1.99,1.76
1-1 0-1 *40-30,1.77,1.97
1-1 0-1 *40-30,1.79,1.95
1-1 0-1 *40-40,2.06,1.95
1-1 0-1 *40-A,2.47,1.50
1-1 0-1 *40-A,3.32,1.30
1-1 0-1 *15-A,2.90,1.38
1-1 0-1 *15-15,3.32,1.30
1-1 0-1 *15-30,4.00,1.22
1-1 0-1 *30-30,3.27,1.31
1-1 0-1 *30-40,4.00,1.22
1-1 0-3 *0-0,5.20,1.14
1-1 0-3 *15-0,4.60,1.17
1-1 0-3 *30-0,4.25,1.20
1-1 0-3 *30-15,4.60,1.17
1-1 0-3 *40-15,4.00,1.22
1-1 0-3 *40-30,4.50,1.17
1-1 0-3 *40-40,5.20,1.14
1-1 0-3 *40-40,6.50,1.08
1-1 0-4 0-0*,10.00,1.03
1-1 0-4 0-15*,12.00,1.02
1-1 0-4 0-30*,14.00,1.01
1-1 0-4 15-30*,10.00,1.03
1-1 0-4 30-30*,8.00,1.06
1-1 0-4 40-30*,6.00,1.11
1-1 1-4 *0-0,4.65,1.17
1-1 1-4 *0-15,4.65,1.17
1-1 1-4 *0-15,5.40,1.13
1-1 1-4 *0-30,6.50,1.08
1-1 1-4 *15-30,5.50,1.13
1-1 1-4 *15-30,5.90,1.11
1-1 1-4 *15-40,8.50,1.05
1-1 1-5 0-0*,12.00,1.02
1-1 1-5 0-15*,14.00,1.01
1-1 1-5 0-30*,41.00,1.002
1-2 1-6 0-0*,1.001,1.001
