Score,P1 Odds,P2 Odds
-,1.41,2.77
0-0 0-0 0-15*,1.45,2.62
0-0 0-0 0-30*,1.48,2.53
0-0 0-0 0-40*,1.50,2.47
0-0 0-0 15-40*,1.48,2.52
0-0 0-1 *0-0,1.51,2.44
0-0 0-1 *0-15,1.59,2.27
0-0 0-1 *0-15,1.61,2.23
0-0 0-1 *0-30,1.74,2.01
0-0 0-1 *0-40,1.89,1.84
0-0 0-1 *0-40,1.91,1.82
0-0 0-1 *15-40,1.85,1.88
0-0 0-1 *30-40,1.72,2.04
0-0 0-1 *30-40,1.76,1.98
0-0 0-2 0-0*,2.03,1.73
0-0 0-2 0-15*,2.12,1.67
0-0 0-2 15-15*,2.01,1.74
0-0 0-2 15-15*,1.99,1.75
0-0 0-2 15-15*,1.82,1.91
0-0 0-2 15-30*,1.95,1.79
0-0 0-2 15-40*,2.14,1.66
0-0 0-3 *0-0,2.28,1.58
0-0 0-3 *0-0,2.30,1.57
0-0 0-3 *15-0,2.24,1.60
0-0 0-3 *30-0,2.18,1.63
0-0 0-3 *30-15,2.23,1.61
0-0 0-3 *30-15,2.25,1.60
0-0 0-3 *40-15,2.19,1.63
0-0 1-3 0-0*,2.15,1.65
0-0 1-3 0-0*,2.19,1.63
0-0 1-3 15-15*,2.15,1.65
0-0 1-3 15-30*,2.25,1.59
0-0 1-3 30-30*,2.10,1.68
0-0 1-3 30-30*,2.06,1.71
0-0 1-3 40-30*,1.78,1.95
0-0 1-3 40-40*,1.95,1.79
0-0 1-4 *0-0,2.46,1.50
0-0 1-4 *15-0,2.40,1.53
0-0 1-4 *15-15,2.47,1.50
0-0 1-4 *30-15,2.40,1.53
0-0 1-4 *30-15,2.42,1.52
0-0 1-4 *40-15,2.37,1.54
0-0 2-4 0-0*,2.33,1.56
0-0 2-4 0-15*,2.46,1.50
0-0 2-4 15-15*,2.46,1.58
0-0 2-4 15-15*,2.28,1.58
0-0 2-4 15-30*,2.44,1.51
0-0 2-4 15-30*,2.41,1.52
0-0 2-4 15-40*,2.57,1.47
0-0 2-4 30-40*,2.45,1.51
0-0 2-4 30-40*,2.40,1.53
0-0 2-4 40-40*,2.04,1.72
0-0 2-5 *0-0,2.67,1.44
0-0 2-5 *15-0,2.62,1.45
0-0 2-5 *30-0,2.58,1.46
0-0 2-5 *40-0,2.55,1.47
0-0 3-5 0-0*,2.54,1.48
0-0 3-5 0-15*,2.72,1.42
0-0 3-5 15-15*,2.47,1.50
0-0 3-5 15-30*,2.70,1.43
0-0 3-5 30-30*,2.40,1.53
0-0 3-5 30-40*,2.71,1.43
0-1 3-6 *0-0,3.00,1.36
0-1 0-0 *0-0,3.00,1.36
0-1 0-0 *15-0,2.87,1.38
0-1 0-0 *30-0,2.87,1.41
0-1 0-0 *30-0,2.78,1.41
0-1 0-0 *40-0,2.72,1.42
0-1 0-0 *40-15,2.79,1.40
0-1 1-0 0-0*,2.71,1.43
0-1 1-0 0-0*,2.67,1.44
0-1 1-0 15-0*,2.47,1.50
0-1 1-0 15-30*,2.61,1.40
0-1 1-0 15-30*,2.80,1.40
0-1 1-0 30-40*,2.91,1.41
0-1 1-0 30-40*,2.75,1.41
0-1 1-0 40-40*,2.50,1.49
0-1 1-0 40-40*,2.41,1.52
0-1 2-0 *0-0,2.04,1.72
0-1 2-0 *15-0,1.98,1.76
0-1 2-0 *15-15,2.09,1.69
0-1 2-0 *30-15,1.98,1.76
0-1 2-0 *40-15,1.93,1.81
0-1 2-0 *40-15,1.94,1.80
0-1 2-0 *40-30,1.90,1.83
0-1 3-0 0-0*,1.80,1.93
0-1 3-0 15-0*,1.76,1.98
0-1 3-0 15-15*,1.79,1.94
0-1 3-0 15-30*,1.82,1.91
0-1 3-0 15-40*,1.85,1.88
0-1 3-1 *0-0,1.87,1.87
0-1 3-1 *15-0,1.82,1.91
0-1 3-1 *15-15,1.89,1.83
0-1 3-1 *15-30,2.04,1.72
0-1 3-1 *40-30,1.83,1.89
0-1 4-1 0-0*,1.77,1.97
0-1 4-1 0-15*,1.79,1.95
0-1 4-1 15-15*,1.76,1.98
0-1 4-1 30-15*,1.71,2.05
0-1 4-1 40-15*,1.67,2.12
0-1 4-1 40-30*,1.68,2.10
0-1 5-1 *0-0,1.63,2.19
0-1 5-1 *15-0,1.61,2.21
0-1 5-1 *15-0,1.63,2.19
0-1 5-1 *40-0,1.59,2.25
1-1 6-1 0-0*,1.55,2.35
1-1 6-1 *0-2,2.35,1.55
1-1 6-1 1-2*,2.04,1.72
1-1 6-1 1-3*,2.45,1.51
1-1 0-0 1-3*,2.45,1.51
1-1 0-0 *1-4,3.09,1.34
1-1 0-0 *2-4,2.59,1.46
1-1 0-0 *2-4,2.92,1.37
1-1 0-0 2-5*,4.65,1.17
1-1 0-0 2-6*,6.00,1.10
1-1 0-0 *2-7,9.50,1.04
1-1 0-0 *3-7,7.75,1.06
1-1 0-0 4-7*,6.00,1.10
1-1 0-0 5-7*,3.70,1.25
1-1 0-0 *5-8,5.50,1.13
