Score,P1 Odds,P2 Odds
-,1.71,2.05
0-0 0-0 0-15*,1.78,1.96
0-0 0-0 15-15*,1.70,2.07
0-0 0-0 15-40*,1.88,1.85
0-0 0-0 30-40*,1.81,1.93
0-0 0-0 40-40*,1.70,2.07
0-0 0-0 40-A*,1.81,1.92
0-0 0-1 *0-0,1.93,1.80
0-0 0-1 *15-15,1.93,1.80
0-0 0-1 *30-30,1.96,1.78
0-0 0-1 *30-40,2.17,1.64
0-0 0-2 0-0*,2.47,1.50
0-0 0-2 30-0*,2.17,1.64
0-0 0-2 30-15*,2.27,1.58
0-0 0-2 40-15*,2.10,1.68
0-0 1-2 *0-0,1.97,1.77
0-0 1-2 *0-0,1.98,1.77
0-0 1-2 *0-15,2.11,1.67
0-0 1-2 *30-15,1.86,1.87
0-0 1-2 *30-40,2.21,1.61
0-0 1-2 *40-40,2.00,1.75
0-0 1-2 *40-A,2.23,1.61
0-0 1-3 0-0*,2.57,1.47
0-0 1-3 15-0*,2.39,1.53
0-0 1-3 30-15*,2.36,1.54
0-0 1-3 30-30*,2.56,1.47
0-0 1-3 30-40*,2.84,1.39
0-0 1-3 40-40*,2.56,1.47
0-0 1-3 40-A*,2.84,1.39
0-0 1-4 *0-0,3.13,1.33
0-0 1-4 *0-15,3.33,1.30
0-0 1-4 *15-30,3.32,1.30
0-0 1-4 *15-40,3.45,1.28
0-0 1-5 15-0*,3.70,1.25
0-0 1-5 30-0*,3.45,1.28
0-0 1-5 40-0*,3.45,1.28
0-0 1-5 40-30*,3.50,1.28
0-0 2-5 *0-0,3.35,1.30
0-0 2-5 *15-0,3.40,1.30
0-0 2-5 *15-30,3.66,1.25
0-0 2-5 *30-30,3.40,1.28
0-1 2-6 0-0*,4.00,1.22
0-1 2-6 15-0*,3.70,1.25
0-1 2-6 15-15*,4.00,1.22
0-1 0-0 15-15*,4.00,1.22
0-1 0-0 15-40*,4.80,1.15
0-1 0-0 30-40*,4.60,1.17
0-1 0-1 *0-0,5.20,1.14
0-1 0-1 *15-0,4.65,1.17
0-1 0-1 *30-0,4.50,1.17
0-1 0-1 *40-0,4.20,1.20
0-1 0-1 *40-30,4.60,1.17
0-1 1-1 0-0*,4.00,1.22
0-1 1-1 0-15*,4.60,1.17
0-1 1-1 0-30*,4.65,1.17
0-1 1-1 15-30*,4.60,1.17
0-1 1-1 15-40*,5.00,1.15
0-1 1-2 *0-0,5.20,1.14
0-1 1-2 *15-0,4.65,1.17
0-1 1-2 *15-0,5.20,1.14
0-1 1-2 *15-30,6.00,1.11
0-1 1-2 *30-40,6.00,1.10
0-1 1-3 0-0*,8.50,1.05
0-1 1-3 15-0*,7.50,1.06
0-1 1-3 15-15*,8.50,1.05
0-1 1-3 15-40*,12.00,1.02
0-1 1-3 15-15*,12.00,1.01
0-1 1-3 30-15*,11.00,1.02
0-1 1-3 40-30*,11.00,1.02
0-1 2-3 0-0*,9.50,1.04
0-1 2-3 0-15*,11.00,1.02
0-1 2-4 0-15*,11.00,1.02
0-1 2-4 15-30*,11.00,1.02
0-1 2-4 15-40*,13.00,1.01
0-1 2-5 *0-0,17.00,1.005
0-1 2-5 *0-15,34.00,1.002
0-1 2-5 *15-15,17.00,1.005
0-1 2-5 *15-40,81.00,1.001
0-2 2-6 0-0*,1.001,1.001
