Score,P1 Odds,P2 Odds
-,2.40,1.53
0-0 0-1 *30-30,2.89,1.38
0-0 0-1 *30-40,3.28,1.31
0-0 0-2 0-0*,3.96,1.22
0-0 0-2 0-15*,4.00,1.22
0-0 0-2 15-30*,4.05,1.22
0-0 0-2 15-40*,4.30,1.20
0-0 0-3 *0-0,4.60,1.17
0-0 1-4 *0-0,4.65,1.17
0-0 1-4 *15-0,4.60,1.17
0-0 1-4 *15-15,4.65,1.17
0-0 1-4 *30-15,4.60,1.17
0-0 1-4 *40-15,4.25,1.20
0-0 2-4 0-0*,4.25,1.20
0-0 2-4 0-15*,4.25,1.17
0-0 2-4 0-15*,4.60,1.17
0-0 2-4 15-15*,4.00,1.22
0-0 2-4 15-30*,4.60,1.17
0-0 2-4 30-30*,4.00,1.22
0-0 2-4 30-40*,4.60,1.17
0-0 2-4 30-40*,3.70,1.25
0-0 2-5 *0-0,5.20,1.14
0-1 1-0 15-30*,4.25,1.20
0-1 1-0 15-40*,5.20,1.14
0-1 1-0 30-40*,4.65,1.17
0-1 1-0 40-40*,4.00,1.22
0-1 1-1 *0-0,5.20,1.14
0-1 1-1 *0-15,5.90,1.11
0-1 1-1 *0-30,6.50,1.09
0-1 1-1 *15-30,6.00,1.11
0-1 1-1 *30-30,5.20,1.14
0-1 1-1 *40-30,4.65,1.17
0-1 1-1 *40-40,5.40,1.13
0-1 2-1 0-0*,4.25,1.20
0-1 2-1 0-30*,4.65,1.17
0-1 2-1 15-30*,4.60,1.17
0-1 2-2 *0-0,4.80,1.16
0-1 2-2 *0-0,5.20,1.14
0-1 2-2 *15-0,4.65,1.17
0-1 2-2 *15-15,5.20,1.14
0-1 2-2 *15-30,6.00,1.11
0-1 2-2 *15-30,5.20,1.14
0-1 2-2 *30-30,5.20,1.14
0-1 2-2 *40-30,4.60,1.17
0-1 3-2 0-0*,4.05,1.22
0-1 3-2 0-15*,4.50,1.17
0-1 3-2 15-30*,4.25,1.20
0-1 3-3 *0-0,5.00,1.15
0-1 3-3 *15-15,5.20,1.14
0-1 3-3 *30-15,4.60,1.17
0-1 3-3 *30-30,5.20,1.14
0-1 3-3 *30-40,6.00,1.10
0-1 3-3 *40-40,5.40,1.13
0-1 4-3 0-0*,3.90,1.23
1-1 0-0 0-0*,2.06,1.71
1-1 0-0 *0-1,2.45,1.51
1-1 0-0 *0-2,3.33,1.30
1-1 0-0 1-2*,2.69,1.43
1-1 0-0 1-3*,3.32,1.30
1-1 0-0 *1-4,4.60,1.17
1-1 0-0 *2-4,3.45,1.28
1-1 0-0 3-4*,2.78,1.41
