Score,P1 Odds,P2 Odds
-,2.18,1.63
Score,P1 Odds,P2 Odds
-,2.18,1.63
Score,P1 Odds,P2 Odds
-,2.18,1.63
0-0 0-0 *0-15,2.58,1.46
0-0 0-0 *0-30,2.93,1.37
0-0 0-0 *0-40,3.32,1.30
0-0 0-1 0-0*,3.50,1.28
0-0 0-1 15-0*,3.32,1.30
0-0 0-1 15-0*,3.45,1.28
0-0 0-1 15-30*,3.70,1.25
0-0 0-1 15-40*,4.00,1.22
0-0 0-2 *0-0,4.10,1.22
0-0 0-2 *15-0,4.00,1.22
0-0 0-2 *30-0,3.75,1.25
0-0 0-2 *40-0,3.70,1.25
0-0 1-2 0-0*,3.69,1.25
0-0 1-2 0-30*,4.00,1.22
0-0 1-2 15-30*,3.92,1.23
0-0 1-2 30-30*,3.45,1.28
0-0 1-2 30-40*,4.00,1.22
0-0 1-2 40-40*,3.45,1.28
0-0 1-2 40-A*,3.45,1.22
0-0 1-2 40-A*,3.98,1.22
0-0 1-3 *0-0,4.20,1.20
0-0 1-3 *15-0,4.00,1.22
0-0 1-3 *15-0,4.25,1.20
0-0 1-3 *30-15,4.00,1.22
0-0 1-3 *40-15,3.80,1.25
0-0 2-3 0-0*,3.70,1.25
0-0 2-3 15-0*,3.32,1.30
0-0 2-3 15-15*,3.45,1.28
0-0 2-3 15-30*,4.00,1.22
0-0 2-4 *0-0,4.25,1.20
0-0 2-4 *30-0,4.00,1.22
0-0 2-4 *30-15,4.25,1.20
0-0 2-4 *40-15,4.00,1.22
0-0 2-4 *40-30,4.25,1.20
0-0 3-4 0-0*,4.00,1.22
0-0 3-4 0-30*,4.60,1.17
0-0 3-4 15-30*,4.25,1.20
0-0 3-4 30-30*,3.80,1.25
0-0 3-4 30-40*,4.25,1.20
0-0 3-4 40-40*,3.45,1.28
0-0 3-4 A-40*,2.92,1.37
0-0 3-4 40-40*,3.45,1.28
0-0 3-4 A-40*,3.45,1.28
0-0 3-4 40-A*,4.25,1.20
0-0 3-5 *0-0,4.65,1.17
0-0 3-5 *15-0,4.60,1.17
0-0 3-5 *30-0,4.60,1.17
0-0 3-5 *40-0,4.30,1.20
0-0 4-5 0-0*,4.25,1.20
0-0 4-5 0-30*,5.20,1.14
