Score,P1 Odds,P2 Odds
-,1.20,4.25
-,1.13,5.40
0-0 0-0 15-30*,1.14,5.20
0-0 0-0 30-40*,1.14,5.20
0-0 0-0 40-40*,1.13,5.50
0-0 0-0 A-40*,1.09,6.50
0-0 0-0 40-40*,1.13,5.50
0-0 0-0 40-A*,1.14,5.20
0-0 0-1 *0-0,1.17,4.65
0-0 0-1 *30-0,1.14,5.20
0-0 0-1 *40-0,1.14,5.20
0-0 1-1 0-0*,1.14,5.20
0-0 1-1 15-0*,1.11,5.90
0-0 1-1 30-0*,1.09,6.50
0-0 1-1 40-0*,1.06,7.75
0-0 2-1 *0-0,1.05,8.50
0-0 2-1 *0-15,1.06,7.50
0-0 2-1 *15-15,1.05,8.50
0-0 2-1 *0-15,1.05,8.50
0-0 2-1 *30-15,1.04,9.50
0-0 2-1 *40-15,1.04,9.50
0-0 2-1 *40-30,1.04,9.50
0-0 3-1 0-0*,1.04,9.50
0-0 3-1 15-0*,1.03,10.00
0-0 3-1 15-15*,1.04,9.50
0-0 3-1 15-30*,1.04,9.50
0-0 3-1 15-40*,1.05,8.50
0-0 3-1 30-40*,1.05,9.50
0-0 3-1 30-40*,1.04,9.50
0-0 3-1 30-A*,1.04,9.50
0-0 3-2 *0-0,1.05,8.50
0-0 3-2 *0-15,1.06,7.50
0-0 3-2 *15-15,1.05,8.50
0-0 3-2 *30-15,1.04,9.50
0-0 3-2 *30-30,1.04,9.50
0-0 4-2 0-0*,1.04,9.50
0-0 4-2 0-15*,1.04,9.50
0-0 4-2 0-30*,1.04,9.50
0-0 4-2 0-40*,1.04,9.50
0-0 4-3 *0-0,1.04,8.50
0-0 4-3 *0-0,1.05,8.50
0-0 4-3 *0-15,1.06,7.50
0-0 4-3 *0-15,1.05,8.50
0-0 4-3 *40-15,1.03,10.00
0-0 4-3 *40-15,1.04,9.50
0-0 4-3 *40-30,1.04,9.50
0-0 5-3 0-0*,1.03,10.00
0-0 5-3 0-15*,1.04,9.50
0-0 5-3 15-15*,1.03,10.00
0-0 5-3 30-15*,1.02,11.00
0-0 5-3 30-30*,1.03,10.00
0-0 5-3 40-30*,1.02,11.00
0-0 5-3 40-40*,1.03,10.00
1-0 0-0 *0-0,1.02,12.00
1-0 0-0 *15-0,1.01,13.00
1-0 0-0 *15-15,1.02,12.00
1-0 0-0 *15-30,1.02,11.00
1-0 0-0 *30-30,1.02,11.00
1-0 0-0 *40-30,1.01,13.00
1-0 1-0 0-0*,1.01,13.00
1-0 1-0 0-15*,1.01,13.00
1-0 1-0 15-15*,1.01,14.00
1-0 1-0 15-30*,1.01,13.00
1-0 1-0 30-30*,1.01,14.00
1-0 1-0 40-30*,1.005,34.00
1-0 1-0 40-40*,1.01,14.00
1-0 1-0 40-A*,1.01,12.00
1-0 1-0 40-40*,1.01,14.00
1-0 1-0 A-40*,1.005,34.00
1-0 2-0 *0-0,1.002,67.00
1-0 2-0 *15-0,1.001,81.00
1-0 2-0 *30-0,1.001,81.00
1-0 3-0 0-0*,1.001,81.00
1-0 3-0 0-15*,1.001,81.00
1-0 3-2 0-0*,1.01,13.00
1-0 3-2 15-0*,1.01,15.00
1-0 3-2 30-0*,1.005,34.00
1-0 3-2 30-15*,1.01,15.00
1-0 3-2 30-30*,1.01,13.00
1-0 3-2 30-40*,1.02,12.00
1-0 3-2 40-40*,1.01,13.00
1-0 3-2 A-40*,1.005,21.00
1-0 3-2 40-40*,1.005,21.00
1-0 3-2 40-40*,1.01,13.00
1-0 3-2 40-A*,1.02,12.00
1-0 3-2 40-A*,1.02,13.00
1-0 3-2 40-A*,1.01,13.00
1-0 3-2 A-40*,1.005,21.00
1-0 3-2 A-40*,1.01,13.00
1-0 3-2 A-40*,1.005,21.00
1-0 3-2 A-40*,1.01,13.00
1-0 3-2 40-A*,1.02,12.00
1-0 3-2 40-A*,1.03,10.00
1-0 3-2 15-A*,1.02,12.00
1-0 3-2 30-A*,1.02,12.00
1-0 3-2 30-15*,1.02,12.00
1-0 3-2 30-30*,1.04,9.50
1-0 3-2 40-30*,1.02,12.00
1-0 4-2 0-0*,1.02,12.00
1-0 4-2 0-15*,1.02,12.00
1-0 4-2 15-15*,1.02,12.00
1-0 4-3 15-15*,1.02,12.00
1-0 4-3 40-15*,1.002,41.00
1-0 5-3 *0-0,1.001,101.00
1-0 5-3 *15-0,1.001,101.00
1-0 5-3 *15-15,1.001,81.00
1-0 5-3 *30-15,1.001,101.00
1-0 5-3 *30-30,1.001,81.00
1-0 5-3 *40-30,1.001,101.00
1-0 5-4 15-15*,1.01,13.00
1-0 5-4 15-40*,1.03,10.00
1-0 5-4 30-40*,1.02,11.00
1-0 5-5 *0-0,1.04,9.50
1-0 5-5 *0-15,1.06,8.00
1-0 5-5 *15-15,1.04,9.50
1-0 5-5 *30-15,1.03,10.00
1-0 5-5 *30-30,1.04,9.50
1-0 5-5 *30-30,1.05,8.50
1-0 5-5 *30-40,1.10,6.00
1-0 5-5 *40-40,1.05,8.50
1-0 5-5 *A-40,1.03,10.00
1-0 5-5 *40-40,1.05,8.50
1-0 5-5 *A-40,1.03,10.00
1-0 6-5 0-0*,1.02,12.00
1-0 6-5 0-15*,1.03,10.00
1-0 6-5 15-15*,1.02,12.00
1-0 6-5 15-30*,1.03,10.00
1-0 6-5 15-40*,1.04,9.50
1-0 6-6 *0-0,1.05,8.50
1-0 6-6 1-0*,1.06,10.00
1-0 6-6 1-0*,1.03,10.00
1-0 6-6 1-1*,1.05,8.50
1-0 6-6 *2-1,1.03,10.00
1-0 6-6 *2-2,1.06,8.00
1-0 6-6 *2-2,1.06,7.50
1-0 6-6 2-3*,1.11,6.00
1-0 6-6 3-3*,1.06,7.75
1-0 6-6 2-3*,1.06,7.75
1-0 6-6 *2-4,1.10,6.00
1-0 6-6 *2-4,1.11,5.90
1-0 6-6 *4-4,1.08,7.00
1-0 6-6 5-4*,1.08,9.50
1-0 6-6 5-4*,1.04,9.50
1-0 6-6 5-5*,1.06,7.50
1-0 6-6 *6-5,1.01,14.00
2-0 7-6 0-0*,1.001,1.001
