Score,P1 Odds,P2 Odds
-,3.45,1.28
-,3.70,1.25
0-0 1-1 0-0*,3.98,1.22
0-0 1-1 15-0*,3.45,1.28
0-0 1-1 30-0*,3.14,1.33
0-0 1-1 40-0*,2.75,1.41
0-0 2-1 *0-0,2.47,1.50
0-0 2-1 *15-0,2.33,1.56
0-0 2-1 *15-0,2.19,1.63
0-0 2-1 *40-0,2.11,1.67
0-0 3-1 0-0*,2.08,1.70
0-0 3-1 15-0*,1.96,1.78
0-0 3-1 30-0*,1.83,1.90
0-0 3-1 30-0*,1.82,1.90
0-0 3-1 30-15*,1.90,1.83
0-0 3-1 40-15*,1.77,1.97
0-0 3-1 40-30*,1.87,1.87
0-0 3-1 40-40*,2.04,1.72
0-0 3-1 A-40*,1.87,1.87
0-0 3-1 40-40*,2.04,1.72
0-0 3-1 A-40*,1.87,1.87
0-0 5-2 *40-40,1.59,2.25
0-0 5-2 *40-A,1.67,2.11
0-0 5-2 *40-A,1.59,2.26
1-0 1-1 *0-0,1.47,2.56
1-0 1-1 *0-15,1.55,2.34
1-0 1-1 *15-15,1.47,2.55
1-0 1-1 *15-15,1.48,2.55
1-0 1-1 *30-15,1.40,2.81
1-0 1-1 *40-15,1.34,3.11
1-0 1-1 *40-30,1.38,2.90
1-0 1-1 *40-40,1.48,2.53
1-0 1-1 *40-A,1.62,2.21
1-0 1-1 *40-40,1.48,2.54
1-0 1-1 *A-40,1.38,2.90
1-0 1-1 *A-40,1.48,2.53
1-0 1-1 *A-40,1.48,2.52
1-0 1-1 *40-A,1.62,2.20
1-0 1-1 *40-A,1.49,2.50
1-0 1-1 *A-40,1.38,2.87
1-0 2-1 0-0*,1.30,3.31
1-0 2-1 15-0*,1.25,3.70
1-0 2-1 15-15*,1.30,3.31
1-0 2-1 15-15*,1.30,3.32
1-0 2-1 15-30*,1.36,2.98
1-0 2-1 15-40*,1.43,2.70
1-0 2-1 30-40*,1.38,2.87
1-0 2-1 15-40*,1.46,2.58
1-0 2-1 15-40*,1.39,2.83
1-0 3-3 *30-0,1.33,3.18
1-0 3-3 *40-0,1.30,3.35
1-0 4-3 0-0*,1.28,3.45
1-0 4-3 15-15*,1.28,3.45
1-0 4-3 15-15*,1.33,3.14
1-0 4-3 30-15*,1.25,3.70
1-0 4-3 30-40*,1.34,3.09
1-0 4-4 *0-0,1.44,2.66
1-0 4-4 *15-0,1.35,3.01
1-0 4-4 *30-0,1.30,3.32
1-0 4-4 *30-15,1.35,3.04
1-0 4-4 *40-15,1.28,3.45
1-0 5-4 0-0*,1.23,3.90
1-0 5-4 0-15*,1.30,3.31
1-0 5-4 0-15*,1.30,3.32
1-0 5-4 15-15*,1.22,4.00
1-0 5-4 30-15*,1.14,5.20
1-0 5-4 40-15*,1.04,9.50
