Score,P1 Odds,P2 Odds
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
-,2.50,1.49
-,2.65,1.44
