Score,P1 Odds,P2 Odds
-,1.14,5.20
0-0 0-0 30-0*,1.10,6.00
0-0 1-0 *15-15,1.04,9.50
0-0 1-0 *30-30,1.04,9.50
0-0 1-0 *30-40,1.04,9.50
0-0 3-0 *0-0,1.03,10.00
0-0 3-0 *0-15,1.03,10.00
0-0 3-0 *30-15,1.03,10.00
0-0 4-0 0-0*,1.02,11.00
0-0 4-0 15-15*,1.02,11.00
0-0 4-0 30-15*,1.02,12.00
0-0 4-0 30-40*,1.02,11.00
0-0 4-1 *0-0,1.03,10.00
0-0 4-1 *15-0,1.02,11.00
0-0 4-1 *30-15,1.02,11.00
0-0 4-1 *40-15,1.02,11.00
0-0 5-1 0-15*,1.02,11.00
0-0 5-1 30-15*,1.02,12.00
0-0 5-1 30-30*,1.02,12.00
0-0 5-1 40-30*,1.02,12.00
1-0 6-1 *0-0,1.02,12.00
1-0 0-0 *0-0,1.02,12.00
1-0 0-0 *0-15,1.02,11.00
1-0 0-0 *15-30,1.03,10.00
1-0 0-0 *40-30,1.02,12.00
1-0 1-0 0-0*,1.01,13.00
1-0 1-0 0-15*,1.01,13.00
1-0 1-0 15-30*,1.02,12.00
1-0 1-0 15-40*,1.02,12.00
1-0 1-1 *0-0,1.02,12.00
1-0 1-1 *0-15,1.03,10.00
1-0 1-1 *30-15,1.02,12.00
1-0 2-1 0-0*,1.01,15.00
1-0 2-1 15-0*,1.005,34.00
1-0 2-1 15-30*,1.01,14.00
1-0 2-1 40-30*,1.002,34.00
1-0 2-1 40-40*,1.005,17.00
1-0 2-2 *0-15,1.02,11.00
1-0 2-2 *15-30,1.03,10.00
1-0 2-2 *40-30,1.01,13.00
1-0 3-2 0-0*,1.01,14.00
1-0 3-2 15-0*,1.005,21.00
1-0 3-2 30-0*,1.005,34.00
1-0 3-2 30-40*,1.01,13.00
1-0 3-3 *15-0,1.02,12.00
1-0 3-3 *30-0,1.01,13.00
1-0 4-3 0-0*,1.01,14.00
1-0 4-3 0-15*,1.01,13.00
1-0 4-3 0-40*,1.02,11.00
1-0 4-4 *0-0,1.02,11.00
1-0 4-4 *15-0,1.02,12.00
1-0 4-4 *40-0,1.01,13.00
1-0 5-4 0-0*,1.01,14.00
1-0 5-4 0-30*,1.02,11.00
1-0 5-5 *0-0,1.03,10.00
1-0 5-5 *30-0,1.03,11.00
1-0 5-5 *30-15,1.03,10.00
1-0 5-5 *40-15,1.02,12.00
1-0 6-5 0-0*,1.02,12.00
1-0 6-5 15-0*,1.01,14.00
1-0 6-5 15-15*,1.02,12.00
1-0 6-5 30-15*,1.01,15.00
1-0 6-5 30-30*,1.02,12.00
1-0 6-5 40-40*,1.02,12.00
1-0 6-6 1-0*,1.03,10.00
1-0 6-6 *1-2,1.14,5.20
1-0 6-6 3-2*,1.07,7.00
1-0 6-6 4-2*,1.02,11.00
1-0 6-6 *6-2,1.001,101.00
1-0 6-6 6-3*,1.001,81.00
2-0 7-6 0-0*,1.001,1.001
