Score,P1 Odds,P2 Odds
-,1.28,3.45
0-0 0-1 *30-15,1.33,3.13
0-0 0-1 *40-30,1.33,3.14
0-0 1-1 0-15*,1.33,3.18
0-0 1-1 15-15*,1.28,3.45
0-0 1-1 30-15*,1.22,3.96
0-0 1-1 30-40*,1.34,3.11
0-0 1-2 *0-0,1.40,2.82
0-0 1-2 *15-0,1.35,3.01
0-0 1-2 *30-15,1.35,3.02
0-0 1-2 *40-40,1.41,2.75
0-0 1-2 *A-40,1.35,3.03
0-0 2-2 15-0*,1.25,3.70
0-0 2-2 30-0*,1.20,4.20
0-0 2-2 30-30*,1.30,3.32
0-0 2-2 40-30*,1.22,4.00
0-0 3-2 *0-0,1.16,4.80
0-0 3-2 *0-15,1.20,4.25
0-0 3-2 *15-30,1.20,4.25
0-0 3-2 *15-40,1.28,3.50
0-0 3-2 *30-40,1.22,4.00
0-0 3-3 0-0*,1.28,3.45
0-0 3-3 15-15*,1.28,3.45
0-0 3-3 15-40*,1.39,2.84
0-0 3-4 *0-0,1.40,2.81
0-0 3-4 *15-15,1.42,2.74
0-0 3-4 *30-30,1.43,2.68
0-0 3-5 0-0*,1.86,1.87
0-0 3-5 15-0*,1.74,2.01
0-0 3-5 15-30*,2.00,1.75
0-1 3-6 *0-0,2.49,1.49
0-1 3-6 *0-15,2.72,1.42
0-1 0-0 *30-15,2.33,1.56
0-1 0-0 *40-30,2.31,1.57
0-1 0-0 *40-40,2.59,1.46
0-1 1-0 0-0*,2.13,1.66
0-1 1-0 0-15*,2.26,1.59
0-1 1-1 *0-0,2.56,1.47
0-1 1-1 *15-0,2.39,1.53
0-1 1-1 *30-15,2.36,1.54
0-1 2-1 0-0*,2.14,1.65
0-1 2-1 0-0*,2.27,1.59
0-1 2-1 0-15*,2.41,1.52
0-1 2-1 0-30*,2.42,1.52
0-1 2-1 0-40*,2.58,1.46
0-1 2-1 30-40*,2.45,1.51
0-1 2-1 40-40*,2.21,1.62
0-1 2-1 40-A*,2.46,1.50
0-1 2-2 *0-0,2.67,1.44
0-1 2-2 *15-0,2.50,1.49
0-1 2-2 *15-30,3.10,1.34
0-1 2-2 *30-40,3.31,1.30
0-1 2-3 0-0*,4.60,1.17
0-1 2-3 15-0*,3.90,1.25
0-1 2-3 15-15*,4.25,1.20
0-1 2-3 15-40*,6.00,1.11
0-1 2-4 *0-15,6.00,1.06
0-1 2-4 *0-40,9.50,1.02
0-1 2-4 *15-40,11.00,1.03
0-1 2-5 0-0*,14.00,1.01
0-1 2-5 0-15*,34.00,1.004
0-1 2-5 15-15*,14.00,1.01
0-1 2-5 30-30*,14.00,1.01
0-1 2-5 30-40*,41.00,1.002
0-2 2-6 *0-0,1.001,1.001
