Score,P1 Odds,P2 Odds
-,1.87,1.87
0-0 0-0 15-0*,1.75,1.99
0-0 0-0 30-0*,1.66,2.14
0-0 0-0 40-15*,1.56,2.23
0-0 0-0 40-30*,1.67,2.11
0-0 0-0 40-30*,1.52,2.42
0-0 0-0 15-30*,1.47,2.56
0-0 0-0 30-30*,1.43,2.69
0-0 0-0 30-30*,1.40,2.79
0-0 2-0 0-30*,1.38,2.87
0-0 2-0 0-15*,1.42,2.73
0-0 2-0 15-30*,1.42,2.72
0-0 2-0 15-30*,1.46,2.59
0-0 2-1 *0-0,1.49,2.50
0-0 2-1 *0-0,1.50,2.47
0-0 2-1 *15-15,1.50,2.47
0-0 2-1 *30-15,1.45,2.63
0-0 2-1 *40-30,1.44,2.68
0-0 3-1 0-0*,1.37,2.92
0-0 3-1 15-0*,1.33,3.14
0-0 3-1 40-15*,1.31,3.26
0-0 3-1 40-30*,1.30,3.32
0-0 4-1 *0-0,1.22,4.00
0-0 4-1 *0-15,1.17,4.60
0-0 4-1 *15-15,1.17,4.60
0-0 4-1 *15-30,1.20,4.25
0-0 4-1 *40-30,1.17,4.65
0-0 4-1 *40-40,1.20,4.25
0-0 5-1 0-0*,1.14,5.20
0-0 5-1 15-0*,1.14,5.20
0-0 5-1 30-15*,1.14,5.20
0-0 5-1 40-30*,1.14,5.20
0-0 5-1 40-40*,1.14,5.20
0-0 5-2 *0-0,1.17,4.65
0-0 5-2 *0-15,1.17,4.60
0-0 5-2 *15-15,1.17,4.65
0-0 5-2 *40-15,1.14,5.20
1-0 6-2 0-0*,1.14,5.20
1-0 0-0 0-0*,1.14,5.20
1-0 0-0 0-30*,1.17,4.60
1-0 0-0 15-30*,1.17,4.60
1-0 0-0 15-40*,1.20,4.25
1-0 0-1 *0-0,1.22,4.00
1-0 0-1 *0-15,1.28,3.50
1-0 0-1 *0-30,1.30,3.30
1-0 0-1 *0-30,1.36,2.97
1-0 0-1 *15-30,1.34,3.08
1-0 0-2 0-0*,1.40,2.82
1-0 0-2 15-15*,1.40,2.82
1-0 0-2 30-15*,1.33,3.14
1-0 0-2 40-30*,1.30,3.31
1-0 1-2 *0-0,1.23,3.92
1-0 1-2 *0-0,1.28,3.45
1-0 1-2 *0-30,1.34,3.10
1-0 1-2 *30-30,1.25,3.70
1-0 2-2 0-0*,1.17,4.65
1-0 2-2 0-15*,1.20,4.25
1-0 2-2 0-40*,1.25,3.70
1-0 2-2 15-40*,1.22,4.00
1-0 2-2 15-40*,1.20,4.25
1-0 2-2 40-40*,1.16,4.80
1-0 2-3 *0-0,1.25,3.70
1-0 2-3 *15-0,1.22,4.00
1-0 2-3 *30-0,1.20,4.25
1-0 2-3 *40-0,1.20,4.25
1-0 3-3 0-15*,1.22,4.00
1-0 3-3 0-30*,1.28,3.45
1-0 3-4 *0-0,1.30,3.31
1-0 3-4 *0-15,1.37,2.94
1-0 3-4 *15-15,1.31,3.24
1-0 3-4 *30-15,1.28,3.45
1-0 3-4 *30-30,1.34,3.10
1-0 3-4 *30-40,1.37,2.94
1-0 3-4 *30-40,1.43,2.68
1-0 3-5 0-15*,1.73,2.02
1-0 3-5 15-15*,1.65,2.15
1-0 3-5 15-30*,1.72,2.04
1-1 3-6 *0-0,2.00,1.74
1-1 0-0 *0-0,2.00,1.74
