Score,P1 Odds,P2 Odds
-,1.50,2.47
Score,P1 Odds,P2 Odds
-,1.50,2.47
-,1.44,2.67
0-0 0-0 0-15*,1.48,2.54
0-0 0-0 15-30*,1.48,2.52
0-0 0-0 30-30*,1.41,2.75
0-0 0-0 40-30*,1.33,3.14
0-0 1-0 *0-0,1.25,3.78
0-0 1-0 *30-0,1.20,4.25
0-0 1-0 *40-0,1.17,4.50
0-0 2-0 0-0*,1.17,4.60
0-0 2-0 15-0*,1.17,4.65
0-0 2-0 15-30*,1.20,4.25
0-0 2-0 30-40*,1.17,4.25
0-0 2-0 40-40*,1.17,4.60
0-0 2-0 40-A*,1.20,4.25
0-0 2-1 *0-0,1.22,4.00
0-0 2-1 *15-0,1.20,4.20
0-0 2-1 *30-0,1.20,4.25
0-0 2-1 *40-15,1.17,4.60
0-0 3-1 0-0*,1.17,4.60
0-0 3-1 15-0*,1.15,5.00
0-0 3-1 30-30*,1.17,4.65
0-0 3-1 30-40*,1.20,4.25
0-0 3-2 *0-0,1.22,4.00
0-0 3-2 *30-15,1.17,4.60
0-0 3-2 *30-40,1.30,3.35
0-0 3-2 *40-40,1.17,4.65
0-0 3-2 *A-40,1.17,4.65
0-0 3-2 *A-40,1.13,5.40
0-0 3-2 *A-40,1.16,4.80
0-0 3-2 *40-A,1.22,4.00
0-0 3-3 0-0*,1.33,3.18
0-0 3-3 0-15*,1.37,2.93
0-0 3-3 15-30*,1.38,2.91
0-0 3-3 15-40*,1.44,2.67
0-0 3-4 *0-0,1.47,2.55
0-0 3-4 *15-0,1.42,2.74
0-0 3-4 *15-15,1.42,2.50
0-0 3-4 *30-15,1.43,2.71
0-0 3-4 *30-40,1.50,2.47
0-0 3-5 0-0*,2.07,1.70
0-0 3-5 15-0*,1.91,1.82
0-0 3-5 15-30*,2.24,1.60
0-0 3-5 30-30*,2.03,1.73
0-0 3-5 30-40*,2.29,1.58
0-0 3-5 30-40*,2.53,1.48
0-0 3-5 15-15*,2.56,1.47
0-1 0-0 *15-30,2.56,1.47
0-1 0-0 *15-40,3.33,1.30
0-1 0-0 *30-40,3.06,1.34
0-1 0-1 0-0*,3.92,1.23
0-1 0-1 0-15*,4.25,1.20
0-1 0-1 15-30*,4.25,1.20
0-1 0-1 15-40*,4.65,1.17
0-1 0-2 *0-0,4.65,1.17
0-1 0-2 *0-30,6.00,1.10
0-1 0-2 *15-30,5.90,1.11
0-1 0-2 *15-40,7.50,1.06
0-1 0-3 0-0*,9.50,1.04
0-1 0-3 15-0*,7.75,1.06
0-1 0-3 15-30*,10.00,1.03
0-1 0-4 *0-0,13.00,1.01
0-1 0-4 *30-0,12.00,1.02
0-1 0-4 *40-15,12.00,1.02
0-1 1-4 0-0*,11.00,1.02
0-1 1-4 0-15*,13.00,1.01
0-1 1-4 0-30*,34.00,1.005
0-1 1-4 15-40*,34.00,1.004
0-1 1-4 30-40*,15.00,1.01
0-1 1-4 40-A*,15.00,1.01
0-1 1-5 *0-0,41.00,1.002
0-1 1-5 *15-0,41.00,1.002
0-1 1-5 *30-15,41.00,1.002
0-1 1-5 *40-15,34.00,1.004
0-1 2-5 0-0*,34.00,1.004
0-1 2-5 0-15*,67.00,1.002
0-1 2-5 15-30*,67.00,1.002
0-1 2-5 30-30*,34.00,1.005
0-1 2-5 A-40*,12.00,1.02
0-1 3-5 *0-0,10.00,1.03
0-1 3-5 *30-0,8.50,1.05
0-1 3-5 *40-0,7.75,1.06
0-1 4-5 0-0*,34.00,1.004
0-1 4-5 0-0*,14.00,1.01
0-1 4-5 15-0*,11.00,1.02
0-1 4-5 30-15*,10.00,1.03
0-1 4-5 30-30*,8.50,1.05
0-1 4-5 30-40*,13.00,1.01
0-2 4-6 *0-0,1.001,1.001
