Score,P1 Odds,P2 Odds
-,5.20,1.14
0-0 0-0 *15-15,5.20,1.14
0-0 0-0 *15-40,6.00,1.10
0-0 0-1 0-0*,6.50,1.08
0-0 0-1 15-0*,6.00,1.10
0-0 0-1 30-0*,5.90,1.11
0-0 0-1 30-15*,6.00,1.10
0-0 0-1 40-15*,5.40,1.13
0-0 0-1 40-40*,6.50,1.08
0-0 0-1 A-40*,6.00,1.11
0-0 1-1 *0-0,5.20,1.14
0-0 1-1 *0-15,5.40,1.13
0-0 1-1 *0-40,6.50,1.09
0-0 1-2 0-0*,6.50,1.08
0-0 1-2 0-15*,7.50,1.06
0-0 1-2 0-30*,8.50,1.05
0-0 1-2 0-40*,8.50,1.05
0-0 1-3 *0-0,9.50,1.04
0-0 1-3 *15-0,8.50,1.05
0-0 1-3 *30-30,9.50,1.04
0-0 1-3 *40-30,8.00,1.06
0-0 2-3 0-0*,6.50,1.08
0-0 2-3 30-0*,5.40,1.13
0-0 2-3 30-15*,6.00,1.11
0-0 2-3 30-30*,6.50,1.08
0-0 2-4 *0-0,9.50,1.04
0-0 2-4 *15-0,8.50,1.05
0-0 2-4 *15-30,9.50,1.04
0-0 2-4 *15-40,10.00,1.03
0-0 2-4 *40-40,9.50,1.04
0-0 2-4 *40-A,10.00,1.03
0-0 2-4 *40-40,9.50,1.04
0-0 2-5 0-0*,12.00,1.02
0-0 2-5 30-0*,11.00,1.02
0-0 2-5 40-0*,10.00,1.03
0-0 2-5 40-30*,10.00,1.03
0-0 2-5 40-40*,11.00,1.02
0-0 2-5 40-A*,12.00,1.02
0-1 2-6 *0-0,12.00,1.02
0-1 0-0 *0-0,12.00,1.02
0-1 0-0 *0-15,13.00,1.01
0-1 0-0 *15-15,12.00,1.02
0-1 0-0 *30-15,11.00,1.02
0-1 0-0 *30-30,12.00,1.02
0-1 0-0 *40-30,10.00,1.03
0-1 0-0 *40-40,12.00,1.02
0-1 0-0 *40-A,13.00,1.01
0-1 0-0 *40-40,12.00,1.02
0-1 0-0 *A-40,10.00,1.03
0-1 0-0 *40-40,12.00,1.02
0-1 0-0 *A-40,10.00,1.03
0-1 1-0 0-0*,9.50,1.04
0-1 1-0 0-15*,10.00,1.03
0-1 1-0 0-30*,10.00,1.03
0-1 1-0 15-30*,10.00,1.03
0-1 1-0 15-40*,11.00,1.02
0-1 1-1 *0-0,11.00,1.02
0-1 1-1 *15-0,10.00,1.03
0-1 1-1 *15-30,12.00,1.02
0-1 1-1 *15-40,14.00,1.01
0-1 1-1 *30-40,13.00,1.01
0-1 1-1 *40-40,11.00,1.02
0-1 2-1 0-0*,8.50,1.05
0-1 2-1 0-30*,9.50,1.04
0-1 2-1 0-40*,10.00,1.03
0-1 2-2 *0-0,10.00,1.03
0-1 2-2 *15-15,10.00,1.03
0-1 2-2 *15-30,12.00,1.02
0-1 2-2 *30-30,10.00,1.03
0-1 2-2 *30-40,12.00,1.02
0-1 2-2 *30-40,15.00,1.01
0-1 2-2 *30-15,21.00,1.005
0-1 2-2 *15-15,15.00,1.01
0-1 2-2 *15-30,21.00,1.005
0-1 2-2 *30-30,14.00,1.01
0-1 2-2 *30-30,34.00,1.004
0-1 2-2 *30-30,34.00,1.005
0-1 2-2 *40-40,14.00,1.01
0-1 2-3 40-40*,14.00,1.01
0-1 2-3 40-A*,34.00,1.005
0-1 2-3 40-A*,14.00,1.01
0-1 2-3 40-A*,34.00,1.005
0-1 2-3 40-A*,14.00,1.01
0-1 2-3 A-40*,12.00,1.02
0-1 2-3 A-40*,14.00,1.01
0-1 2-3 40-A*,34.00,1.005
0-1 2-4 *0-0,41.00,1.002
0-1 2-4 *0-15,67.00,1.002
0-1 2-4 *0-30,81.00,1.001
0-1 2-4 *15-30,67.00,1.002
0-1 2-5 0-0*,126.00,1.001
0-1 2-5 0-15*,126.00,1.001
