Score,P1 Odds,P2 Odds
-,1.96,1.78
0-0 0-0 15-0*,1.84,1.89
0-0 0-0 40-0*,1.65,2.15
0-0 1-0 *0-0,1.49,2.50
0-0 1-0 *15-0,1.44,2.67
0-0 1-0 *15-15,1.49,2.50
0-0 1-0 *15-30,1.57,2.30
0-0 1-0 *15-40,1.78,1.96
0-0 1-1 0-0*,1.88,1.85
0-0 1-1 0-30*,2.10,1.68
0-0 1-1 15-30*,2.00,1.75
0-0 1-1 30-40*,2.04,1.72
0-0 1-1 40-40*,1.85,1.87
0-0 1-1 40-A*,2.21,1.62
0-0 1-1 40-15*,2.39,1.53
0-0 1-1 15-15*,2.22,1.61
0-0 1-1 15-30*,2.44,1.51
0-0 1-1 15-40*,2.72,1.42
0-0 1-1 30-40*,2.53,1.48
0-0 1-2 *40-A,2.50,1.49
0-0 1-3 0-0*,2.95,1.37
0-0 1-3 15-15*,2.94,1.37
0-0 1-3 30-30*,2.92,1.37
0-0 1-3 40-40*,2.89,1.38
0-0 2-3 *0-0,2.29,1.58
0-0 2-3 *15-0,2.13,1.66
0-0 2-3 *30-0,2.00,1.75
0-0 2-3 *30-15,2.10,1.68
0-0 2-3 *30-30,2.29,1.58
0-0 2-3 *30-30,2.30,1.57
0-0 2-3 *30-40,2.64,1.45
0-0 2-3 *40-40,2.31,1.57
0-0 2-3 *40-A,2.65,1.45
0-0 2-3 *40-40,2.29,1.58
0-0 2-3 *A-40,2.18,1.63
0-0 3-3 0-0*,1.99,1.75
0-0 3-3 0-15*,2.15,1.65
0-0 3-3 0-30*,2.31,1.57
0-0 3-3 0-40*,2.45,1.51
0-0 3-4 *0-0,2.53,1.48
0-0 3-4 *0-15,3.09,1.34
0-0 3-4 *15-15,2.78,1.41
0-0 3-4 *30-15,2.50,1.49
0-0 3-4 *30-30,2.81,1.40
0-0 3-4 *30-40,3.32,1.30
0-0 3-5 0-0*,4.25,1.20
0-0 3-5 15-0*,3.80,1.25
0-0 3-5 15-15*,4.25,1.20
0-0 3-5 30-15*,4.25,1.20
0-0 3-5 30-30*,4.05,1.22
0-0 3-5 40-30*,3.45,1.28
0-0 3-5 40-40*,3.45,1.28
0-0 3-5 40-40*,4.00,1.22
0-0 3-5 40-A*,4.65,1.17
0-0 3-5 40-40*,4.10,1.22
0-0 3-5 A-40*,3.45,1.28
0-0 4-5 *30-15,2.61,1.45
0-0 4-5 *40-15,2.30,1.57
0-0 5-5 0-0*,2.11,1.67
0-0 5-5 15-15*,2.10,1.68
0-0 5-5 30-15*,1.79,1.94
0-0 5-5 40-15*,1.60,2.25
0-0 6-5 *0-0,1.48,2.53
0-0 6-5 *0-15,1.61,2.23
0-0 6-5 *0-30,1.76,1.98
0-0 6-5 *15-30,1.64,2.17
0-0 6-5 *15-40,1.84,1.89
0-0 6-5 *30-40,1.71,2.06
0-0 6-6 0-0*,2.02,1.73
0-0 6-6 *0-1,2.35,1.55
0-0 6-6 *0-2,2.84,1.39
0-0 6-6 1-2*,2.42,1.52
0-0 6-6 2-2*,2.01,1.74
0-0 6-6 *2-3,2.44,1.51
0-0 6-6 *2-4,3.06,1.34
0-0 6-6 *2-4,3.08,1.34
0-0 6-6 3-4*,2.52,1.48
0-0 6-6 *4-5,2.58,1.46
0-0 6-6 *5-5,2.05,1.71
0-0 6-6 6-5*,1.57,2.31
1-0 7-6 *0-0,1.25,3.66
1-0 7-6 *15-0,1.22,4.00
1-0 0-0 *15-15,1.25,3.66
1-0 0-0 *15-30,1.33,3.14
1-0 0-0 *15-40,1.39,2.84
1-0 0-1 0-0*,1.45,2.64
1-0 0-1 0-15*,1.50,2.46
1-0 0-1 0-30*,1.56,2.33
1-0 0-1 0-40*,1.61,2.23
1-0 0-2 *0-0,1.61,2.17
1-0 0-2 *0-0,1.64,2.17
1-0 0-2 *0-15,1.70,2.07
1-0 0-2 *15-30,1.82,1.91
1-0 0-2 *30-30,1.73,2.02
1-0 0-2 *30-40,1.85,1.88
1-0 0-2 *40-40,1.73,2.02
1-0 0-2 *A-40,1.64,2.17
1-0 1-2 0-0*,1.56,2.34
1-0 1-2 15-0*,1.48,2.54
1-0 1-2 15-15*,1.54,2.36
1-0 1-2 15-30*,1.63,2.18
1-0 1-2 30-30*,1.54,2.37
1-0 1-2 30-40*,1.65,2.14
1-0 1-2 40-40*,1.54,2.36
1-0 1-2 40-40*,1.53,2.40
1-0 1-2 40-A*,1.65,2.16
1-0 1-2 40-A*,1.53,2.40
1-0 1-2 A-A*,1.42,2.73
1-0 1-2 A-A*,1.53,2.40
1-0 1-2 A-A*,1.64,2.16
1-0 1-2 40-40*,1.54,2.37
1-0 1-2 A-40*,1.42,2.72
1-0 2-2 *0-0,1.31,3.25
1-0 2-2 *0-15,1.37,2.92
1-0 2-2 *0-30,1.45,2.63
1-0 2-2 *15-30,1.48,2.52
1-0 2-3 0-0*,1.56,2.32
1-0 2-3 0-15*,1.64,2.16
1-0 2-3 15-15*,1.56,2.32
1-0 2-3 30-15*,1.46,2.59
1-0 2-3 40-15*,1.37,2.94
1-0 3-3 *0-0,1.31,3.25
1-0 3-3 *15-0,1.25,3.70
1-0 3-3 *30-0,1.20,4.25
1-0 3-3 *30-15,1.25,3.70
1-0 3-3 *30-30,1.31,3.22
