Score,P1 Odds,P2 Odds
-,4.25,1.20
0-0 1-0 0-0*,3.32,1.30
0-0 1-0 15-0*,3.08,1.34
0-0 1-0 30-0*,2.78,1.41
0-0 1-0 40-0*,2.53,1.48
0-0 1-0 40-15*,2.64,1.45
0-0 2-0 *0-0,2.41,1.52
0-0 2-0 *15-0,2.27,1.59
0-0 2-0 *15-15,2.42,1.52
0-0 2-0 *15-30,2.65,1.44
0-0 2-0 *30-30,2.44,1.51
0-0 2-0 *40-30,2.21,1.62
0-0 3-0 0-0*,2.05,1.71
0-0 3-0 0-0*,2.04,1.72
0-0 3-0 15-15*,2.03,1.73
0-0 3-0 15-15*,2.01,1.74
0-0 3-0 30-15*,1.90,1.83
0-0 3-0 30-30*,2.18,1.63
0-0 3-0 30-15*,2.00,1.75
0-0 4-0 *0-0,1.80,1.93
0-0 4-0 *15-0,1.75,1.99
0-0 4-0 *30-0,1.75,1.99
0-0 4-0 *30-0,1.71,2.05
0-0 4-0 *30-15,1.62,2.20
0-0 4-0 *40-15,1.58,2.27
0-0 4-0 *40-30,1.61,2.21
0-0 5-0 0-0*,1.56,2.32
0-0 5-0 0-15*,1.58,2.29
0-0 5-0 15-15*,1.56,2.33
0-0 5-0 15-30*,1.58,2.29
0-0 5-0 15-40*,1.60,2.25
0-0 5-0 15-40*,1.49,2.49
0-0 5-1 *0-0,1.50,2.47
0-0 5-1 *0-15,1.53,2.40
0-0 5-1 *0-30,1.56,2.32
0-0 5-1 *0-30,1.57,2.31
0-0 5-1 *15-30,1.54,2.37
0-0 5-1 *30-30,1.54,2.37
0-0 5-1 *30-40,1.55,2.34
0-0 5-1 *40-40,1.51,2.45
0-0 5-1 *A-40,1.47,2.56
0-0 5-1 *40-40,1.51,2.45
0-0 5-1 *40-40,1.51,2.44
0-0 5-1 *A-40,1.47,2.55
1-0 6-1 0-0*,1.44,2.65
1-0 0-0 0-0*,1.44,2.65
1-0 0-0 0-15*,1.54,2.37
1-0 0-0 15-15*,1.47,2.55
1-0 0-0 30-15*,1.39,2.85
1-0 0-0 30-30*,1.46,2.58
1-0 0-0 40-30*,1.31,3.27
1-0 1-0 *0-0,1.22,4.00
1-0 1-0 *0-15,1.25,3.69
1-0 1-0 *0-30,1.31,3.24
1-0 1-1 0-0*,1.42,2.74
1-0 1-1 0-15*,1.47,2.55
1-0 1-1 0-30*,1.53,2.40
1-0 1-1 15-30*,1.47,2.55
1-0 1-1 15-40*,1.54,2.37
1-0 1-1 30-40*,1.49,2.50
1-0 1-1 40-40*,1.38,2.87
1-0 1-1 A-40*,1.30,3.32
1-0 2-1 *0-0,1.20,4.25
1-0 2-1 *0-15,1.25,3.70
1-0 2-1 *0-30,1.31,3.26
1-0 2-1 *15-30,1.28,3.45
1-0 2-1 *15-40,1.34,3.07
1-0 2-1 *30-40,1.30,3.32
1-0 2-2 0-0*,1.41,2.75
1-0 2-2 15-15*,1.41,2.78
1-0 2-2 15-30*,1.49,2.50
1-0 2-2 15-30*,1.48,2.53
1-0 2-2 30-30*,1.39,2.84
1-0 2-2 30-40*,1.51,2.45
