Score,P1 Odds,P2 Odds
-,2.65,1.44
-,2.34,1.55
-,2.40,1.53
0-0 2-1 0-0*,1.99,1.75
0-0 2-1 0-15*,2.10,1.68
0-0 2-1 0-30*,2.23,1.61
0-0 2-3 0-30*,4.00,1.22
0-0 2-3 15-40*,4.60,1.17
0-0 2-4 *0-0,4.65,1.17
0-0 2-4 *0-15,5.20,1.14
0-0 2-4 *30-15,4.50,1.17
0-0 2-4 *30-15,4.60,1.17
0-0 2-4 *40-15,4.05,1.22
0-0 3-4 0-0*,4.00,1.22
0-0 3-4 0-15*,4.25,1.20
0-0 3-4 0-40*,5.20,1.14
0-0 3-4 0-30*,4.65,1.17
0-0 3-4 15-40*,4.65,1.17
0-0 3-4 30-40*,4.60,1.17
0-0 3-4 40-40*,3.70,1.25
0-0 3-4 40-A*,4.60,1.17
0-0 3-4 40-40*,3.70,1.25
0-0 3-4 40-A*,4.50,1.17
0-0 3-5 *0-15,5.40,1.13
0-0 3-5 *0-30,6.00,1.11
0-0 3-5 *0-40,6.00,1.10
0-1 3-6 0-0*,6.50,1.08
0-1 0-0 0-0*,6.50,1.08
0-1 0-0 0-30*,7.50,1.06
0-1 0-0 0-40*,7.75,1.06
0-1 0-0 30-40*,7.00,1.07
0-1 0-0 40-40*,6.00,1.11
0-1 0-0 40-A*,7.00,1.08
0-1 0-1 *0-0,8.00,1.06
0-1 0-1 *0-15,8.50,1.04
0-1 0-1 *30-30,8.00,1.06
0-1 0-1 *40-30,6.50,1.08
0-1 0-1 *40-40,8.00,1.06
0-1 0-1 *A-40,6.50,1.08
0-1 1-1 0-0*,6.00,1.11
0-1 1-1 0-30*,7.00,1.07
0-1 1-1 15-30*,6.50,1.09
0-1 1-1 30-30*,6.00,1.11
0-1 1-1 30-40*,6.50,1.08
0-1 1-2 *0-0,7.50,1.06
0-1 1-2 *0-15,8.50,1.05
0-1 1-2 *30-15,6.50,1.08
0-1 1-2 *40-15,6.00,1.11
0-1 1-2 *30-15,6.00,1.11
0-1 2-2 0-15*,6.00,1.10
0-1 2-2 0-30*,6.50,1.08
0-1 2-2 15-40*,6.50,1.08
0-1 2-3 *0-0,7.50,1.06
0-1 2-3 *15-0,6.50,1.09
0-1 2-3 *30-0,6.00,1.11
0-1 2-3 *30-30,7.50,1.06
0-1 2-3 *40-30,6.00,1.10
0-1 2-3 *40-40,7.50,1.06
