Score,P1 Odds,P2 Odds
-,5.40,1.13
0-0 0-0 *40-30,5.20,1.14
0-0 0-0 *40-40,5.40,1.13
0-0 0-0 *A-40,5.20,1.14
0-0 0-0 *40-A,6.00,1.10
0-0 0-0 *40-40,5.40,1.13
0-0 1-0 0-0*,4.60,1.17
0-0 1-0 0-15*,4.65,1.17
0-0 1-0 0-30*,5.20,1.14
0-0 1-1 *0-15,5.90,1.11
0-0 1-1 *15-30,6.00,1.11
0-0 1-1 *40-30,4.65,1.17
0-0 1-1 *40-A,6.00,1.11
0-0 1-2 0-0*,7.50,1.06
0-0 1-2 0-40*,9.50,1.04
0-0 1-3 *0-0,9.50,1.04
0-0 1-3 *15-15,9.50,1.04
0-0 1-3 *30-30,9.50,1.04
0-0 1-3 *40-30,8.50,1.05
0-0 1-3 *40-40,10.00,1.03
0-0 1-4 0-0*,12.00,1.02
0-0 1-4 15-0*,11.00,1.02
0-0 1-4 40-15*,10.00,1.03
0-0 1-4 40-40*,11.00,1.02
0-0 1-5 *0-0,12.00,1.02
0-0 1-5 *0-15,12.00,1.02
0-0 1-5 *40-15,12.00,1.02
0-0 2-5 0-0*,12.00,1.02
0-0 2-5 0-15*,12.00,1.02
0-0 2-5 15-15*,12.00,1.02
0-0 2-5 15-30*,12.00,1.02
0-1 2-6 *0-0,12.00,1.02
0-1 0-0 *0-0,12.00,1.02
0-1 0-0 *0-15,13.00,1.01
0-1 0-0 *15-15,12.00,1.02
0-1 0-0 *15-40,15.00,1.01
0-1 0-1 0-0*,34.00,1.005
0-1 0-1 0-0*,21.00,1.005
0-1 0-1 15-15*,21.00,1.005
0-1 0-1 40-40*,21.00,1.005
0-1 0-1 40-A*,34.00,1.002
0-1 0-2 *0-0,41.00,1.002
0-1 0-2 *30-15,41.00,1.002
0-1 0-2 *30-15,34.00,1.002
0-1 0-2 *30-30,41.00,1.002
0-1 0-2 *40-A,81.00,1.001
0-1 0-2 *A-40,34.00,1.004
0-1 1-2 0-0*,17.00,1.005
0-1 1-2 15-15*,17.00,1.005
0-1 1-3 *0-0,41.00,1.002
0-1 1-3 *15-0,34.00,1.002
0-1 1-3 *15-15,41.00,1.002
0-1 1-3 *40-30,34.00,1.004
0-1 2-3 0-0*,15.00,1.005
0-1 2-3 0-30*,34.00,1.002
0-1 2-3 15-40*,41.00,1.002
0-1 2-4 *0-15,67.00,1.002
0-1 2-4 *30-15,34.00,1.002
0-1 3-4 0-0*,17.00,1.005
0-1 3-4 0-15*,34.00,1.004
0-1 3-4 15-30*,34.00,1.004
0-1 3-4 30-30*,14.00,1.01
0-1 4-4 *0-0,9.50,1.04
0-1 4-4 *15-0,8.00,1.06
0-1 4-4 *30-0,7.00,1.07
0-1 4-4 *40-0,5.50,1.13
0-1 4-4 *15-0,4.65,1.17
0-1 4-4 *30-0,4.00,1.22
0-1 4-4 *40-15,3.69,1.25
1-1 6-4 *0-0,3.13,1.33
1-1 0-0 *0-0,3.13,1.33
1-1 0-0 *15-0,3.45,1.28
1-1 0-0 *30-30,4.00,1.22
1-1 0-0 *A-40,3.32,1.30
1-1 0-0 *40-40,4.05,1.22
1-1 0-1 0-0*,6.50,1.08
1-1 0-1 15-0*,5.90,1.11
1-1 1-1 *0-0,3.05,1.35
1-1 1-1 *15-0,2.69,1.43
1-1 1-1 *40-0,2.23,1.61
1-1 2-1 0-0*,2.15,1.65
1-1 2-1 0-0*,1.96,1.78
1-1 2-1 0-15*,2.31,1.57
1-1 2-1 30-15*,1.89,1.84
1-1 2-1 30-40*,2.21,1.62
1-1 2-1 40-40*,1.92,1.81
1-1 2-1 40-A*,2.18,1.63
1-1 2-2 *0-0,2.50,1.49
1-1 2-2 *15-0,2.23,1.61
1-1 2-2 *15-15,2.50,1.49
1-1 2-2 *30-40,3.28,1.31
1-1 2-3 0-0*,4.65,1.17
1-1 2-3 15-0*,3.98,1.22
1-1 2-3 30-30*,4.60,1.17
1-1 2-3 30-30*,3.45,1.28
1-1 2-4 *0-15,6.50,1.08
1-1 2-4 *0-40,12.00,1.02
1-1 2-5 0-0*,13.00,1.01
1-1 2-5 0-15*,34.00,1.005
1-1 2-5 0-30*,67.00,1.002
1-1 2-5 15-40*,81.00,1.001
