Score,P1 Odds,P2 Odds
-,1.59,2.26
-,1.64,2.17
0-0 0-0 15-0*,1.51,2.44
0-0 0-0 15-15*,1.58,2.29
0-0 0-0 15-30*,1.65,2.15
0-0 0-0 30-30*,1.57,2.30
0-0 0-0 30-40*,1.68,2.10
0-0 0-1 *0-0,1.77,1.97
0-0 0-1 *15-0,1.70,2.07
0-0 0-1 *15-15,1.78,1.95
0-0 0-1 *30-15,1.71,2.06
0-0 0-1 *40-15,1.63,2.18
0-0 0-1 *40-30,1.68,2.10
0-0 1-1 0-0*,1.60,2.25
0-0 1-1 15-0*,1.52,2.42
0-0 1-1 15-15*,1.59,2.26
0-0 1-1 15-30*,1.67,2.11
0-0 1-1 15-30*,1.67,2.12
0-0 1-1 15-40*,1.75,2.00
0-0 1-2 *0-0,1.81,1.92
0-0 1-2 *15-0,1.73,2.02
0-0 1-2 *15-15,1.81,1.92
0-0 1-2 *15-30,1.95,1.78
0-0 1-2 *15-40,2.16,1.65
0-0 1-3 0-0*,2.36,1.54
0-0 1-3 0-0*,2.50,1.49
0-0 1-3 15-30*,2.50,1.49
0-0 1-3 30-30*,2.34,1.55
0-0 1-3 30-40*,2.57,1.47
0-0 1-4 *0-0,2.78,1.41
0-0 1-4 *0-0,2.79,1.40
0-0 1-4 *0-15,2.94,1.37
0-0 1-4 *0-30,3.13,1.33
0-0 1-4 *15-30,3.13,1.33
0-0 1-4 *15-40,3.45,1.28
0-0 1-4 *30-40,3.32,1.30
0-0 1-5 0-0*,3.70,1.25
0-0 1-5 15-0*,3.45,1.28
0-0 1-5 30-0*,3.45,1.28
0-0 1-5 30-15*,3.45,1.28
0-0 1-5 30-30*,3.70,1.25
0-0 1-5 40-40*,3.70,1.25
0-0 1-5 40-A*,3.78,1.25
0-0 1-5 40-40*,3.70,1.25
0-0 1-5 40-A*,3.78,1.25
0-0 1-5 40-A*,3.75,1.25
0-0 1-5 40-40*,3.70,1.25
0-0 1-5 40-A*,3.75,1.25
0-0 1-5 40-40*,3.69,1.25
0-0 1-5 A-40*,3.45,1.28
0-0 1-5 A-40*,3.70,1.25
0-0 1-5 A-40*,3.45,1.28
0-0 2-5 *0-0,3.32,1.30
0-0 2-5 *0-0,3.45,1.28
0-0 2-5 *30-0,3.25,1.31
0-0 2-5 *30-15,3.32,1.30
0-0 2-5 *40-15,3.20,1.33
0-0 3-5 0-0*,3.12,1.33
0-0 3-5 15-0*,2.85,1.39
0-0 3-5 15-15*,3.10,1.34
0-0 3-5 30-15*,2.79,1.40
0-0 3-5 30-15*,2.78,1.41
0-0 3-5 30-30*,3.07,1.34
0-0 3-5 30-40*,3.45,1.28
0-1 3-6 *0-0,4.00,1.22
0-1 3-6 *0-15,4.25,1.20
0-1 3-6 *0-30,4.65,1.17
0-1 0-0 *0-30,4.65,1.17
0-1 0-0 *0-40,5.40,1.13
0-1 0-0 *15-40,5.20,1.14
0-1 0-1 0-0*,5.40,1.13
0-1 0-1 0-15*,6.00,1.10
0-1 0-1 0-30*,6.50,1.08
0-1 0-1 15-30*,6.00,1.10
0-1 0-1 15-30*,7.00,1.07
0-1 0-1 30-30*,6.00,1.10
0-1 0-1 40-30*,5.20,1.14
0-1 1-1 *0-0,4.60,1.17
0-1 1-1 *15-0,4.00,1.22
0-1 1-1 *15-15,4.60,1.17
0-1 1-1 *30-15,4.00,1.22
0-1 1-1 *30-30,4.60,1.17
0-1 1-1 *40-30,3.98,1.22
0-1 1-1 *40-40,4.60,1.17
0-1 1-1 *A-40,3.98,1.22
0-1 1-1 *40-40,4.60,1.17
0-1 1-1 *40-A,5.20,1.14
0-1 1-2 0-0*,6.00,1.10
0-1 1-2 15-0*,5.40,1.13
0-1 1-2 15-0*,5.20,1.14
0-1 1-2 15-15*,5.40,1.13
0-1 1-2 15-30*,6.00,1.10
0-1 1-2 15-40*,7.50,1.06
0-1 1-3 *0-0,7.50,1.06
0-1 1-3 *0-0,9.50,1.04
0-1 1-3 *0-15,10.00,1.03
0-1 1-3 *0-30,12.00,1.02
0-1 1-3 *0-40,13.00,1.01
0-1 1-4 0-0*,14.00,1.01
0-1 1-4 15-0*,13.00,1.01
0-1 1-4 30-0*,12.00,1.02
0-1 1-4 30-15*,12.00,1.02
0-1 1-4 40-15*,11.00,1.02
0-1 2-4 *0-0,10.00,1.03
0-1 2-4 *0-15,12.00,1.02
0-1 2-4 *0-30,13.00,1.01
0-1 2-4 *15-30,12.00,1.02
0-1 2-4 *15-40,14.00,1.01
0-1 2-4 *30-40,12.00,1.02
0-1 2-5 0-0*,34.00,1.004
0-1 2-5 0-15*,51.00,1.002
0-1 2-5 0-15*,41.00,1.002
0-1 2-5 0-40*,126.00,1.001
0-1 2-5 15-40*,101.00,1.001
0-1 2-5 15-40*,81.00,1.002
0-1 2-5 40-40*,34.00,1.004
0-1 2-5 A-40*,14.00,1.01
0-1 3-5 *0-0,12.00,1.02
0-1 3-5 *0-15,14.00,1.01
0-1 3-5 *0-30,34.00,1.002
0-1 3-5 *0-30,15.00,1.01
0-1 3-5 *30-40,21.00,1.005
0-1 3-5 *40-40,12.00,1.02
0-1 3-5 *A-40,9.50,1.04
0-1 3-5 *40-40,9.50,1.04
0-1 3-5 *40-40,12.00,1.02
0-1 3-5 *A-40,9.50,1.04
0-1 3-5 *40-A,21.00,1.005
